"SubsetID","MinPD","MeanPD","MeanNND","MaxPD","Seed_Idx","Seed_Name"
1,0.2657049594,14.8141743779416,3.705035555405,20.0878118765,1,"Urocyon_littoralis_CANIDAE_CARNIVORA"
2,0.5082199626,11.3802134618623,4.944584008687,18.0869651821,3,"Nyctereutes_procyonoides_CANIDAE_CARNIVORA"
3,0.3894210836,9.88177135743916,3.531268575847,12.83412462994,5,"Cuon_alpinus_CANIDAE_CARNIVORA"
4,1.7285704214,15.7865349514305,6.379332173955,32.782525414,36,"Ommatophoca_rossii_PHOCIDAE_CARNIVORA"
5,0.2188884402,15.9886809696558,4.366996841825,32.7825236437,54,"Odobenus_rosmarus_ODOBENIDAE_CARNIVORA"
6,2.045338152,41.0316719721584,14.950275783335,51.9465649893,70,"Mydaus_marchei_MEPHITIDAE_CARNIVORA"
7,0.7361459546,35.23244414403,11.012645139335,47.8823011197,79,"Potos_flavus_PROCYONIDAE_CARNIVORA"
8,1.067974692,21.1479193127195,11.42752517743,30.3080699043,92,"Taxidea_taxus_MUSTELIDAE_CARNIVORA"
9,0.6488770492,20.7546730451289,10.53067253234,24.1585284736,93,"Martes_pennanti_MUSTELIDAE_CARNIVORA"
10,1.067974692,18.8647067299,7.77334870565,23.2726116706,102,"Melogale_personata_MUSTELIDAE_CARNIVORA"
11,1.067974692,15.5332177357242,7.61478848155,21.9046871406,105,"Mustela_strigidorsa_MUSTELIDAE_CARNIVORA"
12,0.470230433,18.1196396637739,7.816227779132,21.9046884046,121,"Vormela_peregusna_MUSTELIDAE_CARNIVORA"
13,1.067974692,19.5467408181332,9.96911225966,26.119784277,140,"Mellivora_capensis_MUSTELIDAE_CARNIVORA"
14,1.067974692,22.0854722260563,8.92618505703,27.6665195678,141,"Meles_meles_MUSTELIDAE_CARNIVORA"
15,1.067974692,27.1733639089742,15.78188386591,50.2452133542,145,"Ailurus_fulgens_AILURIDAE_CARNIVORA"
16,0.2188884402,35.3427871053263,5.1360459060275,61.3289362476,146,"Helarctos_malayanus_URSIDAE_CARNIVORA"
17,0.3992397754,37.0618600950999,12.95090470098,55.321535942,154,"Nandinia_binotata_NANDINIIDAE_CARNIVORA"
18,0.3992397754,26.1110613864042,8.16387615831,34.0863663486,155,"Hyaena_hyaena_HYAENIDAE_CARNIVORA"
19,0.3992397754,22.0103677622479,8.116132078575,29.380291872,159,"Salanoia_durrelli_EUPLERIDAE_CARNIVORA"
20,2.131154862,13.9575760621458,6.35966577462,17.4789581347,167,"Suricata_suricatta_HERPESTIDAE_CARNIVORA"
21,1.9944790548,10.1229989197674,5.3922750257,17.4789575029,176,"Herpestes_ichneumon_HERPESTIDAE_CARNIVORA"
22,0.3306075148,12.7697065130913,5.208866503529,25.3574212198,195,"Poiana_richardsonii_VIVERRIDAE_CARNIVORA"
23,1.9434177368,21.3778690897734,9.231909488429,25.3574241595,214,"Paradoxurus_zeylonensis_VIVERRIDAE_CARNIVORA"
24,0.831873366,16.0280849391325,5.12438995517,37.3243387962,225,"Prionodon_pardicolor_PRIONODONTIDAE_CARNIVORA"
25,0.2136514338,9.61518088755421,3.54694962843,11.4865453493,227,"Lynx_rufus_FELIDAE_CARNIVORA"
26,0.2136514338,9.25404696162684,2.76755334553,11.4865454126,240,"Otocolobus_manul_FELIDAE_CARNIVORA"
27,0.831873366,10.4751844373557,4.693059555954,12.7351612146,252,"Caracal_caracal_FELIDAE_CARNIVORA"
28,0.831873366,11.7454768643841,4.28515242665,13.9314491368,255,"Panthera_tigris_FELIDAE_CARNIVORA"
