"SubsetID","MinPD","MeanPD","MeanNND","SubsetType","SubsetSize"
1,3.35485964580708,13.0507417934439,5.53098416049295,"random",15
2,2.09315519191493,12.3367589395833,5.61936839566483,"random",15
3,2.13594132510809,12.3457707999043,6.13069502595319,"random",15
4,3.14711980159183,10.8688971087082,5.9031146751505,"random",15
5,1.75336873492455,11.7438924835771,4.38519228585915,"random",15
6,2.30207908907946,12.8203935436289,5.79285278485547,"random",15
7,5.16280589576459,13.3557402815529,6.87380114659855,"random",15
8,2.19812266537642,12.4506995262306,5.44571400304736,"random",15
9,1.75336873492455,11.6770697632005,5.6635807885367,"random",15
10,3.26507949593499,12.3842880420152,6.23149841341101,"random",15
11,3.14711980159183,12.8546312986877,6.29240733998298,"random",15
12,3.22814083946796,12.8726985342551,6.36102599170738,"random",15
13,2.10864170252841,12.1428006576325,5.78486870605966,"random",15
14,2.99598515345385,13.6457013199051,5.54101734905609,"random",15
15,2.14774107560919,13.160214491572,5.1229855592854,"random",15
16,1.65720202076989,11.3901667010316,4.88613784859323,"random",15
17,1.97212855804976,10.9157340523973,6.29531078247166,"random",15
18,1.98057427904359,12.9874767122668,4.56669665609091,"random",15
19,2.81604411001961,12.9180833028171,5.07194179091901,"random",15
20,2.43073453767396,12.1237329851563,5.03885234361706,"random",15
21,1.71663828297548,11.6433538968089,5.1659318147966,"random",15
22,3.22187706132345,13.320956411413,6.87553322505629,"random",15
23,3.48341143597754,13.547042738116,6.58291157382977,"random",15
24,2.131284588878,13.7720530034389,5.87852477741577,"random",15
25,1.8734192469752,12.0941873068607,5.10740066467773,"random",15
26,1.53390828681532,12.8456616025921,5.90828854803686,"random",15
27,1.61560527947431,13.5874105555057,4.43638185637591,"random",15
28,1.95508773703666,12.6856697446338,5.65334758481316,"random",15
29,2.00786729547138,13.3278222792276,6.46048251674427,"random",15
30,4.32336948460773,12.9708605526088,6.79444445993839,"random",15
31,3.96799757936695,11.5700112961071,5.61680651105959,"random",15
32,4.06955834927203,13.1166093587527,6.04471255200568,"random",15
33,1.65720202076989,12.1882206262072,6.3068880637096,"random",15
34,3.08800791112677,12.6637878401724,5.49724497814423,"random",15
35,2.00786729547138,14.0323466836042,5.84408649215537,"random",15
36,2.69122492359696,13.5882549434296,5.91599502234012,"random",15
37,3.08972058983557,13.0887042933582,5.75194910855559,"random",15
38,3.1307238891095,11.984334531998,5.49490104731251,"random",15
39,1.71663828297548,13.2280616070068,5.67418194858469,"random",15
40,2.72376337232994,11.9458453606149,6.68619802405091,"random",15
41,2.56675730816334,12.9709046938023,7.28464088691423,"random",15
42,2.2723574882797,11.7090084160377,4.37930638499552,"random",15
43,2.2723574882797,11.7089152062867,4.59293250452663,"random",15
44,2.00786729547138,12.5665070726468,6.05085264955562,"random",15
45,2.93656621244068,12.596207770148,6.21523414420596,"random",15
46,3.14207480574787,12.7957928368619,5.840660697756,"random",15
47,3.72760433017056,12.2932744557359,5.840760393688,"random",15
48,3.59386288965578,13.3813601984942,5.41002063846071,"random",15
49,2.2723574882797,10.8927231630975,4.98108193983173,"random",15
50,3.08193067891466,13.9795652849453,7.87855065030787,"random",15
51,3.68597198794647,13.2641187999007,6.94486557197464,"random",15
52,3.48341143597754,13.3918236075408,5.51622345675287,"random",15
53,4.0239282538159,13.5697368859325,7.1655761064161,"random",15
54,3.54178696541433,13.0278560863212,7.19458778049208,"random",15
55,2.14774107560919,11.5266075937036,5.62976326793877,"random",15
56,2.13594132510809,13.1012102948789,5.38659994483609,"random",15
57,4.66735795202021,12.0683700703702,6.93154387149012,"random",15
58,2.10444934279512,11.8118367538692,6.51028125315446,"random",15
59,2.10444934279512,13.4819414652162,6.19408504460282,"random",15
60,3.22693181190624,12.3550387943969,5.71902766135542,"random",15
61,1.71663828297548,13.6098972713049,4.4910576383249,"random",15
62,2.56675730816334,13.5695769739176,5.93694019586648,"random",15
63,1.65720202076989,11.4623453112018,5.13811103802137,"random",15
64,2.61052891358028,12.5692942397144,5.86091475592636,"random",15
65,2.30207908907946,12.4658412639098,6.86118201728455,"random",15
