"SubsetID","MinPD","MeanPD","MeanNND","SubsetType","SubsetSize"
1,2,8.17857142857143,4.5,"random",8
2,2,8.75,4.5,"random",8
3,2,8.5,5.75,"random",8
4,2,7.78571428571429,3.75,"random",8
5,2,9.25,5.25,"random",8
6,3,8.42857142857143,4.625,"random",8
7,3,9.25,5.75,"random",8
8,2,9.17857142857143,5.125,"random",8
9,2,8.5,4.375,"random",8
10,3,8.57142857142857,5.625,"random",8
11,3,8.82142857142857,5.125,"random",8
12,2,8.67857142857143,5.375,"random",8
13,3,9.78571428571429,5.125,"random",8
14,2,8.03571428571429,3.375,"random",8
15,3,7.96428571428571,4.375,"random",8
16,2,9,3.875,"random",8
17,2,9.57142857142857,4.375,"random",8
18,4,9.32142857142857,6,"random",8
19,3,9.32142857142857,5.125,"random",8
20,3,7.92857142857143,4.625,"random",8
21,2,8.46428571428571,4,"random",8
22,2,7.82142857142857,4.5,"random",8
23,4,8.5,5.625,"random",8
24,2,8.42857142857143,4,"random",8
25,2,8.67857142857143,5.625,"random",8
26,3,8.32142857142857,5.125,"random",8
27,3,8.14285714285714,5,"random",8
28,2,8.17857142857143,5,"random",8
29,3,9.42857142857143,4.25,"random",8
30,4,8.67857142857143,5.125,"random",8
31,3,8.78571428571429,5.5,"random",8
32,4,8.64285714285714,4.875,"random",8
33,3,8.5,4.5,"random",8
34,3,8.96428571428571,5.125,"random",8
35,3,8.25,4.5,"random",8
36,4,9.32142857142857,5.25,"random",8
37,2,8.78571428571429,3.5,"random",8
38,2,9.17857142857143,5.375,"random",8
39,3,9.14285714285714,5.375,"random",8
40,4,8.92857142857143,5.375,"random",8
41,3,8.03571428571429,5.25,"random",8
42,3,8.78571428571429,5.125,"random",8
43,4,8.5,5.875,"random",8
44,3,8.14285714285714,4.375,"random",8
45,2,8.10714285714286,4,"random",8
46,3,9,5.125,"random",8
47,2,8.03571428571429,4.75,"random",8
48,2,7.96428571428571,4.25,"random",8
49,3,7.82142857142857,4.375,"random",8
50,3,7.82142857142857,4.5,"random",8
51,2,7.92857142857143,5,"random",8
52,3,8.75,5.375,"random",8
53,3,8.57142857142857,4.375,"random",8
54,3,7.71428571428571,4.625,"random",8
55,2,8.67857142857143,4.625,"random",8
56,4,9.21428571428571,6,"random",8
57,3,7.89285714285714,4.25,"random",8
58,2,7.89285714285714,4.625,"random",8
59,2,9.21428571428571,4.875,"random",8
60,3,9.39285714285714,5.5,"random",8
61,2,8.07142857142857,4.75,"random",8
62,2,8.71428571428571,4,"random",8
63,2,8.64285714285714,4.875,"random",8
64,2,8.92857142857143,4.625,"random",8
65,3,9.21428571428571,4.75,"random",8
66,2,7.71428571428571,4.875,"random",8
67,2,9.28571428571429,4.375,"random",8
68,2,8.57142857142857,4.75,"random",8
69,2,9.78571428571429,4.5,"random",8
70,2,7.85714285714286,4,"random",8
71,2,8.85714285714286,4.625,"random",8
72,2,8.5,4.5,"random",8
73,2,8.32142857142857,4.125,"random",8
74,2,8.35714285714286,3.875,"random",8
75,2,8.03571428571429,4.375,"random",8
76,2,8.89285714285714,4.375,"random",8
77,2,7.64285714285714,3.5,"random",8
78,2,8.5,4.5,"random",8
79,3,8.57142857142857,5.5,"random",8
80,3,9.03571428571429,4.75,"random",8
81,2,7.92857142857143,4.25,"random",8
82,3,8.67857142857143,4.125,"random",8
83,3,8.75,4.75,"random",8
84,2,9,5.625,"random",8
85,2,8.32142857142857,3.375,"random",8
86,2,8.17857142857143,5,"random",8
87,2,9.25,4.875,"random",8
88,3,7.21428571428571,4,"random",8
89,3,8.82142857142857,5.75,"random",8
90,2,7.64285714285714,5.125,"random",8
91,2,9,4.875,"random",8
92,2,8.21428571428571,5.125,"random",8
93,3,8.82142857142857,5.75,"random",8
94,3,9.17857142857143,5.25,"random",8
95,2,8.60714285714286,4.625,"random",8
96,2,8.67857142857143,4.125,"random",8
97,2,8.46428571428571,5.25,"random",8
98,2,9.67857142857143,4.5,"random",8
99,3,7.5,4.625,"random",8
100,3,8.78571428571429,5,"random",8
101,2,8.14285714285714,4.75,"random",8
102,2,8.5,3.125,"random",8
103,3,8.32142857142857,5,"random",8
104,2,8.14285714285714,4.75,"random",8
105,3,8.96428571428571,5.25,"random",8
106,3,7.96428571428571,4.5,"random",8
107,3,7.67857142857143,4,"random",8
108,2,8.96428571428571,4.5,"random",8
109,4,8.32142857142857,5.375,"random",8
110,4,9,6.125,"random",8
111,2,9.64285714285714,6.125,"random",8
112,2,8.78571428571429,4.5,"random",8
113,2,9.07142857142857,5,"random",8
114,2,8.85714285714286,3.875,"random",8
115,2,9.67857142857143,5.5,"random",8
116,4,8.67857142857143,5.625,"random",8
117,2,8.42857142857143,4,"random",8
118,4,9.03571428571429,6.125,"random",8
119,2,8.85714285714286,5.125,"random",8
