"Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random"
"Lambda1","K",0.944930668712394,0.456292711863204,0.906501090879954,0.5,0.395604395604396,0.00899100899100899,1,1,1000
"Lambda1","Lambda",0.535532347828558,7.33137435857406e-05,0.790701364744697,0.5,0.828171828171828,0.103896103896104,1,1,1000
"Lambda1","MoransI",-0.0245300258720317,-0.0197154283565765,0.00805003235792988,0.5,0.559440559440559,0.355644355644356,1,1,1000
"Lambda1","mpnns",0.424758009938808,0.471355125251296,0.430443152157537,1,0.518481518481518,0.759240759240759,1,1,1000
"Lambda1","mean_offdiag_cor",0.141013108315609,0.243240127835813,0.164555563421702,1,0.833166833166833,0.985014985014985,1,1,1000
"Lambda1","max_offdiag_cor",0.645497224367903,0.857142857142857,0.852988501299056,1,0.996003996003996,0.450549450549451,1,1,1000
"Lambda1","ess_1",5.43589185856594,3.55772976872963,4.91282574769705,1,0.833166833166833,0.985014985014985,1,1,1000
"Lambda1","ess_2",10.4657311849675,5.89304917522367,8.90914675902944,1,0.947052947052947,0.997002997002997,1,1,1000
"Lambda0.7","K",0.691915219694995,1.47317811077433,0.755752762301743,1,0.622377622377622,0.999000999000999,1,1,1000
"Lambda0.7","Lambda",7.33137435857406e-05,0.999926686256414,0.460410940294897,1,1,1,1,1,1000
"Lambda0.7","MoransI",-0.0650980338377861,0.110797645939145,-0.0116100044185824,1,0.0709290709290709,0.992007992007992,1,1,1000
"Lambda0.7","mpnns",0.304833829968442,0.641854356110421,0.4174806276089,1,0.975024975024975,0.999000999000999,1,1,1000
"Lambda0.7","mean_offdiag_cor",0.189329278896745,0.241902312516012,0.188433468319331,1,0.398601398601399,0.954045954045954,1,1,1000
"Lambda0.7","max_offdiag_cor",0.758116812939905,0.857142857142857,0.850878004593985,1,0.961038961038961,0.47952047952048,1,1,1000
"Lambda0.7","ess_1",4.35042092479908,3.57388948931279,4.41647557098541,1,0.398601398601399,0.954045954045954,1,1,1000
"Lambda0.7","ess_2",7.83405331368327,5.93690493388004,7.81366799957482,1,0.474525474525474,0.979020979020979,1,1,1000
"OU_alpha0.2","K",0.738815006997245,0.658562794952416,0.62100247827546,0.5,0.178821178821179,0.644355644355644,1,1,1000
"OU_alpha0.2","Lambda",7.33137435857406e-05,0.443916181621239,0.234541481999422,1,1,0.751248751248751,1,1,1000
"OU_alpha0.2","MoransI",-0.0565593985530529,0.0316182591860109,-0.0345857801472301,0.5,0.314685314685315,0.354645354645355,1,1,1000
"OU_alpha0.2","mpnns",0.518500260735684,0.471930749786552,0.492836064514723,0.5,0.331668331668332,0.387612387612388,1,1,1000
"OU_alpha0.2","mean_offdiag_cor",0.0133326684129849,0.128718286026321,0.0358959909681466,1,1,1,1,1,1000
"OU_alpha0.2","max_offdiag_cor",0.108999382430291,0.648974141603476,0.551826189565281,1,1,0.622377622377622,1,1,1000
"OU_alpha0.2","ess_1",15.9576076597523,5.80442438763372,11.9481397925603,1,1,1,1,1,1000
"OU_alpha0.2","ess_2",19.7650038299045,10.9863004687295,17.7386864744174,1,1,1,1,1,1000
"OU_alpha1","K",0.823344644992545,0.387047591547392,0.56573588763058,0.5,0.036963036963037,0.0799200799200799,1,1,1000
"OU_alpha1","Lambda",7.33137435857406e-05,7.33137435857406e-05,0.110172464834182,1,1,0.763236763236763,1,1,1000
"OU_alpha1","MoransI",-0.0529772930988794,-0.0757107913929465,-0.0460812884444962,1,0.461538461538462,0.857142857142857,1,1,1000
"OU_alpha1","mpnns",0.746524314585513,0.672481042210626,0.617218977989678,0.5,0.00899100899100899,0.854145854145854,1,1,1000
"OU_alpha1","mean_offdiag_cor",4.91913451290784e-07,0.00866534177910358,0.0007070162674589,1,1,1,1,1,1000
"OU_alpha1","max_offdiag_cor",1.67017007558218e-05,0.13533456424247,0.0778692484467163,1,1,0.622377622377622,1,1,1000
"OU_alpha1","ess_1",19.9998130746356,17.1726665299318,19.736717269381,1,1,1,1,1,1000
"OU_alpha1","ess_2",19.9999999979134,19.6996725867145,19.9762747560854,1,1,1,1,1,1000
"OU_alpha5","K",0.77107367906721,0.331492116780996,0.536614086910373,0.5,0.0719280719280719,0.0699300699300699,1,1,1000
"OU_alpha5","Lambda",7.33137435857406e-05,7.33137435857406e-05,0.111662879158712,1,1,0.752247752247752,1,1,1000
"OU_alpha5","MoransI",-0.0609918296134652,-0.09105232505898,-0.0554631345129849,1,0.455544455544456,0.895104895104895,1,1,1000
"OU_alpha5","mpnns",0.822767852678905,0.716051800601474,0.755779619355135,0.5,0.0659340659340659,0.194805194805195,1,1,1000
"OU_alpha5","mean_offdiag_cor",2.07510791460243e-26,1.68717408735297e-06,1.31721910815839e-07,1,1,1,1,1,1000
"OU_alpha5","max_offdiag_cor",1.2995814250075e-24,4.53999297624848e-05,2.04245156823407e-05,1,1,1,1,1,1000
"OU_alpha5","ess_1",20,19.9993588943983,19.9999499459901,1,1,1,1,1,1000
"OU_alpha5","ess_2",20,19.9999999711422,19.999999997745,1,1,1,1,1,1000
