"Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random"
"Lambda1","K",0.253949950089607,0.670709993604002,0.392748614158652,1,0.643356643356643,0.865134865134865,1,1,1000
"Lambda1","Lambda",0.56625292053078,0.747381571637426,0.898367331095208,1,0.942057942057942,0.10989010989011,1,1,1000
"Lambda1","MoransI",0.0295979360376362,0.0184087507305476,0.242812858184331,0.5,0.962037962037962,0.02997002997003,1,1,1000
"Lambda1","mpnns",0.41978618065246,0.447843323583199,0.418928101412199,1,0.477522477522478,0.686313686313686,1,1,1000
"Lambda1","mean_offdiag_cor",0.566547747579441,0.515607670860375,0.576948542878428,0.5,0.59040959040959,0.141858141858142,1,1,1000
"Lambda1","max_offdiag_cor",0.966502964751829,0.9096392352493,0.987079378881659,0.5,0.995004995004995,0.000999000999000999,1,1,1000
"Lambda1","ess_1",1.68452682483013,1.83189709372539,1.66990213630284,0.5,0.59040959040959,0.141858141858142,1,1,1000
"Lambda1","ess_2",2.2500193967759,2.60172393771879,2.18597975909085,0.5,0.64035964035964,0.0819180819180819,1,1,1000
"Lambda0.7","K",1.0535379065407,0.248771552959847,1.85685406372652,0.5,0.868131868131868,0.000999000999000999,1,1,1000
"Lambda0.7","Lambda",0.999926686256414,0.749503886324899,0.993178124507198,0.5,0.522477522477522,0.000999000999000999,1,1,1000
"Lambda0.7","MoransI",0.516157426064186,0.00359000259195609,0.554881637016425,0.5,0.705294705294705,0.000999000999000999,1,1,1000
"Lambda0.7","mpnns",0.313096423341113,0.512591616551796,0.421917258555659,1,0.966033966033966,0.9000999000999,1,1,1000
"Lambda0.7","mean_offdiag_cor",0.556138133566242,0.514172164868266,0.566581132115165,0.5,0.589410589410589,0.144855144855145,1,1,1000
"Lambda0.7","max_offdiag_cor",0.961779583552748,0.914828045436155,0.973298787347214,0.5,0.913086913086913,0.000999000999000999,1,1,1000
"Lambda0.7","ess_1",1.7126821538109,1.83642451013111,1.69430010441767,0.5,0.589410589410589,0.144855144855145,1,1,1000
"Lambda0.7","ess_2",2.3159278148043,2.61690191485249,2.2557758044886,0.5,0.635364635364635,0.0949050949050949,1,1,1000
"Lambda0.5","K",1.20678935540983,0.726216017903761,0.618880585959474,0.5,0.0699300699300699,0.687312687312687,1,1,1000
"Lambda0.5","Lambda",0.970664588742706,0.999926686256414,0.946516532103199,1,0.685314685314685,1,1,1,1000
"Lambda0.5","MoransI",0.315251783248786,0.0705299873470508,0.320275264967159,0.5,0.515484515484515,0.033966033966034,1,1,1000
"Lambda0.5","mpnns",0.307741514743713,0.488341588565168,0.433433467621587,1,0.971028971028971,0.789210789210789,1,1,1000
"Lambda0.5","mean_offdiag_cor",0.551155697019032,0.513555274684907,0.561403364217992,0.5,0.592407592407592,0.147852147852148,1,1,1000
"Lambda0.5","max_offdiag_cor",0.959313328587196,0.917185572112305,0.967251543906705,0.5,0.834165834165834,0.000999000999000999,1,1,1000
"Lambda0.5","ess_1",1.72649410148142,1.83837699102168,1.70684353111203,0.5,0.592407592407592,0.147852147852148,1,1,1000
"Lambda0.5","ess_2",2.3488121285563,2.62344824683851,2.2907143761011,0.5,0.629370629370629,0.0979020979020979,1,1,1000
"OU_alpha0.2","K",0.0716731184195576,0.660126060288021,0.0949266404951659,1,0.558441558441558,0.999000999000999,1,1,1000
"OU_alpha0.2","Lambda",0.0514287540097416,0.999926686256414,0.508073049423765,1,0.796203796203796,1,1,1,1000
"OU_alpha0.2","MoransI",-0.0922109173557438,0.000579406405443335,0.0214433162566854,0.5,0.515484515484515,0.00799200799200799,1,1,1000
"OU_alpha0.2","mpnns",0.449235129445062,0.581661664931134,0.485817587368097,1,0.696303696303696,0.909090909090909,1,1,1000
"OU_alpha0.2","mean_offdiag_cor",0.00386003881305376,0.231359521015922,0.0222123267861193,1,1,1,1,1,1000
"OU_alpha0.2","max_offdiag_cor",0.0473279567877752,0.646522707845958,0.508272549202372,1,1,0.97002997002997,1,1,1000
"OU_alpha0.2","ess_1",15.1242945407875,3.57910381957009,12.0732102539262,1,1,1,1,1,1000
"OU_alpha0.2","ess_2",15.96493518824,6.95016833335685,14.5229273797654,1,1,1,1,1,1000
"OU_alpha1","K",0.05595742443908,0.712640740985739,0.0755293288298864,1,0.563436563436563,1,1,1,1000
"OU_alpha1","Lambda",7.33137435857406e-05,0.991747576037202,0.460799110549202,1,1,0.954045954045954,1,1,1000
"OU_alpha1","MoransI",-0.147344335083692,-0.025561896282803,-0.0653698088554008,0.5,0.28971028971029,0.143856143856144,1,1,1000
"OU_alpha1","mpnns",0.574920429183183,0.669732140824584,0.609307564756855,1,0.71028971028971,0.829170829170829,1,1,1000
"OU_alpha1","mean_offdiag_cor",1.12007734167655e-08,0.0122708036914668,0.000660555344617814,1,1,1,1,1,1000
