"Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random"
"Lambda1","K",1.01434999106904,0.962791522720712,1.01711016252421,0.465346534653465,0.477952204779522,0.476259523740476,100,100,10000
"Lambda1","Lambda",0.363550052539983,0.519094753407104,0.487196731814944,0.792079207920792,0.810518948105189,0.67949532050468,100,100,10000
"Lambda1","MoransI",-0.23782180127157,-0.204793424076003,-0.183086835476448,0.366336633663366,0.352964703529647,0.516227483772516,100,100,10000
"Lambda0.7","K",1.02831296321308,0.979131684329385,1.0191264022133,0.386138613861386,0.470752924707529,0.473828526171474,100,100,10000
"Lambda0.7","Lambda",0.438312554051236,0.502521695609113,0.499435736299737,0.742574257425743,0.744725527447255,0.662984337015663,100,100,10000
"Lambda0.7","MoransI",-0.236661908035768,-0.223182200987047,-0.184099558586972,0.504950495049505,0.358264173582642,0.578110421889578,100,100,10000
"OU_alpha0.2","K",0.926019308059726,0.939209996074546,0.880057074248633,0.485148514851485,0.418258174182582,0.552740447259553,100,100,10000
"OU_alpha0.2","Lambda",0.359855729199544,0.467641397067837,0.366108260348668,0.772277227722772,0.736826317368263,0.727212272787727,100,100,10000
"OU_alpha0.2","MoransI",-0.252401549543997,-0.213356533046646,-0.215739165735,0.366336633663366,0.401159884011599,0.458612541387459,100,100,10000
"OU_alpha1","K",0.94881550652633,0.843837059057297,0.797495838202871,0.346534653465347,0.323867613238676,0.542538457461543,100,100,10000
"OU_alpha1","Lambda",0.302667026404219,0.339576409911952,0.291346811041556,0.752475247524752,0.758124187581242,0.741937258062742,100,100,10000
"OU_alpha1","MoransI",-0.248357198824953,-0.243828038315824,-0.245565465990076,0.524752475247525,0.521247875212479,0.494731505268495,100,100,10000
"OU_alpha5","K",0.921556796533376,0.898488689101013,0.783113053034928,0.445544554455446,0.32006799320068,0.590468409531591,100,100,10000
"OU_alpha5","Lambda",0.242085530553445,0.430250825324008,0.269220616054089,0.851485148514851,0.8003199680032,0.790812209187791,100,100,10000
"OU_alpha5","MoransI",-0.250825327660078,-0.243770455836624,-0.25148765323729,0.445544554455446,0.527447255274473,0.463523536476464,100,100,10000
