"Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random"
"Lambda1","K",1.42140715850953,0.730139074632602,0.973512832963816,0.5,0.23976023976024,0.447552447552448,1,1,1000
"Lambda1","Lambda",0.99540062743247,0.999926686256414,0.669688807766854,1,0.380619380619381,1,1,1,1000
"Lambda1","MoransI",-0.202236583160177,-0.402852437938664,-0.229677232750115,1,0.659340659340659,0.833166833166833,1,1,1000
"Lambda1","mpnns",0.240310008322319,0.632039689050779,0.395417303628767,1,0.841158841158841,0.936063936063936,1,1,1000
"Lambda1","mean_offdiag_cor",0.339146410315983,0.241239137862963,0.302752009585542,0.5,0.375624375624376,0.245754245754246,1,1,1000
"Lambda1","max_offdiag_cor",0.789243683100581,0.608918489572972,0.775434518146069,0.5,0.557442557442557,0.10989010989011,1,1,1000
"Lambda1","ess_1",1.9827115179675,2.32056598631892,2.12944774943805,0.5,0.375624375624376,0.245754245754246,1,1,1000
"Lambda1","ess_2",2.34926860102666,2.93600290532681,2.53393243977313,0.5,0.385614385614386,0.176823176823177,1,1,1000
"Lambda0.7","K",1.13854526784602,1.99698291130763,0.860028165787662,1,0.262737262737263,0.941058941058941,1,1,1000
"Lambda0.7","Lambda",0.906202286560668,0.999926686256414,0.611248209909072,1,0.437562437562438,1,1,1,1000
"Lambda0.7","MoransI",-0.244318953401061,-0.185221209760588,-0.24274496244603,0.5,0.541458541458541,0.287712287712288,1,1,1000
"Lambda0.7","mpnns",0.308361080876741,0.406704398598214,0.436493543952099,1,0.838161838161838,0.442557442557443,1,1,1000
"Lambda0.7","mean_offdiag_cor",0.320951437546035,0.241783562181844,0.292140215067876,0.5,0.372627372627373,0.256743256743257,1,1,1000
"Lambda0.7","max_offdiag_cor",0.76718913599701,0.619830089758958,0.741113908495404,0.5,0.488511488511489,0.14985014985015,1,1,1000
"Lambda0.7","ess_1",2.03784864431632,2.31836926324163,2.15506814416951,0.5,0.372627372627373,0.256743256743257,1,1,1000
"Lambda0.7","ess_2",2.4512446706223,2.92948814935642,2.60309128862187,0.5,0.377622377622378,0.196803196803197,1,1,1000
"Lambda0.5","K",2.02090097830257,0.49408205877777,1.63151657105706,0.5,0.292707292707293,0.026973026973027,1,1,1000
"Lambda0.5","Lambda",0.999926686256414,7.33137435857406e-05,0.873825037767966,0.5,0.718281718281718,0.0799200799200799,1,1,1000
"Lambda0.5","MoransI",-0.0824514551796118,-0.401203242810055,-0.0891210523209168,1,0.797202797202797,0.956043956043956,1,1,1000
"Lambda0.5","mpnns",0.280138175519616,0.619571324485171,0.451738372049058,1,0.941058941058941,0.887112887112887,1,1,1000
"Lambda0.5","mean_offdiag_cor",0.312380462311818,0.242172250643973,0.287182347200775,0.5,0.373626373626374,0.261738261738262,1,1,1000
"Lambda0.5","max_offdiag_cor",0.756436707414269,0.62508284399522,0.728044803466731,0.5,0.466533466533467,0.174825174825175,1,1,1000
"Lambda0.5","ess_1",2.0648983223305,2.31680346890589,2.16793314343277,0.5,0.373626373626374,0.261738261738262,1,1,1000
"Lambda0.5","ess_2",2.50000070224025,2.92545975269101,2.63453001675394,0.5,0.375624375624376,0.203796203796204,1,1,1000
"OU_alpha0.2","K",0.63040734576886,0.473090007879984,1.00910768388564,0.5,0.625374625374625,0.254745254745255,1,1,1000
"OU_alpha0.2","Lambda",7.33137435857406e-05,7.33137435857406e-05,0.605744692509518,1,1,0.250749250749251,1,1,1000
"OU_alpha0.2","MoransI",-0.172195538469947,-0.437500813598849,-0.193868568069335,1,0.657342657342657,0.909090909090909,1,1,1000
"OU_alpha0.2","mpnns",0.345839189294946,0.415902070762569,0.47181018963398,1,0.835164835164835,0.354645354645355,1,1,1000
"OU_alpha0.2","mean_offdiag_cor",0.0324073468197158,0.165754766311194,0.0899343450247641,1,0.91008991008991,0.92007992007992,1,1,1000
"OU_alpha0.2","max_offdiag_cor",0.0917785221387997,0.424943148193232,0.336661594676103,1,0.957042957042957,0.679320679320679,1,1,1000
"OU_alpha0.2","ess_1",3.64557022416916,2.67153902143327,3.18985515040172,1,0.91008991008991,0.92007992007992,1,1,1000
"OU_alpha0.2","ess_2",3.96695733829436,3.40872619664784,3.68988500456265,1,0.931068931068931,0.899100899100899,1,1,1000
"OU_alpha1","K",1.86151988297777,1.06184321911177,0.635888861818924,0.5,0.036963036963037,0.839160839160839,1,1,1000
"OU_alpha1","Lambda",0.999926686256414,7.33137435857406e-05,0.423149252504182,0.5,0.24975024975025,0.418581418581419,1,1,1000
"OU_alpha1","MoransI",-0.0837678766858408,-0.221834240835676,-0.316325051098184,1,0.945054945054945,0.277722277722278,1,1,1000
"OU_alpha1","mpnns",0.615597344644884,0.70213940801184,0.643242653147915,1,0.566433566433566,0.691308691308691,1,1,1000
"OU_alpha1","mean_offdiag_cor",2.10429285013311e-06,0.0197633595804577,0.00326085170390845,1,0.971028971028971,0.988011988011988,1,1,1000
"OU_alpha1","max_offdiag_cor",6.76826811495538e-06,0.0534600888935943,0.0174750560915493,1,0.976023976023976,0.934065934065934,1,1,1000
"OU_alpha1","ess_1",3.99997474864521,3.77611390899905,3.96204517063296,1,0.971028971028971,0.988011988011988,1,1,1000
"OU_alpha1","ess_2",3.99999999983977,3.98889782969424,3.99793108091081,1,0.972027972027972,0.985014985014985,1,1,1000
"OU_alpha5","K",1.5584932817268,0.519314786302242,0.605078893691075,0.5,0.0829170829170829,0.623376623376623,1,1,1000
