"Model","Subset_Type","N","K_mean","K_sd","K_min","K_max","Lambda_mean","Lambda_sd","Lambda_min","Lambda_max","MoransI_mean","MoransI_sd","MoransI_min","MoransI_max","mpnns_mean","mpnns_sd","mpnns_min","mpnns_max","mean_offdiag_cor_mean","mean_offdiag_cor_sd","mean_offdiag_cor_min","mean_offdiag_cor_max","max_offdiag_cor_mean","max_offdiag_cor_sd","max_offdiag_cor_min","max_offdiag_cor_max","ess_1_mean","ess_1_sd","ess_1_min","ess_1_max","ess_2_mean","ess_2_sd","ess_2_min","ess_2_max"
"Lambda1","dispersed",1,0.944930668712394,NA,0.944930668712394,0.944930668712394,0.535532347828558,NA,0.535532347828558,0.535532347828558,-0.0245300258720317,NA,-0.0245300258720317,-0.0245300258720317,0.424758009938808,NA,0.424758009938808,0.424758009938808,0.141013108315609,NA,0.141013108315609,0.141013108315609,0.645497224367903,NA,0.645497224367903,0.645497224367903,5.43589185856594,NA,5.43589185856594,5.43589185856594,10.4657311849675,NA,10.4657311849675,10.4657311849675
"Lambda1","clustered",1,0.456292711863204,NA,0.456292711863204,0.456292711863204,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.0197154283565765,NA,-0.0197154283565765,-0.0197154283565765,0.471355125251296,NA,0.471355125251296,0.471355125251296,0.243240127835813,NA,0.243240127835813,0.243240127835813,0.857142857142857,NA,0.857142857142857,0.857142857142857,3.55772976872963,NA,3.55772976872963,3.55772976872963,5.89304917522367,NA,5.89304917522367,5.89304917522367
"Lambda1","random",1000,0.906501090879954,0.22845545633852,0.415097368541413,1.85493987650018,0.790701364744697,0.32644258112203,7.33137435857406e-05,0.999926686256414,0.00805003235792988,0.0467366965930826,-0.086130333313353,0.20537857729726,0.430443152157537,0.0633376797056084,0.277620537528828,0.63825313140949,0.164555563421702,0.0266320744715582,0.111338801914288,0.291396392478566,0.852988501299056,0.0611440632195524,0.625,0.9375,4.91282574769705,0.548547511802507,3.05972672682515,6.41964465421037,8.90914675902944,1.01041947699377,5.3528698997874,11.6855993969143
"Lambda0.7","dispersed",1,0.691915219694995,NA,0.691915219694995,0.691915219694995,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.0650980338377861,NA,-0.0650980338377861,-0.0650980338377861,0.304833829968442,NA,0.304833829968442,0.304833829968442,0.189329278896745,NA,0.189329278896745,0.189329278896745,0.758116812939905,NA,0.758116812939905,0.758116812939905,4.35042092479908,NA,4.35042092479908,4.35042092479908,7.83405331368327,NA,7.83405331368327,7.83405331368327
"Lambda0.7","clustered",1,1.47317811077433,NA,1.47317811077433,1.47317811077433,0.999926686256414,NA,0.999926686256414,0.999926686256414,0.110797645939145,NA,0.110797645939145,0.110797645939145,0.641854356110421,NA,0.641854356110421,0.641854356110421,0.241902312516012,NA,0.241902312516012,0.241902312516012,0.857142857142857,NA,0.857142857142857,0.857142857142857,3.57388948931279,NA,3.57388948931279,3.57388948931279,5.93690493388004,NA,5.93690493388004,5.93690493388004
"Lambda0.7","random",1000,0.755752762301743,0.15680961365563,0.2941754152088,1.77206114045976,0.460410940294897,0.44953693663671,7.33137435857406e-05,0.999926686256414,-0.0116100044185824,0.0388580205794877,-0.119351181400498,0.194381616677357,0.4174806276089,0.0619713587206653,0.249465505363352,0.64425280667085,0.188433468319331,0.0271631987536234,0.135771431379893,0.324191316257011,0.850878004593985,0.0443436988749637,0.688772295259691,0.927902417773905,4.41647557098541,0.449108969869573,2.79343848885946,5.58712717551018,7.81366799957482,0.80711144734237,5.05542151785208,10.1834058717972
"OU_alpha0.2","dispersed",1,0.738815006997245,NA,0.738815006997245,0.738815006997245,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.0565593985530529,NA,-0.0565593985530529,-0.0565593985530529,0.518500260735684,NA,0.518500260735684,0.518500260735684,0.0133326684129849,NA,0.0133326684129849,0.0133326684129849,0.108999382430291,NA,0.108999382430291,0.108999382430291,15.9576076597523,NA,15.9576076597523,15.9576076597523,19.7650038299045,NA,19.7650038299045,19.7650038299045
"OU_alpha0.2","clustered",1,0.658562794952416,NA,0.658562794952416,0.658562794952416,0.443916181621239,NA,0.443916181621239,0.443916181621239,0.0316182591860109,NA,0.0316182591860109,0.0316182591860109,0.471930749786552,NA,0.471930749786552,0.471930749786552,0.128718286026321,NA,0.128718286026321,0.128718286026321,0.648974141603476,NA,0.648974141603476,0.648974141603476,5.80442438763372,NA,5.80442438763372,5.80442438763372,10.9863004687295,NA,10.9863004687295,10.9863004687295
"OU_alpha0.2","random",1000,0.62100247827546,0.141573418280847,0.271174512785053,1.30629191498936,0.234541481999422,0.378577729592611,7.33137435857406e-05,0.999926686256414,-0.0345857801472301,0.0355322518134605,-0.119792286738532,0.170105622453977,0.492836064514723,0.0633375453972958,0.329762235118419,0.693780415101842,0.0358959909681466,0.00631144778219826,0.021739105959769,0.0659407689756572,0.551826189565281,0.117348987300484,0.197558665230203,0.669771352224117,11.9481397925603,0.814900682592331,8.87754689340142,14.1538508118048,17.7386864744174,0.672971884493237,15.0432360970018,19.2415811859581
"OU_alpha1","dispersed",1,0.823344644992545,NA,0.823344644992545,0.823344644992545,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.0529772930988794,NA,-0.0529772930988794,-0.0529772930988794,0.746524314585513,NA,0.746524314585513,0.746524314585513,4.91913451290784e-07,NA,4.91913451290784e-07,4.91913451290784e-07,1.67017007558218e-05,NA,1.67017007558218e-05,1.67017007558218e-05,19.9998130746356,NA,19.9998130746356,19.9998130746356,19.9999999979134,NA,19.9999999979134,19.9999999979134
"OU_alpha1","clustered",1,0.387047591547392,NA,0.387047591547392,0.387047591547392,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.0757107913929465,NA,-0.0757107913929465,-0.0757107913929465,0.672481042210626,NA,0.672481042210626,0.672481042210626,0.00866534177910358,NA,0.00866534177910358,0.00866534177910358,0.13533456424247,NA,0.13533456424247,0.13533456424247,17.1726665299318,NA,17.1726665299318,17.1726665299318,19.6996725867145,NA,19.6996725867145,19.6996725867145
"OU_alpha1","random",1000,0.56573588763058,0.135614537508615,0.205333519533559,1.23070085236081,0.110172464834182,0.252821053449865,7.33137435857406e-05,0.999926686256414,-0.0460812884444962,0.0316897114131929,-0.15192146170725,0.10957683440095,0.617218977989678,0.0533809817668213,0.484738148587343,0.816745702992205,0.0007070162674589,0.000514601337462737,1.22863020812394e-05,0.00280718406540936,0.0778692484467163,0.0537335904703858,0.000909642336413215,0.135335283236602,19.736717269381,0.189076049326229,18.9872847398264,19.995332294837,19.9762747560854,0.0247732909555472,19.8808977557438,19.9999979580335
"OU_alpha5","dispersed",1,0.77107367906721,NA,0.77107367906721,0.77107367906721,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.0609918296134652,NA,-0.0609918296134652,-0.0609918296134652,0.822767852678905,NA,0.822767852678905,0.822767852678905,2.07510791460243e-26,NA,2.07510791460243e-26,2.07510791460243e-26,1.2995814250075e-24,NA,1.2995814250075e-24,1.2995814250075e-24,20,NA,20,20,20,NA,20,20
"OU_alpha5","clustered",1,0.331492116780996,NA,0.331492116780996,0.331492116780996,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.09105232505898,NA,-0.09105232505898,-0.09105232505898,0.716051800601474,NA,0.716051800601474,0.716051800601474,1.68717408735297e-06,NA,1.68717408735297e-06,1.68717408735297e-06,4.53999297624848e-05,NA,4.53999297624848e-05,4.53999297624848e-05,19.9993588943983,NA,19.9993588943983,19.9993588943983,19.9999999711422,NA,19.9999999711422,19.9999999711422
"OU_alpha5","random",1000,0.536614086910373,0.149348673206695,0.189191370228483,1.17528119956316,0.111662879158712,0.257339032044638,7.33137435857406e-05,0.999926686256414,-0.0554631345129849,0.0326785465864711,-0.155750669894568,0.111375901603878,0.755779619355135,0.0440677104441378,0.602179072637937,0.885902051551299,1.31721910815839e-07,1.62688734957756e-07,3.3414520816481e-18,7.20061020689392e-07,2.04245156823407e-05,2.25115251722423e-05,6.3051167601464e-16,4.53999297624848e-05,19.9999499459901,6.1821213993413e-05,19.9997263805556,20,19.999999997745,2.80877209332682e-09,19.9999999876327,20
