"Model","Subset_Type","N","K_mean","K_sd","K_min","K_max","Lambda_mean","Lambda_sd","Lambda_min","Lambda_max","MoransI_mean","MoransI_sd","MoransI_min","MoransI_max","mpnns_mean","mpnns_sd","mpnns_min","mpnns_max","mean_offdiag_cor_mean","mean_offdiag_cor_sd","mean_offdiag_cor_min","mean_offdiag_cor_max","max_offdiag_cor_mean","max_offdiag_cor_sd","max_offdiag_cor_min","max_offdiag_cor_max","ess_1_mean","ess_1_sd","ess_1_min","ess_1_max","ess_2_mean","ess_2_sd","ess_2_min","ess_2_max"
"Lambda1","dispersed",1,0.253949950089607,NA,0.253949950089607,0.253949950089607,0.56625292053078,NA,0.56625292053078,0.56625292053078,0.0295979360376362,NA,0.0295979360376362,0.0295979360376362,0.41978618065246,NA,0.41978618065246,0.41978618065246,0.566547747579441,NA,0.566547747579441,0.566547747579441,0.966502964751829,NA,0.966502964751829,0.966502964751829,1.68452682483013,NA,1.68452682483013,1.68452682483013,2.2500193967759,NA,2.2500193967759,2.2500193967759
"Lambda1","clustered",1,0.670709993604002,NA,0.670709993604002,0.670709993604002,0.747381571637426,NA,0.747381571637426,0.747381571637426,0.0184087507305476,NA,0.0184087507305476,0.0184087507305476,0.447843323583199,NA,0.447843323583199,0.447843323583199,0.515607670860375,NA,0.515607670860375,0.515607670860375,0.9096392352493,NA,0.9096392352493,0.9096392352493,1.83189709372539,NA,1.83189709372539,1.83189709372539,2.60172393771879,NA,2.60172393771879,2.60172393771879
"Lambda1","random",1000,0.392748614158652,0.262230889773486,0.0342518681124632,2.87539084601764,0.898367331095208,0.182693770308235,7.33137435857406e-05,0.999926686256414,0.242812858184331,0.134592708397314,-0.189378449378734,0.67291138131825,0.418928101412199,0.0692592585920437,0.256662867026395,0.657700674772998,0.576948542878428,0.055369228885323,0.402303422051129,0.758513330181086,0.987079378881659,0.00588388659598627,0.958422559971803,0.996191634080291,1.66990213630284,0.147736125640262,1.29264726573767,2.27448763221344,2.18597975909085,0.279918341107572,1.45501916109631,3.39317037052237
"Lambda0.7","dispersed",1,1.0535379065407,NA,1.0535379065407,1.0535379065407,0.999926686256414,NA,0.999926686256414,0.999926686256414,0.516157426064186,NA,0.516157426064186,0.516157426064186,0.313096423341113,NA,0.313096423341113,0.313096423341113,0.556138133566242,NA,0.556138133566242,0.556138133566242,0.961779583552748,NA,0.961779583552748,0.961779583552748,1.7126821538109,NA,1.7126821538109,1.7126821538109,2.3159278148043,NA,2.3159278148043,2.3159278148043
"Lambda0.7","clustered",1,0.248771552959847,NA,0.248771552959847,0.248771552959847,0.749503886324899,NA,0.749503886324899,0.749503886324899,0.00359000259195609,NA,0.00359000259195609,0.00359000259195609,0.512591616551796,NA,0.512591616551796,0.512591616551796,0.514172164868266,NA,0.514172164868266,0.514172164868266,0.914828045436155,NA,0.914828045436155,0.914828045436155,1.83642451013111,NA,1.83642451013111,1.83642451013111,2.61690191485249,NA,2.61690191485249,2.61690191485249
"Lambda0.7","random",1000,1.85685406372652,0.790604822290338,0.404781577324676,5.4748558262419,0.993178124507198,0.0114028414246719,0.902107207144093,0.999947237950008,0.554881637016425,0.0959406027865807,0.110125340064197,0.798731444023765,0.421917258555659,0.0664284647952148,0.255050356802454,0.685919609468289,0.566581132115165,0.0482235903618546,0.428567734491038,0.733094499164845,0.973298787347214,0.00802590438361292,0.937894008411929,0.987594162675431,1.69430010441767,0.130362374480435,1.3337315091533,2.15386221993693,2.2557758044886,0.257542259047029,1.54350844577556,3.24034498276552
"Lambda0.5","dispersed",1,1.20678935540983,NA,1.20678935540983,1.20678935540983,0.970664588742706,NA,0.970664588742706,0.970664588742706,0.315251783248786,NA,0.315251783248786,0.315251783248786,0.307741514743713,NA,0.307741514743713,0.307741514743713,0.551155697019032,NA,0.551155697019032,0.551155697019032,0.959313328587196,NA,0.959313328587196,0.959313328587196,1.72649410148142,NA,1.72649410148142,1.72649410148142,2.3488121285563,NA,2.3488121285563,2.3488121285563
"Lambda0.5","clustered",1,0.726216017903761,NA,0.726216017903761,0.726216017903761,0.999926686256414,NA,0.999926686256414,0.999926686256414,0.0705299873470508,NA,0.0705299873470508,0.0705299873470508,0.488341588565168,NA,0.488341588565168,0.488341588565168,0.513555274684907,NA,0.513555274684907,0.513555274684907,0.917185572112305,NA,0.917185572112305,0.917185572112305,1.83837699102168,NA,1.83837699102168,1.83837699102168,2.62344824683851,NA,2.62344824683851,2.62344824683851
"Lambda0.5","random",1000,0.618880585959474,0.342837086847147,0.0660744676790648,2.13886684479757,0.946516532103199,0.116461615999571,7.33137435857406e-05,0.999926686256414,0.320275264967159,0.139866945404023,-0.101623384663668,0.708498041081508,0.433433467621587,0.0692635284635235,0.230941048529098,0.736654488316058,0.561403364217992,0.0444185871391171,0.439099017395903,0.71900348330465,0.967251543906705,0.00899905135263265,0.927533664601312,0.983059912980189,1.70684353111203,0.121149065117597,1.35765202064201,2.10901352202991,2.2907143761011,0.242923694483558,1.59558558581667,3.16810499829287
"OU_alpha0.2","dispersed",1,0.0716731184195576,NA,0.0716731184195576,0.0716731184195576,0.0514287540097416,NA,0.0514287540097416,0.0514287540097416,-0.0922109173557438,NA,-0.0922109173557438,-0.0922109173557438,0.449235129445062,NA,0.449235129445062,0.449235129445062,0.00386003881305376,NA,0.00386003881305376,0.00386003881305376,0.0473279567877752,NA,0.0473279567877752,0.0473279567877752,15.1242945407875,NA,15.1242945407875,15.1242945407875,15.96493518824,NA,15.96493518824,15.96493518824
