"Model","Subset_Type","N","K_mean","K_sd","K_min","K_max","Lambda_mean","Lambda_sd","Lambda_min","Lambda_max","MoransI_mean","MoransI_sd","MoransI_min","MoransI_max","mpnns_mean","mpnns_sd","mpnns_min","mpnns_max","mean_offdiag_cor_mean","mean_offdiag_cor_sd","mean_offdiag_cor_min","mean_offdiag_cor_max","max_offdiag_cor_mean","max_offdiag_cor_sd","max_offdiag_cor_min","max_offdiag_cor_max","ess_1_mean","ess_1_sd","ess_1_min","ess_1_max","ess_2_mean","ess_2_sd","ess_2_min","ess_2_max"
"Lambda1","dispersed",1,0.705856180983946,NA,0.705856180983946,0.705856180983946,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.438832787762908,NA,-0.438832787762908,-0.438832787762908,0.29692731497147,NA,0.29692731497147,0.29692731497147,0.119916061070768,NA,0.119916061070768,0.119916061070768,0.52704627669473,NA,0.52704627669473,0.52704627669473,2.9417211579208,NA,2.9417211579208,2.9417211579208,3.456,NA,3.456,3.456
"Lambda1","clustered",1,1.79971854125475,NA,1.79971854125475,1.79971854125475,0.999926686256414,NA,0.999926686256414,0.999926686256414,-0.182548169054996,NA,-0.182548169054996,-0.182548169054996,0.333288090461099,NA,0.333288090461099,0.333288090461099,0.317450089729875,NA,0.317450089729875,0.317450089729875,0.75,NA,0.75,0.75,2.04881268649621,NA,2.04881268649621,2.04881268649621,2.47741935483871,NA,2.47741935483871,2.47741935483871
"Lambda1","random",1000,0.816318142610158,0.344498538103984,0.159759933352481,2.2299093423255,0.264202389461184,0.412005664084967,7.33137435857406e-05,1.45752312700635,-0.309489644070688,0.144085556256072,-0.720562286087171,0.379685162574133,0.42653949038631,0.141903272980963,0.139105096495355,0.908674867420447,0.225447797976142,0.0693057706496406,0.0693428145799757,0.416666666666667,0.64996215383768,0.13340622306257,0.223606797749979,0.9,2.42259967635162,0.297325967948857,1.77777777777778,3.31118031262279,2.92150854843357,0.366097054335672,1.9559902200489,3.83318544809228
"Lambda0.7","dispersed",1,1.49319969855621,NA,1.49319969855621,1.49319969855621,0.999926686256414,NA,0.999926686256414,0.999926686256414,-0.118675191426125,NA,-0.118675191426125,-0.118675191426125,0.576773544181615,NA,0.576773544181615,0.576773544181615,0.134033101866759,NA,0.134033101866759,0.134033101866759,0.521286035142687,NA,0.521286035142687,0.521286035142687,2.85286497470127,NA,2.85286497470127,2.85286497470127,3.40168067226891,NA,3.40168067226891,3.40168067226891
"Lambda0.7","clustered",1,0.615853953788292,NA,0.615853953788292,0.615853953788292,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.345588433004306,NA,-0.345588433004306,-0.345588433004306,0.487548954453081,NA,0.487548954453081,0.487548954453081,0.301763380061211,NA,0.301763380061211,0.301763380061211,0.730769230769231,NA,0.730769230769231,0.730769230769231,2.09941778191036,NA,2.09941778191036,2.09941778191036,2.56655426501811,NA,2.56655426501811,2.56655426501811
"Lambda0.7","random",1000,1.40208539278402,0.387482922008396,0.267127336376575,2.51101742643507,0.849228533528767,0.332915351837938,7.33137435857406e-05,1.46183535889518,-0.137802777551997,0.14805292663679,-0.623573460753165,0.500167534654965,0.406089115197655,0.127695638077824,0.151985558507494,0.927234052507784,0.223756472919913,0.0581202201148916,0.0947573527764563,0.387053478466762,0.638191591196093,0.108014089573187,0.293369347019234,0.854838709677419,2.41937868333695,0.251202565772153,1.85085749973908,3.11460486433331,2.94308834810717,0.297275310079061,2.10111557445605,3.70064257394158
"Lambda0.5","dispersed",1,1.13523874670715,NA,1.13523874670715,1.13523874670715,0.575167942303423,NA,0.575167942303423,0.575167942303423,-0.200794355704908,NA,-0.200794355704908,-0.200794355704908,0.539956284431573,NA,0.539956284431573,0.539956284431573,0.139342057394748,NA,0.139342057394748,0.139342057394748,0.518639896047491,NA,0.518639896047491,0.518639896047491,2.82082240685208,NA,2.82082240685208,2.82082240685208,3.37590062111801,NA,3.37590062111801,3.37590062111801
"Lambda0.5","clustered",1,1.17361092579912,NA,1.17361092579912,1.17361092579912,0.739732453156705,NA,0.739732453156705,0.739732453156705,-0.225366070584695,NA,-0.225366070584695,-0.225366070584695,0.62372442596802,NA,0.62372442596802,0.62372442596802,0.294695823826534,NA,0.294695823826534,0.294695823826534,0.722222222222222,NA,0.722222222222222,0.722222222222222,2.12304368058811,NA,2.12304368058811,2.12304368058811,2.60704061895551,NA,2.60704061895551,2.60704061895551
"Lambda0.5","random",1000,0.821730239750144,0.354766424413333,0.168201834110301,2.24094714665769,0.247902657819494,0.400853757382602,4.30970301113684e-05,0.999926686256414,-0.306721519183277,0.15282451376727,-0.731932516489843,0.435270926144203,0.554294669937329,0.129761738062041,0.23292213784229,0.939239447586363,0.222884953661688,0.0539051643647429,0.105047977400858,0.37251443690571,0.633965422342328,0.0973376502308958,0.321960458108392,0.833333333333333,2.41971790544306,0.234617187886038,1.88898143417211,3.04149219112534,2.95191272361069,0.268700767517394,2.17574552683897,3.63847341168915
"OU_alpha0.2","dispersed",1,0.913767844607809,NA,0.913767844607809,0.913767844607809,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.306692718025525,NA,-0.306692718025525,-0.306692718025525,0.759705077517031,NA,0.759705077517031,0.759705077517031,0.0333975565332723,NA,0.0333975565332723,0.0333975565332723,0.146267410232495,NA,0.146267410232495,0.146267410232495,3.63572682360714,NA,3.63572682360714,3.63572682360714,3.95193868435644,NA,3.95193868435644,3.95193868435644
