"Model","Subset_Type","N","K_mean","K_sd","K_min","K_max","Lambda_mean","Lambda_sd","Lambda_min","Lambda_max","MoransI_mean","MoransI_sd","MoransI_min","MoransI_max","mpnns_mean","mpnns_sd","mpnns_min","mpnns_max","mean_offdiag_cor_mean","mean_offdiag_cor_sd","mean_offdiag_cor_min","mean_offdiag_cor_max","max_offdiag_cor_mean","max_offdiag_cor_sd","max_offdiag_cor_min","max_offdiag_cor_max","ess_1_mean","ess_1_sd","ess_1_min","ess_1_max","ess_2_mean","ess_2_sd","ess_2_min","ess_2_max"
"Lambda1","dispersed",1,1.42140715850953,NA,1.42140715850953,1.42140715850953,0.99540062743247,NA,0.99540062743247,0.99540062743247,-0.202236583160177,NA,-0.202236583160177,-0.202236583160177,0.240310008322319,NA,0.240310008322319,0.240310008322319,0.339146410315983,NA,0.339146410315983,0.339146410315983,0.789243683100581,NA,0.789243683100581,0.789243683100581,1.9827115179675,NA,1.9827115179675,1.9827115179675,2.34926860102666,NA,2.34926860102666,2.34926860102666
"Lambda1","clustered",1,0.730139074632602,NA,0.730139074632602,0.730139074632602,0.999926686256414,NA,0.999926686256414,0.999926686256414,-0.402852437938664,NA,-0.402852437938664,-0.402852437938664,0.632039689050779,NA,0.632039689050779,0.632039689050779,0.241239137862963,NA,0.241239137862963,0.241239137862963,0.608918489572972,NA,0.608918489572972,0.608918489572972,2.32056598631892,NA,2.32056598631892,2.32056598631892,2.93600290532681,NA,2.93600290532681,2.93600290532681
"Lambda1","random",1000,0.973512832963816,0.618600873254933,0.118022495436338,2.71592957646414,0.669688807766854,0.39318891262855,7.33137435857406e-05,0.999926686256414,-0.229677232750115,0.190198053248399,-0.77093434941704,0.650180497080777,0.395417303628767,0.14794645836014,0.128464366182754,0.929964938535654,0.302752009585542,0.0777850039771994,0.11406305557644,0.460765472102737,0.775434518146069,0.125673783811259,0.327840560624118,0.97635181995957,2.12944774943805,0.275052986468187,1.67905218369035,2.98020584516213,2.53393243977313,0.409308511167389,1.75883606570224,3.67308282815771
"Lambda0.7","dispersed",1,1.13854526784602,NA,1.13854526784602,1.13854526784602,0.906202286560668,NA,0.906202286560668,0.906202286560668,-0.244318953401061,NA,-0.244318953401061,-0.244318953401061,0.308361080876741,NA,0.308361080876741,0.308361080876741,0.320951437546035,NA,0.320951437546035,0.320951437546035,0.76718913599701,NA,0.76718913599701,0.76718913599701,2.03784864431632,NA,2.03784864431632,2.03784864431632,2.4512446706223,NA,2.4512446706223,2.4512446706223
"Lambda0.7","clustered",1,1.99698291130763,NA,1.99698291130763,1.99698291130763,0.999926686256414,NA,0.999926686256414,0.999926686256414,-0.185221209760588,NA,-0.185221209760588,-0.185221209760588,0.406704398598214,NA,0.406704398598214,0.406704398598214,0.241783562181844,NA,0.241783562181844,0.241783562181844,0.619830089758958,NA,0.619830089758958,0.619830089758958,2.31836926324163,NA,2.31836926324163,2.31836926324163,2.92948814935642,NA,2.92948814935642,2.92948814935642
"Lambda0.7","random",1000,0.860028165787662,0.570599933412091,0.0738056261643712,2.63212365274012,0.611248209909072,0.42049312054318,7.33137435857406e-05,0.999926686256414,-0.24274496244603,0.187277750908371,-0.790427090021174,0.564952504810981,0.436493543952099,0.125323569027282,0.194021458038374,0.906990569846633,0.292140215067876,0.0645617630512384,0.149934534943844,0.432449389543173,0.741113908495404,0.113262621986218,0.370780823360475,0.932698886451643,2.15506814416951,0.227777992580398,1.74113791484475,2.75899438149404,2.60309128862187,0.352145106291721,1.88396346520701,3.49597409921197
"Lambda0.5","dispersed",1,2.02090097830257,NA,2.02090097830257,2.02090097830257,0.999926686256414,NA,0.999926686256414,0.999926686256414,-0.0824514551796118,NA,-0.0824514551796118,-0.0824514551796118,0.280138175519616,NA,0.280138175519616,0.280138175519616,0.312380462311818,NA,0.312380462311818,0.312380462311818,0.756436707414269,NA,0.756436707414269,0.756436707414269,2.0648983223305,NA,2.0648983223305,2.0648983223305,2.50000070224025,NA,2.50000070224025,2.50000070224025
"Lambda0.5","clustered",1,0.49408205877777,NA,0.49408205877777,0.49408205877777,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.401203242810055,NA,-0.401203242810055,-0.401203242810055,0.619571324485171,NA,0.619571324485171,0.619571324485171,0.242172250643973,NA,0.242172250643973,0.242172250643973,0.62508284399522,NA,0.62508284399522,0.62508284399522,2.31680346890589,NA,2.31680346890589,2.31680346890589,2.92545975269101,NA,2.92545975269101,2.92545975269101
"Lambda0.5","random",1000,1.63151657105706,0.55548694830655,0.145503292195327,2.77047705327684,0.873825037767966,0.291599936462039,7.33137435857406e-05,0.999926686256414,-0.0891210523209168,0.178584239849617,-0.579977885286255,0.649123138064518,0.451738372049058,0.130341249768918,0.17329142540171,0.952191130406823,0.287182347200775,0.0581347106135889,0.163301030626717,0.41743517114607,0.728044803466731,0.106480826317874,0.380604087507755,0.909846609067082,2.16793314343277,0.205930538157044,1.77595800220454,2.68473837110593,2.63453001675394,0.321385747682511,1.95389293205463,3.42249592414867
"OU_alpha0.2","dispersed",1,0.63040734576886,NA,0.63040734576886,0.63040734576886,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.172195538469947,NA,-0.172195538469947,-0.172195538469947,0.345839189294946,NA,0.345839189294946,0.345839189294946,0.0324073468197158,NA,0.0324073468197158,0.0324073468197158,0.0917785221387997,NA,0.0917785221387997,0.0917785221387997,3.64557022416916,NA,3.64557022416916,3.64557022416916,3.96695733829436,NA,3.96695733829436,3.96695733829436
"OU_alpha0.2","clustered",1,0.473090007879984,NA,0.473090007879984,0.473090007879984,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.437500813598849,NA,-0.437500813598849,-0.437500813598849,0.415902070762569,NA,0.415902070762569,0.415902070762569,0.165754766311194,NA,0.165754766311194,0.165754766311194,0.424943148193232,NA,0.424943148193232,0.424943148193232,2.67153902143327,NA,2.67153902143327,2.67153902143327,3.40872619664784,NA,3.40872619664784,3.40872619664784
"OU_alpha0.2","random",1000,1.00910768388564,0.627340391480115,0.0850229382059478,2.64647331573125,0.605744692509518,0.422423230054201,7.33137435857406e-05,0.999947237950008,-0.193868568069335,0.187435590089393,-0.73579437967438,0.662734515419127,0.47181018963398,0.120844080864233,0.218266056769099,0.879730941041727,0.0899343450247641,0.0491531477484693,0.00710743263016971,0.25605658603338,0.336661594676103,0.148439652451206,0.0232329865911134,0.747521126577426,3.18985515040172,0.34631367183227,2.26222622668194,3.91649140360668,3.68988500456265,0.237017766866193,2.86120687307736,3.99821693981799
"OU_alpha1","dispersed",1,1.86151988297777,NA,1.86151988297777,1.86151988297777,0.999926686256414,NA,0.999926686256414,0.999926686256414,-0.0837678766858408,NA,-0.0837678766858408,-0.0837678766858408,0.615597344644884,NA,0.615597344644884,0.615597344644884,2.10429285013311e-06,NA,2.10429285013311e-06,2.10429285013311e-06,6.76826811495538e-06,NA,6.76826811495538e-06,6.76826811495538e-06,3.99997474864521,NA,3.99997474864521,3.99997474864521,3.99999999983977,NA,3.99999999983977,3.99999999983977
"OU_alpha1","clustered",1,1.06184321911177,NA,1.06184321911177,1.06184321911177,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.221834240835676,NA,-0.221834240835676,-0.221834240835676,0.70213940801184,NA,0.70213940801184,0.70213940801184,0.0197633595804577,NA,0.0197633595804577,0.0197633595804577,0.0534600888935943,NA,0.0534600888935943,0.0534600888935943,3.77611390899905,NA,3.77611390899905,3.77611390899905,3.98889782969424,NA,3.98889782969424,3.98889782969424
"OU_alpha1","random",1000,0.635888861818924,0.489899742269448,0.039337042834445,2.49720982850002,0.423149252504182,0.433951986147102,7.33137435857406e-05,0.999926686256414,-0.316325051098184,0.176970007702119,-0.768873053895974,0.539485762690875,0.643242653147915,0.113076476087126,0.320992676202567,0.947935278715153,0.00326085170390845,0.0048880746515729,3.35082502512098e-08,0.0390314892949973,0.0174750560915493,0.0264229763985932,1.27460365663885e-07,0.233410655460049,3.96204517063296,0.0549356401286322,3.58071775932545,3.99999959790104,3.99793108091081,0.00904511213527271,3.89392778481869,3.99999999999996
