"Tree","Model","Pattern_K","Pattern_Lambda","Pattern_MoransI","Pattern_mpnns","Pattern_mean_offdiag_cor","Pattern_max_offdiag_cor","Pattern_ess_1","Pattern_ess_2","Clustered_Mean_K","Random_Mean_K","Dispersed_Mean_K","Clustered_Mean_Lambda","Random_Mean_Lambda","Dispersed_Mean_Lambda","Clustered_Mean_MoransI","Random_Mean_MoransI","Dispersed_Mean_MoransI","Clustered_Mean_mpnns","Random_Mean_mpnns","Dispersed_Mean_mpnns","Clustered_Mean_mean_offdiag_cor","Random_Mean_mean_offdiag_cor","Dispersed_Mean_mean_offdiag_cor","Clustered_Mean_max_offdiag_cor","Random_Mean_max_offdiag_cor","Dispersed_Mean_max_offdiag_cor","Clustered_Mean_ess_1","Random_Mean_ess_1","Dispersed_Mean_ess_1","Clustered_Mean_ess_2","Random_Mean_ess_2","Dispersed_Mean_ess_2"
"large_balanced","Lambda1",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.456292711863204,0.906501090879954,0.944930668712394,7.33137435857406e-05,0.790701364744697,0.535532347828558,-0.0197154283565765,0.00805003235792988,-0.0245300258720317,0.471355125251296,0.430443152157537,0.424758009938808,0.243240127835813,0.164555563421702,0.141013108315609,0.857142857142857,0.852988501299056,0.645497224367903,3.55772976872963,4.91282574769705,5.43589185856594,5.89304917522367,8.90914675902944,10.4657311849675
"large_balanced","Lambda0.7",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1.47317811077433,0.755752762301743,0.691915219694995,0.999926686256414,0.460410940294897,7.33137435857406e-05,0.110797645939145,-0.0116100044185824,-0.0650980338377861,0.641854356110421,0.4174806276089,0.304833829968442,0.241902312516012,0.188433468319331,0.189329278896745,0.857142857142857,0.850878004593985,0.758116812939905,3.57388948931279,4.41647557098541,4.35042092479908,5.93690493388004,7.81366799957482,7.83405331368327
"large_balanced","OU_alpha0.2",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.658562794952416,0.62100247827546,0.738815006997245,0.443916181621239,0.234541481999422,7.33137435857406e-05,0.0316182591860109,-0.0345857801472301,-0.0565593985530529,0.471930749786552,0.492836064514723,0.518500260735684,0.128718286026321,0.0358959909681466,0.0133326684129849,0.648974141603476,0.551826189565281,0.108999382430291,5.80442438763372,11.9481397925603,15.9576076597523,10.9863004687295,17.7386864744174,19.7650038299045
"large_balanced","OU_alpha1",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.387047591547392,0.56573588763058,0.823344644992545,7.33137435857406e-05,0.110172464834182,7.33137435857406e-05,-0.0757107913929465,-0.0460812884444962,-0.0529772930988794,0.672481042210626,0.617218977989678,0.746524314585513,0.00866534177910358,0.0007070162674589,4.91913451290784e-07,0.13533456424247,0.0778692484467163,1.67017007558218e-05,17.1726665299318,19.736717269381,19.9998130746356,19.6996725867145,19.9762747560854,19.9999999979134
"large_balanced","OU_alpha5",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.331492116780996,0.536614086910373,0.77107367906721,7.33137435857406e-05,0.111662879158712,7.33137435857406e-05,-0.09105232505898,-0.0554631345129849,-0.0609918296134652,0.716051800601474,0.755779619355135,0.822767852678905,1.68717408735297e-06,1.31721910815839e-07,2.07510791460243e-26,4.53999297624848e-05,2.04245156823407e-05,1.2995814250075e-24,19.9993588943983,19.9999499459901,20,19.9999999711422,19.999999997745,20
"large_ladder","Lambda1",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.629304250885747,0.790846620477115,0.640385020355587,0.932104104952717,0.967273822470654,0.838442568554142,0.168868579706375,0.425633917465649,0.273597055312127,0.548702495402854,0.431026259034653,0.325899859692567,0.531645274600657,0.592248004492362,0.594254902739201,0.926007396469163,0.989373728039141,0.971747028853696,1.80159726087942,1.64207163323921,1.62722766474102,2.60256175526522,2.16726821674304,2.15748974765328
"large_ladder","Lambda0.7",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.78136979749568,1.27893597483399,1.77101353884061,0.999926686256414,0.99561327909036,0.999926686256414,0.248218241860693,0.480737185798974,0.42236422931943,0.544427290074159,0.424925413130607,0.438955864563037,0.532598103778613,0.583542047030857,0.584255231249941,0.930999723038897,0.978814658069054,0.968230944076155,1.79866402887195,1.66225152467741,1.65277654065604,2.59177020955549,2.22493991823762,2.21707531344914
"large_ladder","OU_alpha0.2",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.287403036165092,0.0913764332821828,0.0641569054364334,0.999926686256414,0.579569209348922,0.0940767449160825,-0.00467334233421417,0.0212861211601766,-0.146088706163102,0.536206783572756,0.495225465163648,0.53974680970112,0.196811374000253,0.0223218793993476,0.00544659434877386,0.582721821736577,0.536684103598876,0.0853148342953295,4.21992911208201,14.1181773844464,18.1243919911181,8.86132991599951,17.7324666706663,19.8786690053401
"large_ladder","OU_alpha1",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.301646073209665,0.0638217681936151,0.0463411188450316,0.958729540466485,0.478015162860647,0.0248616595603057,-0.0220893352720816,-0.0277410426301434,-0.133009965774347,0.651266827664864,0.622353762136437,0.552508052506591,0.00729087797572802,0.000616252274208447,1.2873840864985e-07,0.0694004059258042,0.0499627559369645,4.69612585813425e-06,17.5665624041134,19.7693221221605,19.9999510795244,19.8923001067699,19.9902966199043,19.9999999998413
"large_ladder","OU_alpha5",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.443375952241892,0.0671333611903888,0.170028791698719,0.656852547061991,0.471952109046198,0.894210259707539,-0.0734729090302684,-0.0458780752869474,-0.102027473716594,0.681948954927961,0.762403186603561,0.724655518323431,4.69691008879565e-08,6.96290387888863e-09,2.28218619638181e-29,1.60994135080525e-06,1.12666574319711e-06,2.28401335345842e-27,19.9999821517576,19.9999973540986,20,19.9999999999839,19.9999999999821,20
