"Analysis","N","s","Species_Index","Dispersed","Clustered"
"Carnivora_N261",261,20,1,"Nandinia_binotata_NANDINIIDAE_CARNIVORA","Lynx_rufus_FELIDAE_CARNIVORA"
"Carnivora_N261",261,20,2,"Vulpes_chama_CANIDAE_CARNIVORA","Lynx_pardinus_FELIDAE_CARNIVORA"
"Carnivora_N261",261,20,3,"Melogale_cucphuongensis_MUSTELIDAE_CARNIVORA","Lynx_canadensis_FELIDAE_CARNIVORA"
"Carnivora_N261",261,20,4,"Ailuropoda_melanoleuca_URSIDAE_CARNIVORA","Lynx_lynx_FELIDAE_CARNIVORA"
"Carnivora_N261",261,20,5,"Erignathus_barbatus_PHOCIDAE_CARNIVORA","Acinonyx_jubatus_FELIDAE_CARNIVORA"
"Carnivora_N261",261,20,6,"Paguma_larvata_VIVERRIDAE_CARNIVORA","Prionailurus_planiceps_FELIDAE_CARNIVORA"
"Carnivora_N261",261,20,7,"Conepatus_semistriatus_MEPHITIDAE_CARNIVORA","Prionailurus_viverrinus_FELIDAE_CARNIVORA"
"Carnivora_N261",261,20,8,"Ailurus_fulgens_AILURIDAE_CARNIVORA","Prionailurus_bengalensis_FELIDAE_CARNIVORA"
"Carnivora_N261",261,20,9,"Potos_flavus_PROCYONIDAE_CARNIVORA","Otocolobus_manul_FELIDAE_CARNIVORA"
"Carnivora_N261",261,20,10,"Leptailurus_serval_FELIDAE_CARNIVORA","Leopardus_colocolo_FELIDAE_CARNIVORA"
"Carnivora_N261",261,20,11,"Herpestes_ichneumon_HERPESTIDAE_CARNIVORA","Leopardus_guigna_FELIDAE_CARNIVORA"
"Carnivora_N261",261,20,12,"Procyon_lotor_PROCYONIDAE_CARNIVORA","Leopardus_tigrinus_FELIDAE_CARNIVORA"
"Carnivora_N261",261,20,13,"Prionodon_pardicolor_PRIONODONTIDAE_CARNIVORA","Leopardus_jacobita_FELIDAE_CARNIVORA"
"Carnivora_N261",261,20,14,"Mydaus_marchei_MEPHITIDAE_CARNIVORA","Leopardus_pardalis_FELIDAE_CARNIVORA"
"Carnivora_N261",261,20,15,"Hyaena_hyaena_HYAENIDAE_CARNIVORA","Leopardus_wiedii_FELIDAE_CARNIVORA"
"Carnivora_N261",261,20,16,"Arctocephalus_galapagoensis_OTARIIDAE_CARNIVORA","Felis_nigripes_FELIDAE_CARNIVORA"
"Carnivora_N261",261,20,17,"Taxidea_taxus_MUSTELIDAE_CARNIVORA","Felis_chaus_FELIDAE_CARNIVORA"
"Carnivora_N261",261,20,18,"Nasua_nasua_PROCYONIDAE_CARNIVORA","Felis_catus_FELIDAE_CARNIVORA"
"Carnivora_N261",261,20,19,"Fossa_fossana_EUPLERIDAE_CARNIVORA","Felis_silvestris_FELIDAE_CARNIVORA"
"Carnivora_N261",261,20,20,"Meles_meles_MUSTELIDAE_CARNIVORA","Felis_margarita_FELIDAE_CARNIVORA"
