"Analysis","Pool","N","s","Subset_Type","Metric","Observed","Baseline_Mean","Baseline_SD","Baseline_Q025","Baseline_Q975","SES","P_value","Tail","Covariance_Model","Covariance_Param","Covariance_Param_Label"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","off_mean",0.0457773376016081,0.208457938861984,0.0725498807778121,0.105677587855773,0.391208400000788,-2.24232761675507,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","rmax",0.330212856772719,0.768666346436863,0.10062989792975,0.577054179736366,0.943105878354286,-4.35708967895634,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","neff_mean",6.11584728424142,3.82492564987354,0.633288474158631,2.67661932663977,4.96633714039259,3.61750091443167,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","off_mean",0.907506664382354,0.208457938861984,0.0725498807778121,0.105677587855773,0.391208400000788,9.63542211270124,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","rmax",0.98318223017415,0.768666346436863,0.10062989792975,0.577054179736366,0.943105878354286,2.1317311072604,0.003996003996004,"upper","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","neff_mean",1.10268670627703,3.82492564987354,0.633288474158631,2.67661932663977,4.96633714039259,-4.29857648556322,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","off_mean",0.0457773376016081,0.208457938861984,0.0725498807778121,0.105677587855773,0.391208400000788,-2.24232761675507,0.000999000999000999,"lower","lambda_BM",1,"lambda=1"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","rmax",0.330212856772719,0.768666346436863,0.10062989792975,0.577054179736366,0.943105878354286,-4.35708967895634,0.000999000999000999,"lower","lambda_BM",1,"lambda=1"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","neff_mean",6.11584728424142,3.82492564987354,0.633288474158631,2.67661932663977,4.96633714039259,3.61750091443167,0.000999000999000999,"upper","lambda_BM",1,"lambda=1"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","off_mean",0.907506664382354,0.208457938861984,0.0725498807778121,0.105677587855773,0.391208400000788,9.63542211270124,0.000999000999000999,"upper","lambda_BM",1,"lambda=1"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","rmax",0.98318223017415,0.768666346436863,0.10062989792975,0.577054179736366,0.943105878354286,2.1317311072604,0.003996003996004,"upper","lambda_BM",1,"lambda=1"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","neff_mean",1.10268670627703,3.82492564987354,0.633288474158631,2.67661932663977,4.96633714039259,-4.29857648556322,0.000999000999000999,"lower","lambda_BM",1,"lambda=1"
