"Case","Tree_Type","Subset_Type","N","s","Species_Index","Species"
"Balanced_Dispersed","balanced","dispersed",32,8,1,"B001"
"Balanced_Dispersed","balanced","dispersed",32,8,2,"B017"
"Balanced_Dispersed","balanced","dispersed",32,8,3,"B009"
"Balanced_Dispersed","balanced","dispersed",32,8,4,"B025"
"Balanced_Dispersed","balanced","dispersed",32,8,5,"B005"
"Balanced_Dispersed","balanced","dispersed",32,8,6,"B021"
"Balanced_Dispersed","balanced","dispersed",32,8,7,"B013"
"Balanced_Dispersed","balanced","dispersed",32,8,8,"B029"
"Balanced_Clustered","balanced","clustered",32,8,1,"B001"
"Balanced_Clustered","balanced","clustered",32,8,2,"B002"
"Balanced_Clustered","balanced","clustered",32,8,3,"B003"
"Balanced_Clustered","balanced","clustered",32,8,4,"B004"
"Balanced_Clustered","balanced","clustered",32,8,5,"B005"
"Balanced_Clustered","balanced","clustered",32,8,6,"B006"
"Balanced_Clustered","balanced","clustered",32,8,7,"B007"
"Balanced_Clustered","balanced","clustered",32,8,8,"B008"
"Ladder_Dispersed","ladder","dispersed",32,8,1,"L032"
"Ladder_Dispersed","ladder","dispersed",32,8,2,"L031"
"Ladder_Dispersed","ladder","dispersed",32,8,3,"L030"
"Ladder_Dispersed","ladder","dispersed",32,8,4,"L029"
"Ladder_Dispersed","ladder","dispersed",32,8,5,"L028"
"Ladder_Dispersed","ladder","dispersed",32,8,6,"L027"
"Ladder_Dispersed","ladder","dispersed",32,8,7,"L026"
"Ladder_Dispersed","ladder","dispersed",32,8,8,"L023"
"Ladder_Clustered","ladder","clustered",32,8,1,"L001"
"Ladder_Clustered","ladder","clustered",32,8,2,"L002"
"Ladder_Clustered","ladder","clustered",32,8,3,"L003"
"Ladder_Clustered","ladder","clustered",32,8,4,"L004"
"Ladder_Clustered","ladder","clustered",32,8,5,"L005"
"Ladder_Clustered","ladder","clustered",32,8,6,"L006"
"Ladder_Clustered","ladder","clustered",32,8,7,"L007"
"Ladder_Clustered","ladder","clustered",32,8,8,"L008"
