"N","s","Subset_Type","Covariance_Model","Covariance_Param_Label","Metric","Observed","SES","P_value"
128,8,"dispersed","BM","BM","off_mean",0.0457773376016081,-2.24232761675507,0.000999000999000999
128,8,"dispersed","BM","BM","rmax",0.330212856772719,-4.35708967895634,0.000999000999000999
128,8,"dispersed","BM","BM","neff_mean",6.11584728424142,3.61750091443167,0.000999000999000999
128,8,"clustered","BM","BM","off_mean",0.907506664382354,9.63542211270124,0.000999000999000999
128,8,"clustered","BM","BM","rmax",0.98318223017415,2.1317311072604,0.003996003996004
128,8,"clustered","BM","BM","neff_mean",1.10268670627703,-4.29857648556322,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=1","off_mean",0.0457773376016081,-2.24232761675507,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=1","rmax",0.330212856772719,-4.35708967895634,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=1","neff_mean",6.11584728424142,3.61750091443167,0.000999000999000999
128,8,"clustered","lambda_BM","lambda=1","off_mean",0.907506664382354,9.63542211270124,0.000999000999000999
128,8,"clustered","lambda_BM","lambda=1","rmax",0.98318223017415,2.1317311072604,0.003996003996004
128,8,"clustered","lambda_BM","lambda=1","neff_mean",1.10268670627703,-4.29857648556322,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=0.75","off_mean",0.0343330032012061,-2.24232761675507,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=0.75","rmax",0.247659642579539,-4.35708967895634,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=0.75","neff_mean",6.48680318246045,3.49457214181526,0.000999000999000999
128,8,"clustered","lambda_BM","lambda=0.75","off_mean",0.680629998286766,9.63542211270124,0.000999000999000999
128,8,"clustered","lambda_BM","lambda=0.75","rmax",0.737386672630613,2.1317311072604,0.003996003996004
128,8,"clustered","lambda_BM","lambda=0.75","neff_mean",1.39438724197868,-4.62174244533046,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=0.5","off_mean",0.0228886688008041,-2.24232761675507,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=0.5","rmax",0.16510642838636,-4.35708967895634,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=0.5","neff_mean",6.91422775067111,3.26745882258021,0.000999000999000999
128,8,"clustered","lambda_BM","lambda=0.5","off_mean",0.453753332191177,9.63542211270124,0.000999000999000999
128,8,"clustered","lambda_BM","lambda=0.5","rmax",0.491591115087075,2.1317311072604,0.003996003996004
128,8,"clustered","lambda_BM","lambda=0.5","neff_mean",1.91926369548786,-5.1058893317598,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=0.25","off_mean",0.011444334400402,-2.24232761675507,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=0.25","rmax",0.0825532141931798,-4.35708967895634,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=0.25","neff_mean",7.41220893326799,2.88461343018359,0.000999000999000999
128,8,"clustered","lambda_BM","lambda=0.25","off_mean",0.226876666095589,9.63542211270124,0.000999000999000999
128,8,"clustered","lambda_BM","lambda=0.25","rmax",0.245795557543538,2.1317311072604,0.003996003996004
128,8,"clustered","lambda_BM","lambda=0.25","neff_mean",3.0928180991959,-6.0578111995485,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=0.1","off_mean",0.00457773376016081,-2.24232761675507,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=0.1","rmax",0.0330212856772719,-4.35708967895634,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=0.1","neff_mean",7.75259033911971,2.54210458260962,0.000999000999000999
128,8,"clustered","lambda_BM","lambda=0.1","off_mean",0.0907506664382354,9.63542211270124,0.000999000999000999
128,8,"clustered","lambda_BM","lambda=0.1","rmax",0.098318223017415,2.1317311072604,0.003996003996004
128,8,"clustered","lambda_BM","lambda=0.1","neff_mean",4.8928279277635,-7.40791993680231,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=0","off_mean",0,NA,1
128,8,"dispersed","lambda_BM","lambda=0","rmax",0,NA,1
128,8,"dispersed","lambda_BM","lambda=0","neff_mean",8,NA,1
128,8,"clustered","lambda_BM","lambda=0","off_mean",0,NA,1
128,8,"clustered","lambda_BM","lambda=0","rmax",0,NA,1
