"N","s","Subset_Type","Metric","Observed","SES","P_value"
32,8,"dispersed","MeanNND",54.36088994364,2.80364417556839,0.000999000999000999
32,8,"clustered","MeanNND",17.589061891895,-3.08361595043529,0.000999000999000999
32,16,"dispersed","MeanNND",40.674571133295,3.58534956129548,0.000999000999000999
32,16,"clustered","MeanNND",26.0280722511175,-1.23881146246521,0.112887112887113
64,8,"dispersed","MeanNND",54.461993317995,3.04208281521386,0.001998001998002
64,8,"clustered","MeanNND",7.79002856085,-4.3110460377831,0.000999000999000999
64,16,"dispersed","MeanNND",41.5022264518637,3.72154208246041,0.000999000999000999
64,16,"clustered","MeanNND",12.5064434873387,-4.45393982579405,0.000999000999000999
64,32,"dispersed","MeanNND",32.161315679165,4.34567244314838,0.000999000999000999
64,32,"clustered","MeanNND",17.5669015315719,-3.29408781512087,0.001998001998002
128,8,"dispersed","MeanNND",58.6523325426575,3.47431233728115,0.000999000999000999
128,8,"clustered","MeanNND",5.0401845771875,-4.41545315459758,0.000999000999000999
128,16,"dispersed","MeanNND",47.1411799453163,5.19074033965821,0.000999000999000999
128,16,"clustered","MeanNND",9.017580295375,-4.87078549830131,0.000999000999000999
128,32,"dispersed","MeanNND",35.5177432198212,5.68150937738232,0.000999000999000999
128,32,"clustered","MeanNND",9.90773134706563,-5.75474745863897,0.000999000999000999
128,64,"dispersed","MeanNND",26.3509203978494,6.40787691678935,0.000999000999000999
128,64,"clustered","MeanNND",13.909217315533,-3.8694751826395,0.000999000999000999
256,8,"dispersed","MeanNND",58.65233361247,3.53622031102114,0.000999000999000999
256,8,"clustered","MeanNND",2.9752956817,-4.54781671044343,0.000999000999000999
256,16,"dispersed","MeanNND",47.2610048792912,5.28940999089144,0.000999000999000999
256,16,"clustered","MeanNND",4.132190304125,-5.92275114405067,0.000999000999000999
256,32,"dispersed","MeanNND",37.9014504543113,7.30393510181769,0.000999000999000999
256,32,"clustered","MeanNND",7.74144852398812,-6.36986375071049,0.000999000999000999
256,64,"dispersed","MeanNND",28.4235382080088,8.4328880021819,0.000999000999000999
256,64,"clustered","MeanNND",8.15155353782219,-7.43833192659771,0.000999000999000999
512,8,"dispersed","MeanNND",60.34718066517,3.87645189119593,0.000999000999000999
512,8,"clustered","MeanNND",2.653232724225,-4.99414897169604,0.000999000999000999
512,16,"dispersed","MeanNND",48.2519379634663,5.44148765769483,0.000999000999000999
512,16,"clustered","MeanNND",3.256299871655,-6.47404238321941,0.000999000999000999
512,32,"dispersed","MeanNND",39.0893953348894,6.73864079008999,0.000999000999000999
512,32,"clustered","MeanNND",3.22733594267125,-7.71930489947349,0.000999000999000999
512,64,"dispersed","MeanNND",29.8317048439981,7.83497676079662,0.000999000999000999
512,64,"clustered","MeanNND",6.18370040614781,-7.95601398163968,0.000999000999000999
