"Subset_Type","Metric","Observed_dist","SES_dist","P_value_dist","Observed_dep","SES_dep","P_value_dep"
"clustered","MaxPD",11.4865454126,-129261729.539622,0.000999000999000999,NA,NA,NA
"clustered","MeanNND",2.76755334553,-5.1130744296718,0.000999000999000999,NA,NA,NA
"clustered","MeanPD",9.25404696162684,-27.2615375185368,0.000999000999000999,NA,NA,NA
"clustered","MinPD",0.2136514338,-1.48373473626714,0.00799200799200799,NA,NA,NA
"clustered","neff_mean",NA,NA,NA,1.12029562935791,-17.9833773792058,0.000999000999000999
"clustered","off_mean",NA,NA,NA,0.89237789334698,27.2615382032791,0.000999000999000999
"clustered","rmax",NA,NA,NA,0.997515290619766,1.48373473646503,0.00799200799200799
"dispersed","MaxPD",85.9864928776,2.89238626030952,0.002997002997003,NA,NA,NA
"dispersed","MeanNND",38.507179663995,6.04309655680161,0.000999000999000999,NA,NA,NA
"dispersed","MeanPD",68.8725076996732,1.20308388549112,0.038961038961039,NA,NA,NA
"dispersed","MinPD",27.6665217814,10.0423525886519,0.000999000999000999,NA,NA,NA
"dispersed","neff_mean",NA,NA,NA,4.66366916014972,2.86677068085377,0.000999000999000999
"dispersed","off_mean",NA,NA,NA,0.199031062728396,-1.2030834967616,0.038961038961039
"dispersed","rmax",NA,NA,NA,0.678245723780341,-10.0423520525186,0.000999000999000999
