"N","s","Subset_Type","Metric","Observed","SES","P_value"
32,8,"dispersed","off_mean",0.0803949733316202,-1.79236363843001,0.002997002997003
32,8,"dispersed","rmax",0.460714885934276,-2.90260688377187,0.000999000999000999
32,8,"dispersed","neff_mean",5.34414622721019,2.52549265119238,0.000999000999000999
32,8,"clustered","off_mean",0.70688561518371,9.01459646607245,0.000999000999000999
32,8,"clustered","rmax",0.908696219084008,1.68647434207821,0.0769230769230769
32,8,"clustered","neff_mean",1.40862006840625,-4.92939267665291,0.000999000999000999
32,16,"dispersed","off_mean",0.163851641985454,-0.685547042524015,0.253746253746254
32,16,"dispersed","rmax",0.607454345862116,-4.46134592967531,0.000999000999000999
32,16,"dispersed","neff_mean",5.97814228663645,1.90047241031485,0.004995004995005
32,16,"clustered","off_mean",0.483163277350433,10.7295685899386,0.000999000999000999
32,16,"clustered","rmax",0.865929723594204,0.412416253232426,0.431568431568432
32,16,"clustered","neff_mean",2.05910439467742,-6.65324596304671,0.000999000999000999
64,8,"dispersed","off_mean",0.064563590206416,-2.05107770977415,0.000999000999000999
64,8,"dispersed","rmax",0.386101039478108,-3.49934073264064,0.000999000999000999
64,8,"dispersed","neff_mean",5.60354545797114,2.94637038569411,0.000999000999000999
64,8,"clustered","off_mean",0.830287201737706,8.90689485578591,0.000999000999000999
64,8,"clustered","rmax",0.959990222774389,1.84318709592011,0.020979020979021
64,8,"clustered","neff_mean",1.19205875359961,-4.31226391750492,0.000999000999000999
64,16,"dispersed","off_mean",0.118365483718262,-2.24492771560959,0.000999000999000999
64,16,"dispersed","rmax",0.568072441818713,-4.58308056212137,0.000999000999000999
64,16,"dispersed","neff_mean",6.50430526910084,2.78746329602117,0.000999000999000999
64,16,"clustered","off_mean",0.7021015170585,12.4337213686489,0.000999000999000999
64,16,"clustered","rmax",0.980213665413055,1.46318239593947,0.0699300699300699
64,16,"clustered","neff_mean",1.4672012367551,-5.78612443190914,0.000999000999000999
64,32,"dispersed","off_mean",0.18328788619382,-1.18027020475072,0.113886113886114
64,32,"dispersed","rmax",0.670546365498762,-8.94018062514059,0.000999000999000999
64,32,"dispersed","neff_mean",6.82064826491992,1.96593273837441,0.000999000999000999
64,32,"clustered","off_mean",0.516448487784556,13.6340200335916,0.000999000999000999
64,32,"clustered","rmax",0.938848293776699,-0.205340896556262,0.724275724275724
64,32,"clustered","neff_mean",1.92206262844877,-7.918152423429,0.000999000999000999
128,8,"dispersed","off_mean",0.0457773376016081,-2.24232761675507,0.000999000999000999
128,8,"dispersed","rmax",0.330212856772719,-4.35708967895634,0.000999000999000999
128,8,"dispersed","neff_mean",6.11584728424142,3.61750091443167,0.000999000999000999
128,8,"clustered","off_mean",0.907506664382354,9.63542211270124,0.000999000999000999
128,8,"clustered","rmax",0.98318223017415,2.1317311072604,0.003996003996004
128,8,"clustered","neff_mean",1.10268670627703,-4.29857648556322,0.000999000999000999
128,16,"dispersed","off_mean",0.111231239139146,-2.40928287681897,0.001998001998002
128,16,"dispersed","rmax",0.525914250219481,-5.59962899837437,0.000999000999000999
128,16,"dispersed","neff_mean",7.12619850223991,3.62420520270989,0.000999000999000999
128,16,"clustered","off_mean",0.785579880880554,14.9845693240045,0.000999000999000999
128,16,"clustered","rmax",0.959990222774389,1.44614275914447,0.0729270729270729
128,16,"clustered","neff_mean",1.27361312581034,-5.82642495718283,0.000999000999000999
128,32,"dispersed","off_mean",0.17556110102798,-1.20740059912936,0.107892107892108
128,32,"dispersed","rmax",0.645854813041857,-8.43000309826236,0.000999000999000999
128,32,"dispersed","neff_mean",7.70041882480137,3.05600552975244,0.000999000999000999
128,32,"clustered","off_mean",0.690321007603142,19.5753560697759,0.000999000999000999
128,32,"clustered","rmax",0.980213665413055,1.35136411722853,0.11988011988012
128,32,"clustered","neff_mean",1.49733113604398,-7.29213946182804,0.000999000999000999
128,64,"dispersed","off_mean",0.194829684644442,-0.726835437726196,0.25974025974026
128,64,"dispersed","rmax",0.775095225229437,-11.8619982084362,0.000999000999000999
128,64,"dispersed","neff_mean",7.84836985017386,1.9067053222497,0.000999000999000999
128,64,"clustered","off_mean",0.518223973565296,22.031594726547,0.000999000999000999
128,64,"clustered","rmax",0.98318223017415,0.956481152220539,0.263736263736264
128,64,"clustered","neff_mean",1.95752226622587,-9.61264721764327,0.000999000999000999
256,8,"dispersed","off_mean",0.0457773370309992,-2.30128153052077,0.000999000999000999
256,8,"dispersed","rmax",0.330212845582811,-4.21399352177919,0.000999000999000999
256,8,"dispersed","neff_mean",6.115847300384,3.78850372416225,0.000999000999000999
256,8,"clustered","off_mean",0.94386409217189,9.82987730479873,0.000999000999000999
256,8,"clustered","rmax",0.98318223017415,2.02633471682534,0.00599400599400599
256,8,"clustered","neff_mean",1.05500645471126,-4.26206715197952,0.000999000999000999
256,16,"dispersed","off_mean",0.106234425531746,-2.43230366432987,0.000999000999000999
256,16,"dispersed","rmax",0.494016037863991,-6.43950796503025,0.000999000999000999
256,16,"dispersed","neff_mean",7.1928551040654,4.01512779041572,0.000999000999000999
256,16,"clustered","off_mean",0.895131011294838,15.8953460181804,0.000999000999000999
256,16,"clustered","rmax",0.98318223017415,1.79746276254881,0.020979020979021
256,16,"clustered","neff_mean",1.12802136056559,-6.04648723824378,0.000999000999000999
256,32,"dispersed","off_mean",0.16021170591538,-1.79726873694594,0.015984015984016
256,32,"dispersed","rmax",0.609510925049834,-9.8626860557181,0.000999000999000999
256,32,"dispersed","neff_mean",7.80072292745916,3.62003430789941,0.000999000999000999
256,32,"clustered","off_mean",0.79504328616187,20.3816892822058,0.000999000999000999
256,32,"clustered","rmax",0.974381227637213,1.08784056040993,0.13986013986014
256,32,"clustered","neff_mean",1.27112171108235,-7.43903167099439,0.000999000999000999
256,64,"dispersed","off_mean",0.18972473809635,-1.37037480779198,0.0599400599400599
256,64,"dispersed","rmax",0.733299069831391,-13.1014787082026,0.000999000999000999
256,64,"dispersed","neff_mean",8.03302078165189,2.63040283354429,0.000999000999000999
256,64,"clustered","off_mean",0.697474604288379,28.1704765739831,0.000999000999000999
256,64,"clustered","rmax",0.980213665413055,0.63880630586185,0.316683316683317
256,64,"clustered","neff_mean",1.52727256477392,-8.75095696486022,0.000999000999000999
512,8,"dispersed","off_mean",0.0426558809695984,-2.24698601644307,0.000999000999000999
512,8,"dispersed","rmax",0.309479467477883,-4.5833885224776,0.000999000999000999
512,8,"dispersed","neff_mean",6.2039101208264,3.89844059498907,0.000999000999000999
512,8,"clustered","off_mean",0.946044410859706,10.1958354047792,0.000999000999000999
512,8,"clustered","rmax",0.99077914307287,2.29149744484442,0.001998001998002
512,8,"clustered","neff_mean",1.05484286937817,-4.59502712202433,0.000999000999000999
512,16,"dispersed","off_mean",0.0790613551895855,-2.98193054643964,0.000999000999000999
512,16,"dispersed","rmax",0.473916831441175,-6.10005070662908,0.000999000999000999
512,16,"dispersed","neff_mean",7.78497200221254,4.84903002578784,0.000999000999000999
512,16,"clustered","off_mean",0.920722217596583,17.4369406259498,0.000999000999000999
512,16,"clustered","rmax",0.98318223017415,1.71704792796521,0.020979020979021
512,16,"clustered","neff_mean",1.08692911272713,-6.48843505008566,0.000999000999000999
512,32,"dispersed","off_mean",0.13185246348399,-2.57087201492405,0.000999000999000999
512,32,"dispersed","rmax",0.581745973604438,-9.59794427962362,0.000999000999000999
512,32,"dispersed","neff_mean",8.48876262460832,4.13659605788343,0.000999000999000999
512,32,"clustered","off_mean",0.879577840542066,24.3119178567052,0.000999000999000999
512,32,"clustered","rmax",0.984389183734439,1.41500085111199,0.0549450549450549
512,32,"clustered","neff_mean",1.13893067628107,-7.41031887460318,0.000999000999000999
512,64,"dispersed","off_mean",0.173443594324483,-1.69129323880364,0.026973026973027
512,64,"dispersed","rmax",0.688300334167884,-14.4531041703843,0.000999000999000999
512,64,"dispersed","neff_mean",8.91352721662869,3.47745959038061,0.000999000999000999
512,64,"clustered","off_mean",0.782807408701561,31.7523218148304,0.000999000999000999
512,64,"clustered","rmax",0.99077914307287,1.10154468211356,0.0979020979020979
512,64,"clustered","neff_mean",1.29304586459606,-8.97681745457254,0.000999000999000999
