"N","s","Subset_Type","Covariance_Model","Covariance_Param_Label","Observed","SES","P_value"
128,8,"dispersed","BM","BM",6.11584728424142,3.61750091443167,0.000999000999000999
128,8,"clustered","BM","BM",1.10268670627704,-4.29857648556322,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=1",6.11584728424142,3.61750091443167,0.000999000999000999
128,8,"clustered","lambda_BM","lambda=1",1.10268670627704,-4.29857648556322,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=0.75",6.48680318246045,3.49457214181526,0.000999000999000999
128,8,"clustered","lambda_BM","lambda=0.75",1.39438724197868,-4.62174244533046,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=0.5",6.91422775067111,3.26745882258021,0.000999000999000999
128,8,"clustered","lambda_BM","lambda=0.5",1.91926369548786,-5.1058893317598,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=0.25",7.41220893326799,2.88461343018359,0.000999000999000999
128,8,"clustered","lambda_BM","lambda=0.25",3.0928180991959,-6.0578111995485,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=0.1",7.75259033911971,2.54210458260962,0.000999000999000999
128,8,"clustered","lambda_BM","lambda=0.1",4.8928279277635,-7.40791993680231,0.000999000999000999
128,8,"dispersed","lambda_BM","lambda=0",8,NA,1
128,8,"clustered","lambda_BM","lambda=0",8,NA,1
128,8,"dispersed","OU","half_life_frac=0.05",7.99999996689869,0.386138457596918,0.000999000999000999
128,8,"clustered","OU","half_life_frac=0.05",4.77462326693376,-26.0982202733487,0.000999000999000999
128,8,"dispersed","OU","half_life_frac=0.1",7.99955829475463,0.936400032110406,0.000999000999000999
128,8,"clustered","OU","half_life_frac=0.1",2.76894703449744,-20.4198254388027,0.000999000999000999
128,8,"dispersed","OU","half_life_frac=0.25",7.87688668608623,2.69824086735842,0.000999000999000999
128,8,"clustered","OU","half_life_frac=0.25",1.60859026717309,-9.68325853189406,0.000999000999000999
128,8,"dispersed","OU","half_life_frac=0.5",7.3793052437844,3.53093798716045,0.000999000999000999
128,8,"clustered","OU","half_life_frac=0.5",1.30521843196855,-6.19132417562176,0.000999000999000999
128,8,"dispersed","OU","half_life_frac=1",6.82867764256953,3.69695789268027,0.000999000999000999
128,8,"clustered","OU","half_life_frac=1",1.18816036936573,-5.03967614401239,0.000999000999000999
128,64,"dispersed","BM","BM",7.84836985017386,1.9067053222497,0.000999000999000999
128,64,"clustered","BM","BM",1.95752226622594,-9.61264721764313,0.000999000999000999
128,64,"dispersed","lambda_BM","lambda=1",7.84836985017386,1.9067053222497,0.000999000999000999
128,64,"clustered","lambda_BM","lambda=1",1.95752226622594,-9.61264721764313,0.000999000999000999
128,64,"dispersed","lambda_BM","lambda=0.75",9.52573227303303,1.98603246589183,0.002997002997003
128,64,"clustered","lambda_BM","lambda=0.75",2.57196135368506,-10.3914697077738,0.000999000999000999
