"Analysis","N","s","Species_Index","Dispersed","Clustered"
"Cricetidae_C32",32,8,1,"Phodopus_sungorus_CRICETIDAE_RODENTIA","Lemmus_amurensis_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,8,2,"Xenomys_nelsoni_CRICETIDAE_RODENTIA","Chionomys_roberti_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,8,3,"Scapteromys_meridionalis_CRICETIDAE_RODENTIA","Proedromys_bedfordi_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,8,4,"Neodon_linzhiensis_CRICETIDAE_RODENTIA","Microtus_umbrosus_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,8,5,"Reithrodontomys_hirsutus_CRICETIDAE_RODENTIA","Microtus_socialis_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,8,6,"Sigmodon_mascotensis_CRICETIDAE_RODENTIA","Microtus_lusitanicus_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,8,7,"Baiomys_musculus_CRICETIDAE_RODENTIA","Microtus_thomasi_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,8,8,"Scolomys_ucayalensis_CRICETIDAE_RODENTIA","Neodon_linzhiensis_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,16,1,"Phodopus_sungorus_CRICETIDAE_RODENTIA","Sigmodon_mascotensis_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,16,2,"Xenomys_nelsoni_CRICETIDAE_RODENTIA","Rhipidomys_latimanus_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,16,3,"Scapteromys_meridionalis_CRICETIDAE_RODENTIA","Thomasomys_cinnameus_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,16,4,"Neodon_linzhiensis_CRICETIDAE_RODENTIA","Scapteromys_meridionalis_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,16,5,"Reithrodontomys_hirsutus_CRICETIDAE_RODENTIA","Akodon_montensis_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,16,6,"Sigmodon_mascotensis_CRICETIDAE_RODENTIA","Akodon_iniscatus_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,16,7,"Baiomys_musculus_CRICETIDAE_RODENTIA","Necromys_lenguarum_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,16,8,"Scolomys_ucayalensis_CRICETIDAE_RODENTIA","Calomys_expulsus_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,16,9,"Calomys_expulsus_CRICETIDAE_RODENTIA","Eligmodontia_bolsonensis_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,16,10,"Peromyscus_polionotus_CRICETIDAE_RODENTIA","Paralomys_gerbillus_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,16,11,"Rhipidomys_latimanus_CRICETIDAE_RODENTIA","Handleyomys_alfaroi_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,16,12,"Oligoryzomys_destructor_CRICETIDAE_RODENTIA","Neacomys_spinosus_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,16,13,"Lemmus_amurensis_CRICETIDAE_RODENTIA","Oligoryzomys_rupestris_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,16,14,"Handleyomys_alfaroi_CRICETIDAE_RODENTIA","Oligoryzomys_destructor_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,16,15,"Thomasomys_cinnameus_CRICETIDAE_RODENTIA","Nesoryzomys_swarthi_CRICETIDAE_RODENTIA"
"Cricetidae_C32",32,16,16,"Nesoryzomys_swarthi_CRICETIDAE_RODENTIA","Scolomys_ucayalensis_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,8,1,"Mesocricetus_newtoni_CRICETIDAE_RODENTIA","Microtus_umbrosus_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,8,2,"Xenomys_nelsoni_CRICETIDAE_RODENTIA","Microtus_miurus_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,8,3,"Scapteromys_meridionalis_CRICETIDAE_RODENTIA","Microtus_ilaeus_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,8,4,"Neodon_linzhiensis_CRICETIDAE_RODENTIA","Microtus_dogramacii_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,8,5,"Reithrodontomys_hirsutus_CRICETIDAE_RODENTIA","Microtus_socialis_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,8,6,"Phodopus_sungorus_CRICETIDAE_RODENTIA","Microtus_anatolicus_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,8,7,"Sigmodon_mascotensis_CRICETIDAE_RODENTIA","Microtus_lusitanicus_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,8,8,"Baiomys_musculus_CRICETIDAE_RODENTIA","Microtus_thomasi_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,16,1,"Mesocricetus_newtoni_CRICETIDAE_RODENTIA","Lemmus_sibiricus_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,16,2,"Xenomys_nelsoni_CRICETIDAE_RODENTIA","Myodes_centralis_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,16,3,"Scapteromys_meridionalis_CRICETIDAE_RODENTIA","Lagurus_lagurus_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,16,4,"Neodon_linzhiensis_CRICETIDAE_RODENTIA","Chionomys_roberti_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,16,5,"Reithrodontomys_hirsutus_CRICETIDAE_RODENTIA","Proedromys_bedfordi_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,16,6,"Phodopus_sungorus_CRICETIDAE_RODENTIA","Microtus_umbrosus_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,16,7,"Sigmodon_mascotensis_CRICETIDAE_RODENTIA","Microtus_miurus_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,16,8,"Baiomys_musculus_CRICETIDAE_RODENTIA","Microtus_ilaeus_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,16,9,"Scolomys_ucayalensis_CRICETIDAE_RODENTIA","Microtus_dogramacii_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,16,10,"Abrothrix_longipilis_CRICETIDAE_RODENTIA","Microtus_socialis_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,16,11,"Peromyscus_polionotus_CRICETIDAE_RODENTIA","Microtus_anatolicus_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,16,12,"Rhipidomys_latimanus_CRICETIDAE_RODENTIA","Microtus_lusitanicus_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,16,13,"Nephelomys_levipes_CRICETIDAE_RODENTIA","Microtus_thomasi_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,16,14,"Calomys_expulsus_CRICETIDAE_RODENTIA","Microtus_sachalinensis_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,16,15,"Neofiber_alleni_CRICETIDAE_RODENTIA","Neodon_linzhiensis_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,16,16,"Lemmus_sibiricus_CRICETIDAE_RODENTIA","Arborimus_albipes_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,1,"Mesocricetus_newtoni_CRICETIDAE_RODENTIA","Rhipidomys_latimanus_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,2,"Xenomys_nelsoni_CRICETIDAE_RODENTIA","Thomasomys_cinnameus_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,3,"Scapteromys_meridionalis_CRICETIDAE_RODENTIA","Chilomys_instans_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,4,"Neodon_linzhiensis_CRICETIDAE_RODENTIA","Brucepattersonius_iheringi_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,5,"Reithrodontomys_hirsutus_CRICETIDAE_RODENTIA","Scapteromys_meridionalis_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,6,"Phodopus_sungorus_CRICETIDAE_RODENTIA","Juscelinomys_huanchacae_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,7,"Sigmodon_mascotensis_CRICETIDAE_RODENTIA","Akodon_sylvanus_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,8,"Baiomys_musculus_CRICETIDAE_RODENTIA","Akodon_azarae_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,9,"Scolomys_ucayalensis_CRICETIDAE_RODENTIA","Akodon_juninensis_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,10,"Abrothrix_longipilis_CRICETIDAE_RODENTIA","Akodon_montensis_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,11,"Peromyscus_polionotus_CRICETIDAE_RODENTIA","Akodon_iniscatus_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,12,"Rhipidomys_latimanus_CRICETIDAE_RODENTIA","Necromys_lactens_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,13,"Nephelomys_levipes_CRICETIDAE_RODENTIA","Necromys_lenguarum_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,14,"Calomys_expulsus_CRICETIDAE_RODENTIA","Calomys_expulsus_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,15,"Neofiber_alleni_CRICETIDAE_RODENTIA","Eligmodontia_bolsonensis_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,16,"Lemmus_sibiricus_CRICETIDAE_RODENTIA","Auliscomys_sublimis_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,17,"Oligoryzomys_destructor_CRICETIDAE_RODENTIA","Paralomys_gerbillus_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,18,"Chilomys_instans_CRICETIDAE_RODENTIA","Wiedomys_pyrrhorhinos_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,19,"Wiedomys_pyrrhorhinos_CRICETIDAE_RODENTIA","Wiedomys_cerradensis_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,20,"Arborimus_albipes_CRICETIDAE_RODENTIA","Abrothrix_sanborni_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,21,"Aegialomys_galapagoensis_CRICETIDAE_RODENTIA","Abrothrix_longipilis_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,22,"Thomasomys_cinnameus_CRICETIDAE_RODENTIA","Hylaeamys_megacephalus_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,23,"Neotoma_cinerea_CRICETIDAE_RODENTIA","Nephelomys_levipes_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,24,"Paralomys_gerbillus_CRICETIDAE_RODENTIA","Handleyomys_alfaroi_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,25,"Necromys_lactens_CRICETIDAE_RODENTIA","Neacomys_spinosus_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,26,"Juscelinomys_huanchacae_CRICETIDAE_RODENTIA","Oligoryzomys_rupestris_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,27,"Myodes_centralis_CRICETIDAE_RODENTIA","Oligoryzomys_destructor_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,28,"Eligmodontia_bolsonensis_CRICETIDAE_RODENTIA","Oligoryzomys_nigripes_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,29,"Handleyomys_alfaroi_CRICETIDAE_RODENTIA","Cerradomys_maracajuensis_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,30,"Peromyscus_californicus_CRICETIDAE_RODENTIA","Pseudoryzomys_simplex_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,31,"Lagurus_lagurus_CRICETIDAE_RODENTIA","Nesoryzomys_swarthi_CRICETIDAE_RODENTIA"
"Cricetidae_C64",64,32,32,"Neacomys_spinosus_CRICETIDAE_RODENTIA","Aegialomys_galapagoensis_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,8,1,"Phodopus_sungorus_CRICETIDAE_RODENTIA","Akodon_lutescens_CRICETIDAE_RODENTIA"
