"N","s","Subset_Type","Species_Index","Species"
32,8,"clustered",1,"Lemmus_amurensis_CRICETIDAE_RODENTIA"
32,8,"clustered",2,"Chionomys_roberti_CRICETIDAE_RODENTIA"
32,8,"clustered",3,"Microtus_socialis_CRICETIDAE_RODENTIA"
32,8,"clustered",4,"Microtus_thomasi_CRICETIDAE_RODENTIA"
32,8,"clustered",5,"Microtus_lusitanicus_CRICETIDAE_RODENTIA"
32,8,"clustered",6,"Microtus_umbrosus_CRICETIDAE_RODENTIA"
32,8,"clustered",7,"Neodon_linzhiensis_CRICETIDAE_RODENTIA"
32,8,"clustered",8,"Proedromys_bedfordi_CRICETIDAE_RODENTIA"
32,8,"dispersed",1,"Phodopus_sungorus_CRICETIDAE_RODENTIA"
32,8,"dispersed",2,"Xenomys_nelsoni_CRICETIDAE_RODENTIA"
32,8,"dispersed",3,"Scapteromys_meridionalis_CRICETIDAE_RODENTIA"
32,8,"dispersed",4,"Neodon_linzhiensis_CRICETIDAE_RODENTIA"
32,8,"dispersed",5,"Reithrodontomys_hirsutus_CRICETIDAE_RODENTIA"
32,8,"dispersed",6,"Sigmodon_mascotensis_CRICETIDAE_RODENTIA"
32,8,"dispersed",7,"Baiomys_musculus_CRICETIDAE_RODENTIA"
32,8,"dispersed",8,"Scolomys_ucayalensis_CRICETIDAE_RODENTIA"
32,16,"clustered",1,"Handleyomys_alfaroi_CRICETIDAE_RODENTIA"
32,16,"clustered",2,"Oligoryzomys_rupestris_CRICETIDAE_RODENTIA"
32,16,"clustered",3,"Oligoryzomys_destructor_CRICETIDAE_RODENTIA"
32,16,"clustered",4,"Neacomys_spinosus_CRICETIDAE_RODENTIA"
32,16,"clustered",5,"Nesoryzomys_swarthi_CRICETIDAE_RODENTIA"
32,16,"clustered",6,"Scolomys_ucayalensis_CRICETIDAE_RODENTIA"
32,16,"clustered",7,"Eligmodontia_bolsonensis_CRICETIDAE_RODENTIA"
32,16,"clustered",8,"Paralomys_gerbillus_CRICETIDAE_RODENTIA"
32,16,"clustered",9,"Calomys_expulsus_CRICETIDAE_RODENTIA"
32,16,"clustered",10,"Akodon_iniscatus_CRICETIDAE_RODENTIA"
32,16,"clustered",11,"Akodon_montensis_CRICETIDAE_RODENTIA"
32,16,"clustered",12,"Necromys_lenguarum_CRICETIDAE_RODENTIA"
32,16,"clustered",13,"Scapteromys_meridionalis_CRICETIDAE_RODENTIA"
32,16,"clustered",14,"Thomasomys_cinnameus_CRICETIDAE_RODENTIA"
32,16,"clustered",15,"Rhipidomys_latimanus_CRICETIDAE_RODENTIA"
32,16,"clustered",16,"Sigmodon_mascotensis_CRICETIDAE_RODENTIA"
32,16,"dispersed",1,"Phodopus_sungorus_CRICETIDAE_RODENTIA"
32,16,"dispersed",2,"Xenomys_nelsoni_CRICETIDAE_RODENTIA"
32,16,"dispersed",3,"Scapteromys_meridionalis_CRICETIDAE_RODENTIA"
32,16,"dispersed",4,"Neodon_linzhiensis_CRICETIDAE_RODENTIA"
32,16,"dispersed",5,"Reithrodontomys_hirsutus_CRICETIDAE_RODENTIA"
32,16,"dispersed",6,"Sigmodon_mascotensis_CRICETIDAE_RODENTIA"
32,16,"dispersed",7,"Baiomys_musculus_CRICETIDAE_RODENTIA"
32,16,"dispersed",8,"Scolomys_ucayalensis_CRICETIDAE_RODENTIA"
32,16,"dispersed",9,"Calomys_expulsus_CRICETIDAE_RODENTIA"
32,16,"dispersed",10,"Peromyscus_polionotus_CRICETIDAE_RODENTIA"
32,16,"dispersed",11,"Rhipidomys_latimanus_CRICETIDAE_RODENTIA"
32,16,"dispersed",12,"Oligoryzomys_destructor_CRICETIDAE_RODENTIA"
32,16,"dispersed",13,"Lemmus_amurensis_CRICETIDAE_RODENTIA"
32,16,"dispersed",14,"Handleyomys_alfaroi_CRICETIDAE_RODENTIA"
32,16,"dispersed",15,"Thomasomys_cinnameus_CRICETIDAE_RODENTIA"
32,16,"dispersed",16,"Nesoryzomys_swarthi_CRICETIDAE_RODENTIA"
64,8,"clustered",1,"Microtus_socialis_CRICETIDAE_RODENTIA"
64,8,"clustered",2,"Microtus_anatolicus_CRICETIDAE_RODENTIA"
64,8,"clustered",3,"Microtus_dogramacii_CRICETIDAE_RODENTIA"
64,8,"clustered",4,"Microtus_ilaeus_CRICETIDAE_RODENTIA"
64,8,"clustered",5,"Microtus_thomasi_CRICETIDAE_RODENTIA"
64,8,"clustered",6,"Microtus_lusitanicus_CRICETIDAE_RODENTIA"
64,8,"clustered",7,"Microtus_miurus_CRICETIDAE_RODENTIA"
64,8,"clustered",8,"Microtus_umbrosus_CRICETIDAE_RODENTIA"
64,8,"dispersed",1,"Mesocricetus_newtoni_CRICETIDAE_RODENTIA"
64,8,"dispersed",2,"Xenomys_nelsoni_CRICETIDAE_RODENTIA"
64,8,"dispersed",3,"Scapteromys_meridionalis_CRICETIDAE_RODENTIA"
64,8,"dispersed",4,"Neodon_linzhiensis_CRICETIDAE_RODENTIA"
64,8,"dispersed",5,"Reithrodontomys_hirsutus_CRICETIDAE_RODENTIA"
64,8,"dispersed",6,"Phodopus_sungorus_CRICETIDAE_RODENTIA"
64,8,"dispersed",7,"Sigmodon_mascotensis_CRICETIDAE_RODENTIA"
64,8,"dispersed",8,"Baiomys_musculus_CRICETIDAE_RODENTIA"
64,16,"clustered",1,"Myodes_centralis_CRICETIDAE_RODENTIA"
64,16,"clustered",2,"Chionomys_roberti_CRICETIDAE_RODENTIA"
64,16,"clustered",3,"Microtus_socialis_CRICETIDAE_RODENTIA"
64,16,"clustered",4,"Microtus_anatolicus_CRICETIDAE_RODENTIA"
64,16,"clustered",5,"Microtus_dogramacii_CRICETIDAE_RODENTIA"
64,16,"clustered",6,"Microtus_ilaeus_CRICETIDAE_RODENTIA"
64,16,"clustered",7,"Microtus_thomasi_CRICETIDAE_RODENTIA"
64,16,"clustered",8,"Microtus_lusitanicus_CRICETIDAE_RODENTIA"
64,16,"clustered",9,"Microtus_miurus_CRICETIDAE_RODENTIA"
64,16,"clustered",10,"Microtus_umbrosus_CRICETIDAE_RODENTIA"
64,16,"clustered",11,"Microtus_sachalinensis_CRICETIDAE_RODENTIA"
