"Subset membership","Common name","Latin name","Family"
"Clustered","Cheetah","Acinonyx jubatus","FELIDAE"
"Clustered","Domestic Cat","Felis catus","FELIDAE"
"Clustered","Jungle Cat","Felis chaus","FELIDAE"
"Clustered","Sand Cat","Felis margarita","FELIDAE"
"Clustered","Black-footed Cat","Felis nigripes","FELIDAE"
"Clustered","European Wildcat","Felis silvestris","FELIDAE"
"Clustered","Central Chilean Colocolo","Leopardus colocolo","FELIDAE"
"Clustered","Kodkod","Leopardus guigna","FELIDAE"
"Clustered","Andean Mountain Cat","Leopardus jacobita","FELIDAE"
"Clustered","Ocelot","Leopardus pardalis","FELIDAE"
"Clustered","Savanna Oncilla","Leopardus tigrinus","FELIDAE"
"Clustered","Margay","Leopardus wiedii","FELIDAE"
"Clustered","Canadian Lynx","Lynx canadensis","FELIDAE"
"Clustered","Eurasian Lynx","Lynx lynx","FELIDAE"
"Clustered","Iberian Lynx","Lynx pardinus","FELIDAE"
"Clustered","Bobcat","Lynx rufus","FELIDAE"
"Clustered","Pallas's Cat","Otocolobus manul","FELIDAE"
"Clustered","Mainland Leopard Cat","Prionailurus bengalensis","FELIDAE"
"Clustered","Flat-headed Cat","Prionailurus planiceps","FELIDAE"
"Clustered","Fishing Cat","Prionailurus viverrinus","FELIDAE"
"Dispersed","Western Red Panda","Ailurus fulgens","AILURIDAE"
"Dispersed","Cape Fox","Vulpes chama","CANIDAE"
"Dispersed","Spotted Fanaloka","Fossa fossana","EUPLERIDAE"
"Dispersed","Serval","Leptailurus serval","FELIDAE"
"Dispersed","Egyptian Mongoose","Herpestes ichneumon","HERPESTIDAE"
"Dispersed","Striped Hyena","Hyaena hyaena","HYAENIDAE"
"Dispersed","Striped Hog-nosed Skunk","Conepatus semistriatus","MEPHITIDAE"
"Dispersed","Palawan Stink Badger","Mydaus marchei","MEPHITIDAE"
"Dispersed","European Badger","Meles meles","MUSTELIDAE"
"Dispersed","Cuc Phuong Ferret-badger","Melogale cucphuongensis","MUSTELIDAE"
"Dispersed","American Badger","Taxidea taxus","MUSTELIDAE"
"Dispersed","African Palm Civet","Nandinia binotata","NANDINIIDAE"
"Dispersed","Galapagos Fur Seal","Arctocephalus galapagoensis","OTARIIDAE"
"Dispersed","Bearded Seal","Erignathus barbatus","PHOCIDAE"
"Dispersed","Spotted Linsang","Prionodon pardicolor","PRIONODONTIDAE"
"Dispersed","South American Coati","Nasua nasua","PROCYONIDAE"
"Dispersed","Kinkajou","Potos flavus","PROCYONIDAE"
"Dispersed","Northern Raccoon","Procyon lotor","PROCYONIDAE"
"Dispersed","Giant Panda","Ailuropoda melanoleuca","URSIDAE"
"Dispersed","Masked Palm Civet","Paguma larvata","VIVERRIDAE"
"Neither","Short-eared Dog","Atelocynus microtis","CANIDAE"
"Neither","Side-striped Jackal","Canis adustus","CANIDAE"
"Neither","African Golden Wolf","Canis anthus","CANIDAE"
"Neither","Golden Jackal","Canis aureus","CANIDAE"
"Neither","Coyote","Canis latrans","CANIDAE"
"Neither","Gray Wolf","Canis lupus","CANIDAE"
"Neither","Black-backed Jackal","Canis mesomelas","CANIDAE"
"Neither","Red Wolf","Canis rufus","CANIDAE"
"Neither","Ethiopian Wolf","Canis simensis","CANIDAE"
"Neither","Crab-eating Fox","Cerdocyon thous","CANIDAE"
"Neither","Maned Wolf","Chrysocyon brachyurus","CANIDAE"
"Neither","Dhole","Cuon alpinus","CANIDAE"
"Neither","African Wild Dog","Lycaon pictus","CANIDAE"
"Neither","Common Raccoon Dog","Nyctereutes procyonoides","CANIDAE"
"Neither","Bat-eared Fox","Otocyon megalotis","CANIDAE"
"Neither","Culpeo","Pseudalopex culpaeus","CANIDAE"
"Neither","Darwin's Fox","Pseudalopex fulvipes","CANIDAE"
"Neither","South American Gray Fox","Pseudalopex griseus","CANIDAE"
"Neither","Pampas Fox","Pseudalopex gymnocercus","CANIDAE"
"Neither","Sechuran Fox","Pseudalopex sechurae","CANIDAE"
"Neither","Hoary Fox","Pseudalopex vetulus","CANIDAE"
"Neither","Bush Dog","Speothos venaticus","CANIDAE"
"Neither","Northern Gray Fox","Urocyon cinereoargenteus","CANIDAE"
"Neither","Island Fox","Urocyon littoralis","CANIDAE"
"Neither","Blanford's Fox","Vulpes cana","CANIDAE"
"Neither","Corsac Fox","Vulpes corsac","CANIDAE"
"Neither","Tibetan Fox","Vulpes ferrilata","CANIDAE"
"Neither","Arctic Fox","Vulpes lagopus","CANIDAE"
"Neither","Kit Fox","Vulpes macrotis","CANIDAE"
"Neither","Pale Fox","Vulpes pallida","CANIDAE"
"Neither","Rüppell's Fox","Vulpes rueppellii","CANIDAE"
"Neither","Swift Fox","Vulpes velox","CANIDAE"
"Neither","Red Fox","Vulpes vulpes","CANIDAE"
"Neither","Fennec Fox","Vulpes zerda","CANIDAE"
"Neither","Fosa","Cryptoprocta ferox","EUPLERIDAE"
"Neither","Falanouc","Eupleres goudotii","EUPLERIDAE"
"Neither","Ring-tailed Vontsira","Galidia elegans","EUPLERIDAE"
"Neither","Broad-striped Vontsira","Galidictis fasciata","EUPLERIDAE"
"Neither","Narrow-striped Boky","Mungotictis decemlineata","EUPLERIDAE"
"Neither","Brown-tailed Vontsira","Salanoia concolor","EUPLERIDAE"
"Neither","Brown-tailed Vontsira","Salanoia durrelli","EUPLERIDAE"
"Neither","African Golden Cat","Caracal aurata","FELIDAE"
"Neither","Caracal","Caracal caracal","FELIDAE"
"Neither","Bay Cat","Catopuma badia","FELIDAE"
"Neither","Asian Golden Cat","Catopuma temminckii","FELIDAE"
"Neither","Jaguarundi","Herpailurus yagouaroundi","FELIDAE"
"Neither","Sunda Clouded Leopard","Neofelis diardi","FELIDAE"
"Neither","Mainland Clouded Leopard","Neofelis nebulosa","FELIDAE"
"Neither","Lion","Panthera leo","FELIDAE"
"Neither","Jaguar","Panthera onca","FELIDAE"
"Neither","Leopard","Panthera pardus","FELIDAE"
"Neither","Tiger","Panthera tigris","FELIDAE"
"Neither","Snow Leopard","Panthera uncia","FELIDAE"
"Neither","Marbled Cat","Pardofelis marmorata","FELIDAE"
"Neither","Puma","Puma concolor","FELIDAE"
"Neither","Marsh Mongoose","Atilax paludinosus","HERPESTIDAE"
"Neither","Bushy-tailed Mongoose","Bdeogale crassicauda","HERPESTIDAE"
"Neither","Black-footed Mongoose","Bdeogale nigripes","HERPESTIDAE"
"Neither","Alexander's Cusimanse","Crossarchus alexandri","HERPESTIDAE"
"Neither","Angolan Cusimanse","Crossarchus ansorgei","HERPESTIDAE"
"Neither","Common Cusimanse","Crossarchus obscurus","HERPESTIDAE"
"Neither","Flat-headed Cusimanse","Crossarchus platycephalus","HERPESTIDAE"
"Neither","Yellow Mongoose","Cynictis penicillata","HERPESTIDAE"
"Neither","Ethiopian Dwarf Mongoose","Helogale hirtula","HERPESTIDAE"
"Neither","Common Dwarf Mongoose","Helogale parvula","HERPESTIDAE"
"Neither","Short-tailed Mongoose","Herpestes brachyurus","HERPESTIDAE"
"Neither","Indian Gray Mongoose","Herpestes edwardsii","HERPESTIDAE"
"Neither","Angolan Slender Mongoose","Herpestes flavescens","HERPESTIDAE"
"Neither","Indian Brown Mongoose","Herpestes fuscus","HERPESTIDAE"
"Neither","Javan Mongoose","Herpestes javanicus","HERPESTIDAE"
"Neither","Long-nosed Mongoose","Herpestes naso","HERPESTIDAE"
"Neither","Cape Gray Mongoose","Herpestes pulverulentus","HERPESTIDAE"
"Neither","Common Slender Mongoose","Herpestes sanguineus","HERPESTIDAE"
"Neither","Collared Mongoose","Herpestes semitorquatus","HERPESTIDAE"
"Neither","Crab-eating Mongoose","Herpestes urva","HERPESTIDAE"
"Neither","Stripe-necked Mongoose","Herpestes vitticollis","HERPESTIDAE"
"Neither","White-tailed Mongoose","Ichneumia albicauda","HERPESTIDAE"
"Neither","Liberian Mongoose","Liberiictis kuhni","HERPESTIDAE"
"Neither","Banded Mongoose","Mungos mungo","HERPESTIDAE"
"Neither","Selous's Mongoose","Paracynictis selousi","HERPESTIDAE"
"Neither","Meller's Mongoose","Rhynchogale melleri","HERPESTIDAE"
"Neither","Meerkat","Suricata suricatta","HERPESTIDAE"
"Neither","Spotted Hyena","Crocuta crocuta","HYAENIDAE"
"Neither","Brown Hyena","Hyaena brunnea","HYAENIDAE"
"Neither","Southern Aardwolf","Proteles cristata","HYAENIDAE"
"Neither","Molina's Hog-nosed Skunk","Conepatus chinga","MEPHITIDAE"
