"Latin name","C512","C256","C128","C64","C32"
"Abrothrix andinus","Yes","No","No","No","No"
"Abrothrix hershkovitzi","Yes","No","No","No","No"
"Abrothrix illuteus","Yes","Yes","No","No","No"
"Abrothrix jelskii","Yes","No","No","No","No"
"Abrothrix lanosus","Yes","Yes","No","No","No"
"Abrothrix longipilis","Yes","Yes","Yes","Yes","No"
"Abrothrix markhami","Yes","Yes","No","No","No"
"Abrothrix olivaceus","Yes","Yes","Yes","No","No"
"Abrothrix sanborni","Yes","Yes","Yes","Yes","No"
"Aegialomys galapagoensis","Yes","Yes","Yes","Yes","No"
"Aegialomys xanthaeolus","Yes","No","No","No","No"
"Aepeomys lugens","Yes","Yes","Yes","No","No"
"Akodon aerosus","Yes","No","No","No","No"
"Akodon affinis","Yes","No","No","No","No"
"Akodon albiventer","Yes","No","No","No","No"
"Akodon azarae","Yes","Yes","Yes","Yes","No"
"Akodon boliviensis","Yes","Yes","No","No","No"
"Akodon budini","Yes","No","No","No","No"
"Akodon cursor","Yes","Yes","Yes","No","No"
"Akodon dayi","Yes","Yes","Yes","No","No"
"Akodon dolores","Yes","No","No","No","No"
"Akodon fumeus","Yes","No","No","No","No"
"Akodon iniscatus","Yes","Yes","Yes","Yes","Yes"
"Akodon juninensis","Yes","Yes","Yes","Yes","No"
"Akodon kofordi","Yes","Yes","No","No","No"
"Akodon latebricola","Yes","No","No","No","No"
"Akodon lindberghi","Yes","No","No","No","No"
"Akodon lutescens","Yes","Yes","Yes","No","No"
"Akodon mimus","Yes","Yes","No","No","No"
"Akodon molinae","Yes","No","No","No","No"
"Akodon mollis","Yes","No","No","No","No"
"Akodon montensis","Yes","Yes","Yes","Yes","Yes"
"Akodon mystax","Yes","No","No","No","No"
"Akodon orophilus","Yes","Yes","No","No","No"
"Akodon paranaensis","Yes","No","No","No","No"
"Akodon philipmyersi","Yes","Yes","No","No","No"
"Akodon polopi","Yes","Yes","No","No","No"
"Akodon reigi","Yes","No","No","No","No"
"Akodon serrensis","Yes","Yes","No","No","No"
"Akodon siberiae","Yes","Yes","No","No","No"
"Akodon simulator","Yes","No","No","No","No"
"Akodon spegazzinii","Yes","Yes","No","No","No"
"Akodon subfuscus","Yes","Yes","Yes","No","No"
"Akodon sylvanus","Yes","Yes","Yes","Yes","No"
"Akodon toba","Yes","No","No","No","No"
"Akodon torques","Yes","Yes","Yes","No","No"
"Akodon varius","Yes","No","No","No","No"
"Allocricetulus eversmanni","Yes","Yes","No","No","No"
"Alticola albicaudus","Yes","No","No","No","No"
"Alticola argentatus","Yes","No","No","No","No"
"Alticola barakshin","Yes","Yes","No","No","No"
"Alticola lemminus","Yes","Yes","No","No","No"
"Alticola macrotis","Yes","Yes","No","No","No"
"Alticola montosa","Yes","Yes","No","No","No"
"Alticola olchonensis","Yes","Yes","No","No","No"
"Alticola semicanus","Yes","Yes","Yes","No","No"
"Alticola stoliczkanus","Yes","No","No","No","No"
"Alticola strelzowi","Yes","Yes","No","No","No"
"Alticola tuvinicus","Yes","No","No","No","No"
"Amphinectomys savamis","Yes","Yes","Yes","No","No"
"Andalgalomys olrogi","Yes","No","No","No","No"
"Andalgalomys pearsoni","Yes","Yes","No","No","No"
"Andinomys edax","Yes","Yes","No","No","No"
"Arborimus albipes","Yes","Yes","Yes","Yes","No"
"Arborimus longicaudus","Yes","Yes","No","No","No"
"Arborimus pomo","Yes","No","No","No","No"
"Arvicola amphibius","Yes","No","No","No","No"
"Arvicola sapidus","Yes","No","No","No","No"
"Arvicola scherman","Yes","No","No","No","No"
"Auliscomys boliviensis","Yes","No","No","No","No"
"Auliscomys pictus","Yes","No","No","No","No"
"Auliscomys sublimis","Yes","Yes","Yes","Yes","No"
"Baiomys musculus","Yes","Yes","Yes","Yes","Yes"
"Baiomys taylori","Yes","No","No","No","No"
"Bibimys chacoensis","Yes","Yes","No","No","No"
"Bibimys labiosus","Yes","Yes","Yes","No","No"
"Blanfordimys afghanus","Yes","Yes","No","No","No"
"Blanfordimys bucharensis","Yes","No","No","No","No"
"Blanfordimys juldaschi","Yes","No","No","No","No"
"Blarinomys breviceps","Yes","No","No","No","No"
"Brucepattersonius igniventris","Yes","Yes","No","No","No"
"Brucepattersonius iheringi","Yes","Yes","Yes","Yes","No"
"Brucepattersonius soricinus","Yes","No","No","No","No"
"Calassomys apicalis","Yes","No","No","No","No"
"Calomys callosus","Yes","Yes","No","No","No"
"Calomys cerqueirai","Yes","Yes","No","No","No"
"Calomys expulsus","Yes","Yes","Yes","Yes","Yes"
"Calomys fecundus","Yes","Yes","No","No","No"
"Calomys hummelincki","Yes","No","No","No","No"
"Calomys laucha","Yes","Yes","Yes","No","No"
"Calomys lepidus","Yes","No","No","No","No"
"Calomys musculinus","Yes","Yes","No","No","No"
"Calomys sorellus","Yes","No","No","No","No"
"Calomys tener","Yes","No","No","No","No"
"Calomys tocantinsi","Yes","No","No","No","No"
"Calomys venustus","Yes","No","No","No","No"
"Caryomys eva","Yes","No","No","No","No"
"Caryomys inez","Yes","Yes","No","No","No"
"Cerradomys akroai","Yes","No","No","No","No"
"Cerradomys goytaca","Yes","No","No","No","No"
"Cerradomys langguthi","Yes","No","No","No","No"
"Cerradomys maracajuensis","Yes","Yes","Yes","Yes","No"
"Cerradomys marinhus","Yes","No","No","No","No"
"Cerradomys scotti","Yes","Yes","No","No","No"
"Cerradomys subflavus","Yes","No","No","No","No"
"Cerradomys vivoi","Yes","No","No","No","No"
"Chelemys macronyx","Yes","No","No","No","No"
"Chelemys megalonyx","Yes","Yes","No","No","No"
"Chilomys instans","Yes","Yes","Yes","Yes","No"
"Chionomys gud","Yes","No","No","No","No"
"Chionomys nivalis","Yes","No","No","No","No"
"Chionomys roberti","Yes","Yes","Yes","Yes","Yes"
