Subset membership,Common name,Latin name,Family
Clustered,Cheetah,Acinonyx jubatus,FELIDAE
Dispersed,Giant Panda,Ailuropoda melanoleuca,URSIDAE
Dispersed,Western Red Panda,Ailurus fulgens,AILURIDAE
Dispersed,Gal¨¢pagos Fur Seal,Arctocephalus galapagoensis,OTARIIDAE
Dispersed,Striped Hog-nosed Skunk,Conepatus semistriatus,MEPHITIDAE
Dispersed,Bearded Seal,Erignathus barbatus,PHOCIDAE
Clustered,Domestic Cat,Felis catus,FELIDAE
Clustered,Jungle Cat,Felis chaus,FELIDAE
Clustered,Sand Cat,Felis margarita,FELIDAE
Clustered,Black-footed Cat,Felis nigripes,FELIDAE
Clustered,European Wildcat,Felis silvestris,FELIDAE
Dispersed,Spotted Fanaloka,Fossa fossana,EUPLERIDAE
Dispersed,Egyptian Mongoose,Herpestes ichneumon,HERPESTIDAE
Dispersed,Striped Hyena,Hyaena hyaena,HYAENIDAE
Clustered,Central Chilean Colocolo,Leopardus colocolo,FELIDAE
Clustered,Kodkod,Leopardus guigna,FELIDAE
Clustered,Andean Mountain Cat,Leopardus jacobita,FELIDAE
Clustered,Ocelot,Leopardus pardalis,FELIDAE
Clustered,Savanna Oncilla,Leopardus tigrinus,FELIDAE
Clustered,Margay,Leopardus wiedii,FELIDAE
Dispersed,Serval,Leptailurus serval,FELIDAE
Clustered,Canadian Lynx,Lynx canadensis,FELIDAE
Clustered,Eurasian Lynx,Lynx lynx,FELIDAE
Clustered,Iberian Lynx,Lynx pardinus,FELIDAE
Clustered,Bobcat,Lynx rufus,FELIDAE
Dispersed,European Badger,Meles meles,MUSTELIDAE
Dispersed,Cuc Phuong Ferret-badger,Melogale cucphuongensis,MUSTELIDAE
Dispersed,Palawan Stink Badger,Mydaus marchei,MEPHITIDAE
Dispersed,African Palm Civet,Nandinia binotata,NANDINIIDAE
Dispersed,South American Coati,Nasua nasua,PROCYONIDAE
Clustered,Pallas's Cat,Otocolobus manul,FELIDAE
Dispersed,Masked Palm Civet,Paguma larvata,VIVERRIDAE
Dispersed,Kinkajou,Potos flavus,PROCYONIDAE
Clustered,Mainland Leopard Cat,Prionailurus bengalensis,FELIDAE
Clustered,Flat-headed Cat,Prionailurus planiceps,FELIDAE
Clustered,Fishing Cat,Prionailurus viverrinus,FELIDAE
Dispersed,Spotted Linsang,Prionodon pardicolor,PRIONODONTIDAE
Dispersed,Northern Raccoon,Procyon lotor,PROCYONIDAE
Dispersed,American Badger,Taxidea taxus,MUSTELIDAE
Dispersed,Cape Fox,Vulpes chama,CANIDAE
