"Model","Subset_Type","N","K_mean","K_sd","K_min","K_max","Lambda_mean","Lambda_sd","Lambda_min","Lambda_max","MoransI_mean","MoransI_sd","MoransI_min","MoransI_max","mpnns_mean","mpnns_sd","mpnns_min","mpnns_max","mean_offdiag_cor_mean","mean_offdiag_cor_sd","mean_offdiag_cor_min","mean_offdiag_cor_max","max_offdiag_cor_mean","max_offdiag_cor_sd","max_offdiag_cor_min","max_offdiag_cor_max","ess_1_mean","ess_1_sd","ess_1_min","ess_1_max","ess_2_mean","ess_2_sd","ess_2_min","ess_2_max"
"Lambda1","dispersed",1,0.548986193265938,NA,0.548986193265938,0.548986193265938,0.999926686256414,NA,0.999926686256414,0.999926686256414,0.0922964933757188,NA,0.0922964933757188,0.0922964933757188,0.381353000385839,NA,0.381353000385839,0.381353000385839,0.468305971068022,NA,0.468305971068022,0.468305971068022,0.889706169559541,NA,0.889706169559541,0.889706169559541,1.86997074400842,NA,1.86997074400842,1.86997074400842,2.49020203433985,NA,2.49020203433985,2.49020203433985
"Lambda1","clustered",1,0.327137817861309,NA,0.327137817861309,0.327137817861309,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.158148148995992,NA,-0.158148148995992,-0.158148148995992,0.398126513954613,NA,0.398126513954613,0.398126513954613,0.424081639850619,NA,0.424081639850619,0.424081639850619,0.850268200689339,NA,0.850268200689339,0.850268200689339,2.01583870730933,NA,2.01583870730933,2.01583870730933,2.81454412363509,NA,2.81454412363509,2.81454412363509
"Lambda1","random",1000,0.754990484223618,0.558229153339118,0.120805386207506,3.71436557618586,0.873456940264456,0.275895488424108,7.33137435857406e-05,0.999926686256414,0.141749482590897,0.137504108957847,-0.201027445907237,0.517196637692568,0.436094297737906,0.0883994892381408,0.244533524420529,0.757557735501055,0.45904982806159,0.0660390523574672,0.294274314882956,0.657486252058877,0.9186052779516,0.0336664750983674,0.77627433591849,0.965817966825598,1.92182981717529,0.212685138973389,1.42795848646575,2.61444726207886,2.5446360567227,0.404568249903425,1.57872140637944,3.98405329815887
"Lambda0.7","dispersed",1,0.374467087756187,NA,0.374467087756187,0.374467087756187,0.999926686256414,NA,0.999926686256414,0.999926686256414,-0.203178270559184,NA,-0.203178270559184,-0.203178270559184,0.319920432557648,NA,0.319920432557648,0.319920432557648,0.45463775994809,NA,0.45463775994809,0.45463775994809,0.884051444675736,NA,0.884051444675736,0.884051444675736,1.9127479372484,NA,1.9127479372484,1.9127479372484,2.58364515301859,NA,2.58364515301859,2.58364515301859
"Lambda0.7","clustered",1,0.496386148279165,NA,0.496386148279165,0.496386148279165,0.999926686256414,NA,0.999926686256414,0.999926686256414,-0.0920931745806885,NA,-0.0920931745806885,-0.0920931745806885,0.606519946774098,NA,0.606519946774098,0.606519946774098,0.418790601018529,NA,0.418790601018529,0.418790601018529,0.851687386516324,NA,0.851687386516324,0.851687386516324,2.03482904599743,NA,2.03482904599743,2.03482904599743,2.85771204486918,NA,2.85771204486918,2.85771204486918
"Lambda0.7","random",1000,0.42164273342537,0.26614371749752,0.0978229078107915,3.25463624559277,0.588528231008445,0.437410412187845,7.33137435857406e-05,0.999926686256414,-0.0340907348028813,0.124560805924852,-0.359914559515982,0.39250668619226,0.52055012573404,0.0920535114552865,0.276377550388437,0.7869811843344,0.448858825770709,0.0553537195336156,0.320598098185389,0.626374190614627,0.899505657167191,0.0348167611412845,0.759130906608382,0.949455231762778,1.94819697467705,0.180573110510979,1.4857131959239,2.46594933371842,2.62346942668394,0.353786577005969,1.70167028154996,3.74649766841325
"Lambda0.5","dispersed",1,1.94946742017283,NA,1.94946742017283,1.94946742017283,0.999926686256414,NA,0.999926686256414,0.999926686256414,0.149517724059719,NA,0.149517724059719,0.149517724059719,0.385143427247776,NA,0.385143427247776,0.385143427247776,0.44829487501369,NA,0.44829487501369,0.44829487501369,0.881258819914149,NA,0.881258819914149,0.881258819914149,1.9332711524413,NA,1.9332711524413,1.9332711524413,2.62873273743155,NA,2.62873273743155,2.62873273743155
"Lambda0.5","clustered",1,1.62974885497161,NA,1.62974885497161,1.62974885497161,0.999926686256414,NA,0.999926686256414,0.999926686256414,-0.0267344337716897,NA,-0.0267344337716897,-0.0267344337716897,0.502500883343548,NA,0.502500883343548,0.502500883343548,0.416448800710859,NA,0.416448800710859,0.416448800710859,0.852348554900867,NA,0.852348554900867,0.852348554900867,2.04334882545047,NA,2.04334882545047,2.04334882545047,2.87691546861591,NA,2.87691546861591,2.87691546861591
"Lambda0.5","random",1000,1.46520474319724,0.654210823267859,0.207141588183383,4.30627782509526,0.877920094630941,0.250421412062652,7.33137435857406e-05,0.999926686256414,0.170483570140408,0.160422956703604,-0.222810442323957,0.560171425699822,0.470978499022791,0.0805877164117482,0.264189363681621,0.788847270501945,0.443925836366117,0.0500577529115964,0.33148330847076,0.609654995941331,0.891970383184987,0.0345345459813688,0.760607672339128,0.941034496676366,1.96163715195115,0.164806148816431,1.51872253473802,2.40936049130481,2.6614551304818,0.326123495732439,1.77273771848265,3.64580741930603
"OU_alpha0.2","dispersed",1,0.523450892319487,NA,0.523450892319487,0.523450892319487,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,0.053777619451783,NA,0.053777619451783,0.053777619451783,0.603540143519589,NA,0.603540143519589,0.603540143519589,0.0756987611473248,NA,0.0756987611473248,0.0756987611473248,0.29441548895259,NA,0.29441548895259,0.29441548895259,5.22912958157278,NA,5.22912958157278,5.22912958157278,7.24948233331321,NA,7.24948233331321,7.24948233331321
