"Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random"
"Lambda1","K",0.365799584350611,0.533700985271452,0.813490198835274,1,0.768231768231768,0.367632367632368,1,1,1000
"Lambda1","Lambda",0.461083564968515,7.33137435857406e-05,0.708302863629416,0.5,0.798201798201798,0.110889110889111,1,1,1000
"Lambda1","MoransI",-0.168435576185552,-0.0985439743738517,-0.0153270887674471,0.5,0.282717282717283,0.447552447552448,1,1,1000
"Lambda1","mpnns",0.424716499388665,0.703216776989177,0.511427225968449,1,0.841158841158841,0.986013986013986,1,1,1000
"Lambda1","mean_offdiag_cor",0.458496230160747,0.379961804206355,0.449258541408562,0.5,0.442557442557443,0.165834165834166,1,1,1000
"Lambda1","max_offdiag_cor",0.898901437376092,0.778699578283618,0.912946166928072,0.5,0.722277722277722,0.00699300699300699,1,1,1000
"Lambda1","ess_1",1.90047515177593,2.18595203803572,1.95431132012285,0.5,0.442557442557443,0.165834165834166,1,1,1000
"Lambda1","ess_2",2.56422631321939,3.21156338793507,2.61432384670032,0.5,0.495504495504495,0.0999000999000999,1,1,1000
"Lambda0.7","K",1.56100056025848,0.796730048867972,1.46311520479965,0.5,0.396603396603397,0.190809190809191,1,1,1000
"Lambda0.7","Lambda",0.999926686256414,0.999926686256414,0.964745636982043,1,0.809190809190809,1,1,1,1000
"Lambda0.7","MoransI",0.0137979816937002,-0.0123961267456898,0.0849268216029728,0.5,0.92007992007992,0.0709290709290709,1,1,1000
"Lambda0.7","mpnns",0.304472087402803,0.501131930501266,0.480869154526345,1,0.996003996003996,0.621378621378621,1,1,1000
"Lambda0.7","mean_offdiag_cor",0.44638505174531,0.385221872498667,0.440876083454242,0.5,0.442557442557443,0.167832167832168,1,1,1000
"Lambda0.7","max_offdiag_cor",0.891694391248387,0.798037565102703,0.895350612922488,0.5,0.61038961038961,0.016983016983017,1,1,1000
"Lambda0.7","ess_1",1.93953717728616,2.16417829458174,1.97472292797652,0.5,0.442557442557443,0.167832167832168,1,1,1000
"Lambda0.7","ess_2",2.64911533538263,3.15905663221347,2.68183283128824,0.5,0.494505494505495,0.108891108891109,1,1,1000
"Lambda0.5","K",1.94110102579108,0.503251929080615,1.94915759503329,0.5,0.47952047952048,0.00599400599400599,1,1,1000
"Lambda0.5","Lambda",0.999926686256414,7.33137435857406e-05,0.979861357430026,0.5,0.765234765234765,0.003996003996004,1,1,1000
"Lambda0.5","MoransI",0.0653928275910801,-0.168319985948992,0.171027825951914,1,0.838161838161838,0.48951048951049,1,1,1000
"Lambda0.5","mpnns",0.438863346537649,0.583892050629294,0.521330746919201,1,0.835164835164835,0.773226773226773,1,1,1000
"Lambda0.5","mean_offdiag_cor",0.44083701705404,0.387494108123366,0.436776178132259,0.5,0.446553446553447,0.167832167832168,1,1,1000
"Lambda0.5","max_offdiag_cor",0.888129268865492,0.806376734141405,0.888281896404517,0.5,0.561438561438561,0.026973026973027,1,1,1000
"Lambda0.5","ess_1",1.95797255026681,2.15490609429927,1.98552313647449,0.5,0.446553446553447,0.167832167832168,1,1,1000
"Lambda0.5","ess_2",2.68927901404945,3.13655008637905,2.71439691692065,0.5,0.495504495504495,0.118881118881119,1,1,1000
"OU_alpha0.2","K",0.663174608270214,0.532029866781034,0.381752933082005,0.5,0.108891108891109,0.824175824175824,1,1,1000
"OU_alpha0.2","Lambda",0.83603126018897,7.33137435857406e-05,0.409492951190788,0.5,0.226773226773227,0.381618381618382,1,1,1000
"OU_alpha0.2","MoransI",-0.0579730570734922,-0.0771910436217652,-0.084299695449355,1,0.758241758241758,0.317682317682318,1,1,1000
"OU_alpha0.2","mpnns",0.329000112752777,0.566164999562797,0.46231738743374,1,0.937062937062937,0.866133866133866,1,1,1000
"OU_alpha0.2","mean_offdiag_cor",0.0847890267111786,0.233644607044152,0.126326516638365,1,0.966033966033966,0.996003996003996,1,1,1000
"OU_alpha0.2","max_offdiag_cor",0.310988205974029,0.53150646292429,0.537200113618087,1,1,0.370629370629371,1,1,1000
"OU_alpha0.2","ess_1",5.02032230555123,3.03546303080068,4.29175560080961,1,0.966033966033966,0.996003996003996,1,1,1000
"OU_alpha0.2","ess_2",7.11272773845954,5.02251743205424,6.23558078536552,1,0.992007992007992,0.991008991008991,1,1,1000
"OU_alpha1","K",0.411976214465458,0.776752316587734,0.360703364513918,1,0.283716283716284,0.931068931068931,1,1,1000
