"Tree","Algorithm","MinPD","MeanPD","MeanNND"
"large_balanced","A_main",10,18.9173387096774,11.34375
"large_balanced","B_greedy_only",10,18.9173387096774,11.34375
"large_balanced","C_meanpd_only",2,22.1612903225806,3.5625
"large_balanced","D_minpd_only",9,18.6814516129032,10.96875
"large_balanced","E_meannnd_only",8,18.8487903225806,11.5625
"large_ladder","A_main",8.83183428132211,92.1072717963834,9.27080479245294
"large_ladder","B_greedy_only",8.38447095969841,88.8529511695059,9.39149337565285
"large_ladder","C_meanpd_only",2.16323254990894,127.510264542213,3.08262422924722
"large_ladder","D_minpd_only",8.13700922166202,93.0272334794659,9.3671167595467
"large_ladder","E_meannnd_only",5.69818394232014,86.8544111234764,10.0555517780613
"small_balanced","A_main",6,9.96428571428571,7.25
"small_balanced","B_greedy_only",6,9.96428571428571,7.25
"small_balanced","C_meanpd_only",4,10.4285714285714,6
"small_balanced","D_minpd_only",6,9.46428571428571,6.75
"small_balanced","E_meannnd_only",6,9.96428571428571,7.25
"small_ladder","A_main",6.11327701409318,15.6150486386141,6.30430353011834
"small_ladder","B_greedy_only",5.18149491881937,16.1518997732273,6.2865648126155
"small_ladder","C_meanpd_only",2.09902957345831,19.0587036271734,2.89264463503784
"small_ladder","D_minpd_only",6.11327701409318,15.6150486386141,6.30430353011834
"small_ladder","E_meannnd_only",5.24957908448321,14.8338120981162,6.49235744855154
