"Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random"
"Lambda1","K",0.768314189006975,1.0118754743012,0.788117595238595,1,0.462537462537463,0.813186813186813,1,1,1000
"Lambda1","Lambda",7.33137435857406e-05,0.999926686256414,0.330706948362398,1,0.999000999000999,1,1,1,1000
"Lambda1","MoransI",-0.130955488386662,0.00324672905057115,-0.0875773097360567,0.5,0.403596403596404,0.013986013986014,1,1,1000
"Lambda1","mpnns",0.462753983539777,0.530004594612238,0.480236499793847,1,0.548451548451548,0.729270729270729,1,1,1000
"Lambda1","mean_offdiag_cor",0.186008213165407,0.209853487774508,0.209747091737793,1,0.67032967032967,0.513486513486514,1,1,1000
"Lambda1","max_offdiag_cor",0.629940788348712,0.75,0.77782271173711,1,0.917082917082917,0.318681318681319,1,1,1000
"Lambda1","ess_1",3.4751521311925,3.2402117872389,3.2912897306995,1,0.67032967032967,0.513486513486514,1,1,1000
"Lambda1","ess_2",5.53836417874326,4.56689791873142,4.80345790131658,1,0.912087912087912,0.677322677322677,1,1,1000
"Lambda0.7","K",0.663116593127989,0.688781853262551,0.755969736680922,1,0.561438561438561,0.483516483516484,1,1,1000
"Lambda0.7","Lambda",7.33137435857406e-05,7.33137435857406e-05,0.317389169778966,1,1,0.614385614385614,1,1,1000
"Lambda0.7","MoransI",-0.145423024147968,-0.17891521100184,-0.122605003675831,1,0.461538461538462,0.718281718281718,1,1,1000
"Lambda0.7","mpnns",0.478991856526123,0.474865031380504,0.517740810609359,0.5,0.625374625374625,0.360639360639361,1,1,1000
"Lambda0.7","mean_offdiag_cor",0.219721089558057,0.209853487774508,0.22583775857164,0.5,0.529470529470529,0.418581418581419,1,1,1000
"Lambda0.7","max_offdiag_cor",0.661157950142679,0.75,0.774524612408697,1,0.925074925074925,0.322677322677323,1,1,1000
"Lambda0.7","ess_1",3.15202910898528,3.2402117872389,3.14574450413919,0.5,0.529470529470529,0.418581418581419,1,1,1000
"Lambda0.7","ess_2",5.05148744095474,4.56689791873142,4.61334728315317,1,0.809190809190809,0.543456543456543,1,1,1000
"Lambda0.5","K",0.957287729082048,1.16510420312525,0.792815972351975,1,0.226773226773227,0.912087912087912,1,1,1000
"Lambda0.5","Lambda",0.800951459008713,0.999926686256414,0.370397928525839,1,0.291708291708292,1,1,1,1000
"Lambda0.5","MoransI",-0.173096569270565,0.0222959593326649,-0.119292504656722,0.5,0.296703296703297,0.0529470529470529,1,1,1000
"Lambda0.5","mpnns",0.521350228555972,0.59546760966618,0.50087035400381,1,0.397602397602398,0.848151848151848,1,1,1000
"Lambda0.5","mean_offdiag_cor",0.233277672665043,0.209853487774508,0.232565621709997,0.5,0.494505494505495,0.378621378621379,1,1,1000
"Lambda0.5","max_offdiag_cor",0.674264758718033,0.75,0.773551205689915,1,0.923076923076923,0.313686313686314,1,1,1000
"Lambda0.5","ess_1",3.0384242449626,3.2402117872389,3.08928618071718,0.5,0.494505494505495,0.378621378621379,1,1,1000
"Lambda0.5","ess_2",4.85917171455809,4.56689791873142,4.53339916871139,1,0.748251748251748,0.462537462537463,1,1,1000
"OU_alpha0.2","K",0.618888641731323,0.88606751019914,0.857618655030624,1,0.839160839160839,0.615384615384615,1,1,1000
"OU_alpha0.2","Lambda",7.33137435857406e-05,0.658422972418753,0.556854288891096,1,1,0.466533466533467,1,1,1000
"OU_alpha0.2","MoransI",-0.189842848889584,0.00959226900180346,-0.0729927975040297,0.5,0.0639360639360639,0.032967032967033,1,1,1000
"OU_alpha0.2","mpnns",0.283941360153025,0.42971976534002,0.497727010099381,1,0.998001998001998,0.226773226773227,1,1,1000
"OU_alpha0.2","mean_offdiag_cor",0.0581040506297045,0.146772576538536,0.0991560258477456,1,0.995004995004995,0.975024975024975,1,1,1000
"OU_alpha0.2","max_offdiag_cor",0.272479279298551,0.586920792356407,0.546947472269682,1,0.985014985014985,0.567432567432567,1,1,1000
"OU_alpha0.2","ess_1",5.6869543966554,3.94592497358955,4.76078368180718,1,0.995004995004995,0.975024975024975,1,1,1000
"OU_alpha0.2","ess_2",7.53588875956275,5.71882459822699,6.61841900264849,1,0.997002997002997,0.98001998001998,1,1,1000
"OU_alpha1","K",1.09975715221153,0.711716042903753,0.726341417720303,0.5,0.0899100899100899,0.529470529470529,1,1,1000
"OU_alpha1","Lambda",0.999926686256414,7.33137435857406e-05,0.287883678823474,0.5,0.147852147852148,0.571428571428571,1,1,1000
"OU_alpha1","MoransI",-0.0773894411668378,-0.0928901313006219,-0.126518574024229,1,0.781218781218781,0.277722277722278,1,1,1000
"OU_alpha1","mpnns",0.676203601696203,0.794829592289714,0.617916058799595,1,0.241758241758242,0.974025974025974,1,1,1000
"OU_alpha1","mean_offdiag_cor",0.000253322360351643,0.0229072082825416,0.00564443744802852,1,1,1,1,1,1000
"OU_alpha1","max_offdiag_cor",0.00247864069089713,0.135045123200624,0.0922966647270683,1,0.993006993006993,0.567432567432567,1,1,1000
"OU_alpha1","ess_1",7.98583905880165,6.89446877449599,7.69947141605004,1,1,1,1,1,1000
"OU_alpha1","ess_2",7.99997212629669,7.87608775102052,7.9715879041451,1,1,1,1,1,1000
"OU_alpha5","K",0.734288176012979,0.608156882408158,0.658632809228993,0.5,0.300699300699301,0.468531468531469,1,1,1000
"OU_alpha5","Lambda",0.999926686256414,7.33137435857406e-05,0.232209315709084,0.5,0.13986013986014,0.672327672327672,1,1,1000
"OU_alpha5","MoransI",-0.131484102665843,-0.135784322298497,-0.144233793947626,1,0.62037962037962,0.411588411588412,1,1,1000
"OU_alpha5","mpnns",0.775793694273224,0.805118553279853,0.807290945615826,1,0.7002997002997,0.476523476523477,1,1,1000
"OU_alpha5","mean_offdiag_cor",6.72905399773397e-15,4.90812672411219e-06,1.11018829178486e-06,1,1,1,1,1,1000
"OU_alpha5","max_offdiag_cor",9.35762296884017e-14,4.53999297624806e-05,2.61831281241586e-05,1,1,1,1,1,1000
"OU_alpha5","ess_1",7.99999999999962,7.99972515434629,7.99993783038853,1,1,1,1,1,1000
"OU_alpha5","ess_2",8,7.99999998763233,7.99999999719672,1,1,1,1,1,1000
