"Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random"
"Lambda1","K",0.863506368064491,0.642487062980894,0.785090904372526,0.5,0.266733266733267,0.146853146853147,1,1,1000
"Lambda1","Lambda",0.999926686256414,0.768904920943906,0.754686934806323,0.5,0.300699300699301,0.362637362637363,1,1,1000
"Lambda1","MoransI",-0.0226454879827891,0.0181230310405246,0.0221753416469351,0.5,0.477522477522478,0.436563436563437,1,1,1000
"Lambda1","mpnns",0.397329964626369,0.504371949837506,0.433515485413351,1,0.768231768231768,0.918081918081918,1,1,1000
"Lambda1","mean_offdiag_cor",0.129081281182848,0.432952385407061,0.165638842129071,1,0.985014985014985,1,1,1,1000
"Lambda1","max_offdiag_cor",0.658145181714418,0.888888888888889,0.893617007475099,1,1,0.354645354645355,1,1,1000
"Lambda1","ess_1",6.39805535372688,2.21890558281002,5.27339263227521,1,0.985014985014985,1,1,1,1000
"Lambda1","ess_2",14.8053401338458,4.11561863764908,11.2988606353863,1,1,1,1,1,1000
"Lambda0.7","K",1.04127288316275,0.838461597208183,1.13759949272055,0.5,0.652347652347652,0.0609390609390609,1,1,1000
"Lambda0.7","Lambda",0.999926686256414,0.999926686256414,0.980786933313445,1,0.782217782217782,1,1,1,1000
"Lambda0.7","MoransI",0.0101861857958372,0.0713255812792861,0.0600474614782809,1,0.957042957042957,0.663336663336663,1,1,1000
"Lambda0.7","mpnns",0.403492797837738,0.545066080972435,0.445372942853961,1,0.811188811188811,0.976023976023976,1,1,1000
"Lambda0.7","mean_offdiag_cor",0.16143822538363,0.416835916936932,0.188033287681417,1,0.889110889110889,1,1,1,1000
"Lambda0.7","max_offdiag_cor",0.73174493876864,0.885817978782803,0.884213261372023,1,1,0.440559440559441,1,1,1000
"Lambda0.7","ess_1",5.32926090143668,2.29853462114147,4.73262302289362,1,0.889110889110889,1,1,1,1000
"Lambda0.7","ess_2",11.8191138633315,4.34303404095309,9.92619780620988,1,0.99000999000999,1,1,1,1000
"Lambda0.5","K",1.09207845086099,0.522921089873517,0.942980949991515,0.5,0.201798201798202,0.004995004995005,1,1,1000
"Lambda0.5","Lambda",0.999926686256414,0.881727149954133,0.911858322119026,0.5,0.407592407592408,0.256743256743257,1,1,1000
"Lambda0.5","MoransI",0.00085513355147738,0.0374722493316844,0.0375031798216145,1,0.984015984015984,0.548451548451548,1,1,1000
"Lambda0.5","mpnns",0.481775345289376,0.549405386691902,0.462889310273221,1,0.33966033966034,0.954045954045954,1,1,1000
"Lambda0.5","mean_offdiag_cor",0.173128254798952,0.409458202977972,0.196765671633013,1,0.843156843156843,1,1,1,1000
"Lambda0.5","max_offdiag_cor",0.761243762030928,0.884428223844282,0.881287828707111,1,1,0.492507492507492,1,1,1000
"Lambda0.5","ess_1",5.02593389841392,2.33692562506749,4.55076708737026,1,0.843156843156843,1,1,1,1000
"Lambda0.5","ess_2",10.9113854441712,4.45154118722489,9.43879700264733,1,0.978021978021978,1,1,1,1000
"OU_alpha0.2","K",0.600492471910687,0.589083039463506,0.622541800597632,0.5,0.527472527472527,0.427572427572428,1,1,1000
"OU_alpha0.2","Lambda",7.33137435857406e-05,0.946734607155608,0.483940840376577,1,1,0.755244755244755,1,1,1000
"OU_alpha0.2","MoransI",-0.044298492130756,0.0636054449259364,-0.00336742351194606,1,0.0729270729270729,0.983016983016983,1,1,1000
"OU_alpha0.2","mpnns",0.448391639427766,0.536402028540865,0.501993304709534,1,0.855144855144855,0.766233766233766,1,1,1000
"OU_alpha0.2","mean_offdiag_cor",0.015370558965345,0.161582967359517,0.0347478910121505,1,1,1,1,1,1000
"OU_alpha0.2","max_offdiag_cor",0.159658446519545,0.661058913872302,0.630329000997592,1,1,0.403596403596404,1,1,1000
"OU_alpha0.2","ess_1",21.6730610515679,5.32528151819966,15.4804540238839,1,1,1,1,1,1000
"OU_alpha0.2","ess_2",31.0085625339569,13.8822619198324,26.534968979681,1,1,1,1,1,1000
"OU_alpha1","K",0.708234842927661,0.303853071604207,0.477434137242263,0.5,0.031968031968032,0.044955044955045,1,1,1000
"OU_alpha1","Lambda",0.13154881265254,7.33137435857406e-05,0.109328629508758,0.5,0.217782217782218,0.718281718281718,1,1,1000
"OU_alpha1","MoransI",-0.0219721034200028,-0.0382007051553935,-0.0288880173101235,1,0.668331668331668,0.638361638361638,1,1,1000
"OU_alpha1","mpnns",0.643793908183429,0.639984221081548,0.625315745688208,0.5,0.321678321678322,0.645354645354645,1,1,1000
"OU_alpha1","mean_offdiag_cor",3.02747800880592e-06,0.00517838676984218,0.00069929578616072,1,1,1,1,1,1000
"OU_alpha1","max_offdiag_cor",0.00012340979020138,0.135335270067786,0.113915258458117,1,1,0.403596403596404,1,1,1000
"OU_alpha1","ess_1",31.9969970236501,27.5736088506592,31.3237362095778,1,1,1,1,1,1000
"OU_alpha1","ess_2",31.9999997476498,31.5386224253449,31.9407726357425,1,1,1,1,1,1000
"OU_alpha5","K",0.659589128225245,0.423553204734021,0.441797692569776,0.5,0.033966033966034,0.473526473526474,1,1,1000
"OU_alpha5","Lambda",0.173880125873332,7.33137435857406e-05,0.0636137075447884,0.5,0.123876123876124,0.8001998001998,1,1,1000
"OU_alpha5","MoransI",-0.0283373118898884,-0.0359176006616029,-0.0344491830600252,1,0.654345654345654,0.501498501498502,1,1,1000
"OU_alpha5","mpnns",0.805583581160949,0.781301336080875,0.7648435341328,0.5,0.105894105894106,0.687312687312687,1,1,1000
"OU_alpha5","mean_offdiag_cor",4.0712434539335e-22,1.01368797645513e-06,1.24488858268527e-07,1,1,1,1,1,1000
"OU_alpha5","max_offdiag_cor",2.86251858054939e-20,4.53999297624848e-05,3.47017049294615e-05,1,1,1,1,1,1000
"OU_alpha5","ess_1",32,31.998994453126,31.9998765078177,1,1,1,1,1,1000
"OU_alpha5","ess_2",32,31.9999999546526,31.9999999944387,1,1,1,1,1,1000
