"Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random"
"Lambda1","K",0.426067709973556,2.34111808037087,0.388057629237078,1,0.34965034965035,1,1,1,1000
"Lambda1","Lambda",0.952677097434525,0.999926686256414,0.9934212450253,1,0.98001998001998,0.998001998001998,1,1,1000
"Lambda1","MoransI",0.248547545288699,0.198700653337562,0.282574579437377,0.5,0.643356643356643,0.155844155844156,1,1,1000
"Lambda1","mpnns",0.446741051982149,0.59965288132308,0.430098181356156,1,0.363636363636364,1,1,1,1000
"Lambda1","mean_offdiag_cor",0.599209481116143,0.579053917572572,0.61952958162562,0.5,0.693306693306693,0.15984015984016,1,1,1000
"Lambda1","max_offdiag_cor",0.982154924970214,0.957566030066564,0.992475616633343,0.5,1,0.000999000999000999,1,1,1000
"Lambda1","ess_1",1.63469693993942,1.68859452253686,1.58983305918367,0.5,0.693306693306693,0.15984015984016,1,1,1000
"Lambda1","ess_2",2.23798352679551,2.35143791992082,2.10926370154117,0.5,0.763236763236763,0.106893106893107,1,1,1000
"Lambda0.7","K",0.375278239041525,1.25703961837838,0.461731188977917,1,0.649350649350649,0.999000999000999,1,1,1000
"Lambda0.7","Lambda",0.999926686256414,0.999926686256414,0.999401576596325,1,0.808191808191808,0.999000999000999,1,1,1000
"Lambda0.7","MoransI",0.342038750696422,0.420980330117143,0.427722575619566,1,0.896103896103896,0.424575424575425,1,1,1000
"Lambda0.7","mpnns",0.411463360194848,0.481536885116994,0.433744503207372,1,0.649350649350649,0.849150849150849,1,1,1000
"Lambda0.7","mean_offdiag_cor",0.594946281257993,0.579006826308867,0.613555081319158,0.5,0.699300699300699,0.162837162837163,1,1,1000
"Lambda0.7","max_offdiag_cor",0.979409603366589,0.956030571137937,0.986427638903666,0.5,0.987012987012987,0.000999000999000999,1,1,1000
"Lambda0.7","ess_1",1.64580821461317,1.68872461024702,1.60301833851953,0.5,0.699300699300699,0.162837162837163,1,1,1000
"Lambda0.7","ess_2",2.26395067448407,2.35598630058458,2.14706668306378,0.5,0.76023976023976,0.115884115884116,1,1,1000
"Lambda0.5","K",0.967664456278734,0.707159663108778,0.706612674267974,0.5,0.144855144855145,0.56043956043956,1,1,1000
"Lambda0.5","Lambda",0.995435051982672,0.999926686256414,0.995728164184601,1,0.652347652347652,1,1,1,1000
"Lambda0.5","MoransI",0.381398427740826,0.329073894567149,0.474246730229395,0.5,0.931068931068931,0.015984015984016,1,1,1000
"Lambda0.5","mpnns",0.419616748146855,0.522783111885148,0.460452263515184,1,0.802197802197802,0.903096903096903,1,1,1000
"Lambda0.5","mean_offdiag_cor",0.592969803117223,0.57897708788346,0.610487523447451,0.5,0.702297702297702,0.164835164835165,1,1,1000
"Lambda0.5","max_offdiag_cor",0.978366730467145,0.955349711779204,0.983675851815723,0.5,0.95004995004995,0.000999000999000999,1,1,1000
"Lambda0.5","ess_1",1.65101096408817,1.68880677176973,1.60995376263484,0.5,0.702297702297702,0.164835164835165,1,1,1000
"Lambda0.5","ess_2",2.27621631476278,2.3579801692982,2.16638777006419,0.5,0.758241758241758,0.122877122877123,1,1,1000
"OU_alpha0.2","K",0.0757912703139441,0.253468275281675,0.0642111585608102,1,0.240759240759241,1,1,1,1000
"OU_alpha0.2","Lambda",0.934447959915919,0.929121859958866,0.790727936540231,0.5,0.501498501498502,0.487512487512487,1,1,1000
"OU_alpha0.2","MoransI",0.00862501689753646,0.142432811354065,0.126558723862554,1,0.969030969030969,0.593406593406593,1,1,1000
"OU_alpha0.2","mpnns",0.480799291067912,0.531600448540829,0.508802939341794,1,0.728271728271728,0.687312687312687,1,1,1000
"OU_alpha0.2","mean_offdiag_cor",0.0103394945834002,0.15126578864521,0.0221854461486902,1,1,1,1,1,1000
"OU_alpha0.2","max_offdiag_cor",0.19826065090987,0.619554364404398,0.58289904386143,1,1,0.882117882117882,1,1,1000
"OU_alpha0.2","ess_1",24.2327984592793,5.62465339918868,19.0271461420905,1,1,1,1,1,1000
"OU_alpha0.2","ess_2",30.6947797679371,12.5492092535698,26.4517529690065,1,1,1,1,1,1000
"OU_alpha1","K",0.0866812091359647,0.17942368883477,0.0484376055373007,1,0.0859140859140859,0.989010989010989,1,1,1000
"OU_alpha1","Lambda",0.966719926890595,0.233680846921645,0.663013253507536,0.5,0.297702297702298,0.226773226773227,1,1,1000
"OU_alpha1","MoransI",0.0818289803148557,0.0353427632508205,-0.0173368066298307,0.5,0.241758241758242,0.372627372627373,1,1,1000
"OU_alpha1","mpnns",0.623539024076419,0.672719990611677,0.637334944554583,1,0.622377622377622,0.786213786213786,1,1,1000
