"Model","Subset_Type","N","K_mean","K_sd","K_min","K_max","Lambda_mean","Lambda_sd","Lambda_min","Lambda_max","MoransI_mean","MoransI_sd","MoransI_min","MoransI_max","mpnns_mean","mpnns_sd","mpnns_min","mpnns_max","mean_offdiag_cor_mean","mean_offdiag_cor_sd","mean_offdiag_cor_min","mean_offdiag_cor_max","max_offdiag_cor_mean","max_offdiag_cor_sd","max_offdiag_cor_min","max_offdiag_cor_max","ess_1_mean","ess_1_sd","ess_1_min","ess_1_max","ess_2_mean","ess_2_sd","ess_2_min","ess_2_max"
"Lambda1","dispersed",1,1.32969011857128,NA,1.32969011857128,1.32969011857128,0.999926686256414,NA,0.999926686256414,0.999926686256414,0.0387173489959843,NA,0.0387173489959843,0.0387173489959843,0.344424696527351,NA,0.344424696527351,0.344424696527351,0.10806112092346,NA,0.10806112092346,0.10806112092346,0.688846720193664,NA,0.688846720193664,0.688846720193664,7.35649983487496,NA,7.35649983487496,7.35649983487496,16.0132408623567,NA,16.0132408623567,16.0132408623567
"Lambda1","clustered",1,0.640005892565654,NA,0.640005892565654,0.640005892565654,0.662074732705399,NA,0.662074732705399,0.662074732705399,0.0556362177862181,NA,0.0556362177862181,0.0556362177862181,0.476919734904585,NA,0.476919734904585,0.476919734904585,0.180763230069181,NA,0.180763230069181,0.180763230069181,0.857142857142857,NA,0.857142857142857,0.857142857142857,4.84579753646522,NA,4.84579753646522,4.84579753646522,8.90394577470523,NA,8.90394577470523,8.90394577470523
"Lambda1","random",1000,1.48371668207038,0.353986154131867,0.664411129096357,2.86866227553116,0.943026495813251,0.0881942372356969,0.515127873550508,0.999926686256414,0.0985467006198125,0.0368718976449991,-0.00289573861895174,0.213545492798973,0.432810023124156,0.0504247328460671,0.283105084516948,0.597702334414883,0.133874280266315,0.0151928114500257,0.109677370344208,0.228688558106708,0.887902595623453,0.032136782477875,0.771516749810459,0.941176470588235,6.26056925341606,0.520648168662757,3.955820750392,7.27272978401667,12.4546525637019,1.13186072038354,8.11959440760938,14.940782210805
"Lambda0.7","dispersed",1,1.2485463494244,NA,1.2485463494244,1.2485463494244,0.999926686256414,NA,0.999926686256414,0.999926686256414,0.016516989811553,NA,0.016516989811553,0.016516989811553,0.350435968915262,NA,0.350435968915262,0.350435968915262,0.136774567130466,NA,0.136774567130466,0.136774567130466,0.769396735901107,NA,0.769396735901107,0.769396735901107,6.1068567321032,NA,6.1068567321032,6.1068567321032,12.5807539577506,NA,12.5807539577506,12.5807539577506
"Lambda0.7","clustered",1,0.813700670428301,NA,0.813700670428301,0.813700670428301,0.889142634626711,NA,0.889142634626711,0.889142634626711,0.102367514107003,NA,0.102367514107003,0.102367514107003,0.602921082036288,NA,0.602921082036288,0.602921082036288,0.18142754274879,NA,0.18142754274879,0.18142754274879,0.857142857142857,NA,0.857142857142857,0.857142857142857,4.83073276543317,NA,4.83073276543317,4.83073276543317,8.86077615305592,NA,8.86077615305592,8.86077615305592
"Lambda0.7","random",1000,1.15369597395699,0.247910887383133,0.507610271608041,2.15383300861377,0.941040153166216,0.0927044522315361,0.418033550380843,0.999926686256414,0.0626303393374625,0.03031943949272,-0.0173411564461587,0.194362244257594,0.448996571142146,0.0469861580459768,0.317530044504446,0.598436591162856,0.152142059056966,0.0157020268810412,0.128835964094251,0.252521355093934,0.879039215922652,0.0257355730795196,0.795694170488748,0.933402435864213,5.63479848886944,0.437149759808089,3.62476356588393,6.40779843561261,10.9992803423406,0.919860792780897,7.31869825458858,12.9009257694773
"Lambda0.5","dispersed",1,1.6600596753784,NA,1.6600596753784,1.6600596753784,0.999926686256414,NA,0.999926686256414,0.999926686256414,0.0466715370000717,NA,0.0466715370000717,0.0466715370000717,0.387256334511876,NA,0.387256334511876,0.387256334511876,0.146877994951339,NA,0.146877994951339,0.146877994951339,0.795864431690707,NA,0.795864431690707,0.795864431690707,5.76242476017839,NA,5.76242476017839,5.76242476017839,11.5816501601996,NA,11.5816501601996,11.5816501601996
"Lambda0.5","clustered",1,0.784692443988498,NA,0.784692443988498,0.784692443988498,0.818200856719675,NA,0.818200856719675,0.818200856719675,0.0633658662642092,NA,0.0633658662642092,0.0633658662642092,0.529592302011141,NA,0.529592302011141,0.529592302011141,0.181731365871902,NA,0.181731365871902,0.181731365871902,0.857142857142857,NA,0.857142857142857,0.857142857142857,4.82387407006186,NA,4.82387407006186,4.82387407006186,8.8408829789303,NA,8.8408829789303,8.8408829789303
"Lambda0.5","random",1000,1.66232251878287,0.325466851110849,0.837226086872443,2.87704235845326,0.981831399651814,0.039843001606928,0.680644385799504,0.999926686256414,0.103247381087447,0.0364349044484611,0.0211397829292726,0.235077714398376,0.452346271366371,0.045880822107159,0.312527538168394,0.645020040081052,0.159278377977791,0.0159339102698795,0.135640006246709,0.261631865978145,0.876498040680168,0.0237070197266551,0.8,0.93048128342246,5.42329359546644,0.411661344138724,3.51239684456028,6.14812344076442,10.4771512887556,0.852950638787935,7.00518157348729,12.1901245706916
"OU_alpha0.2","dispersed",1,0.615455711798792,NA,0.615455711798792,0.615455711798792,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.0379533573596384,NA,-0.0379533573596384,-0.0379533573596384,0.386455306566413,NA,0.386455306566413,0.386455306566413,0.0148679106934015,NA,0.0148679106934015,0.0148679106934015,0.133914302603197,NA,0.133914302603197,0.133914302603197,21.9042271258372,NA,21.9042271258372,21.9042271258372,31.1445322440538,NA,31.1445322440538,31.1445322440538
"OU_alpha0.2","clustered",1,0.553151746815866,NA,0.553151746815866,0.553151746815866,0.434431607549833,NA,0.434431607549833,0.434431607549833,0.0717490012590398,NA,0.0717490012590398,0.0717490012590398,0.556318801358841,NA,0.556318801358841,0.556318801358841,0.089226744679057,NA,0.089226744679057,0.089226744679057,0.648974141603476,NA,0.648974141603476,0.648974141603476,8.4970135060889,NA,8.4970135060889,8.4970135060889,17.3000497324046,NA,17.3000497324046,17.3000497324046
"OU_alpha0.2","random",1000,0.603900053165286,0.118907004284234,0.310040381306107,1.06863006655229,0.35049985308047,0.385408925408653,7.33137435857406e-05,0.999926686256414,-0.00603717815558357,0.0265155447087518,-0.0737213358102496,0.120956878986928,0.492760870703329,0.0500938357717892,0.354693526900714,0.650003090766641,0.0319168658099678,0.00406657483346734,0.0239887577247381,0.0520667939924802,0.626186670604992,0.0628921020371584,0.425928546428586,0.669952447273806,16.1468767738214,0.980703035906454,12.2414443708878,18.3522912653743,26.6828406257375,0.941331482072352,23.5418687656236,29.1104570066552
"OU_alpha1","dispersed",1,0.602907905155268,NA,0.602907905155268,0.602907905155268,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.0480687794549669,NA,-0.0480687794549669,-0.0480687794549669,0.593957939549278,NA,0.593957939549278,0.593957939549278,1.80253617162473e-06,NA,1.80253617162473e-06,1.80253617162473e-06,4.53999297498229e-05,NA,4.53999297498229e-05,4.53999297498229e-05,31.9982119840296,NA,31.9982119840296,31.9982119840296,31.9999999422245,NA,31.9999999422245,31.9999999422245
"OU_alpha1","clustered",1,0.342585883466444,NA,0.342585883466444,0.342585883466444,0.0443740264393378,NA,0.0443740264393378,0.0443740264393378,-0.0273461861869814,NA,-0.0273461861869814,-0.0273461861869814,0.61313972396353,NA,0.61313972396353,0.61313972396353,0.00507252479023936,NA,0.00507252479023936,0.00507252479023936,0.13533456424247,NA,0.13533456424247,0.13533456424247,27.6518020126736,NA,27.6518020126736,27.6518020126736,31.5862364870665,NA,31.5862364870665,31.5862364870665
"OU_alpha1","random",1000,0.467134018245455,0.0971904492832602,0.222929927323076,0.888068537944018,0.0717968147609496,0.180587909684037,7.33137435857406e-05,0.999926686256414,-0.031608949324499,0.0213063609013225,-0.0988156637616859,0.0646753323355717,0.614644861967104,0.0444824983344898,0.480502101917043,0.766498349767969,0.000696114903816264,0.00030818816092394,8.54439024967634e-05,0.00192944430247591,0.111229987871775,0.0400067352503926,0.0183155284147006,0.135335283236611,31.3267631825105,0.291403996639183,30.19401238017,31.915463565532,31.9431844940667,0.0387346675878643,31.777484699104,31.9992528952081
"OU_alpha5","dispersed",1,0.652794741323712,NA,0.652794741323712,0.652794741323712,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.0391508486480526,NA,-0.0391508486480526,-0.0391508486480526,0.706702068282862,NA,0.706702068282862,0.706702068282862,4.70315528512408e-24,NA,4.70315528512408e-24,4.70315528512408e-24,1.92874984796392e-22,NA,1.92874984796392e-22,1.92874984796392e-22,32,NA,32,32,32,NA,32,32
"OU_alpha5","clustered",1,0.317562028214906,NA,0.317562028214906,0.317562028214906,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.0567212730725581,NA,-0.0567212730725581,-0.0567212730725581,0.757348551314526,NA,0.757348551314526,0.757348551314526,8.33711399036699e-07,NA,8.33711399036699e-07,8.33711399036699e-07,4.53999297624848e-05,NA,4.53999297624848e-05,4.53999297624848e-05,31.9991729796665,NA,31.9991729796665,31.9991729796665,31.9999999628962,NA,31.9999999628962,31.9999999628962
"OU_alpha5","random",1000,0.453196493040297,0.107229968552435,0.196770383232685,0.878227050663377,0.0642025295437138,0.176648901196284,7.33137435857406e-05,0.999926686256414,-0.035845568163451,0.021420506544248,-0.119825087804471,0.0468942659557357,0.77342174837159,0.0310812615237193,0.665224141118604,0.867328652346971,1.16243911326515e-07,9.7424375375839e-08,4.15650517997817e-12,5.4921768918282e-07,3.32148194358093e-05,2.0045997793397e-05,2.06115362243856e-09,4.53999297624848e-05,31.9998846867471,9.6644079638604e-05,31.9994551853282,31.9999999958767,31.9999999948138,4.39090338554264e-09,31.9999999752662,32
