"Model","Subset_Type","N","K_mean","K_sd","K_min","K_max","Lambda_mean","Lambda_sd","Lambda_min","Lambda_max","MoransI_mean","MoransI_sd","MoransI_min","MoransI_max","mpnns_mean","mpnns_sd","mpnns_min","mpnns_max","mean_offdiag_cor_mean","mean_offdiag_cor_sd","mean_offdiag_cor_min","mean_offdiag_cor_max","max_offdiag_cor_mean","max_offdiag_cor_sd","max_offdiag_cor_min","max_offdiag_cor_max","ess_1_mean","ess_1_sd","ess_1_min","ess_1_max","ess_2_mean","ess_2_sd","ess_2_min","ess_2_max"
"Lambda1","dispersed",1,0.849502836287626,NA,0.849502836287626,0.849502836287626,0.138583583580391,NA,0.138583583580391,0.138583583580391,-0.114641471319868,NA,-0.114641471319868,-0.114641471319868,0.4541266850048,NA,0.4541266850048,0.4541266850048,0.119467054225732,NA,0.119467054225732,0.119467054225732,0.428571428571428,NA,0.428571428571428,0.428571428571428,4.35665926195929,NA,4.35665926195929,4.35665926195929,6.4251323203005,NA,6.4251323203005,6.4251323203005
"Lambda1","clustered",1,0.750010880945356,NA,0.750010880945356,0.750010880945356,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.188005136097538,NA,-0.188005136097538,-0.188005136097538,0.332474841761292,NA,0.332474841761292,0.332474841761292,0.215718257859262,NA,0.215718257859262,0.215718257859262,0.75,NA,0.75,0.75,3.18721568901215,NA,3.18721568901215,3.18721568901215,4.38857142857143,NA,4.38857142857143,4.38857142857143
"Lambda1","random",1000,0.734761083710201,0.255305067130298,0.30313193884165,2.10392315802237,0.345511461644179,0.381840538472147,7.33137435857406e-05,0.999926686256414,-0.0863838522348931,0.087353056690467,-0.306700781034405,0.239231146234053,0.472437899515441,0.0985752534079727,0.246744099812011,0.803518905152145,0.190428822765905,0.0362971698526128,0.12840507820157,0.373236113040999,0.773255390922034,0.0768806813646512,0.5,0.857142857142857,3.46593315986804,0.342843440160411,2.21443921189837,4.21310840262484,4.90954567301832,0.492769261110529,3.23725411481333,6.14834985295719
"Lambda0.7","dispersed",1,0.948690481151437,NA,0.948690481151437,0.948690481151437,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.125189319764805,NA,-0.125189319764805,-0.125189319764805,0.414901728966037,NA,0.414901728966037,0.414901728966037,0.145289149312249,NA,0.145289149312249,0.145289149312249,0.525,NA,0.525,0.525,3.96623928162607,NA,3.96623928162607,3.96623928162607,5.88002463027823,NA,5.88002463027823,5.88002463027823
"Lambda0.7","clustered",1,1.18770908178558,NA,1.18770908178558,1.18770908178558,0.983904441042109,NA,0.983904441042109,0.983904441042109,0.121237984955096,NA,0.121237984955096,0.121237984955096,0.567882342977096,NA,0.567882342977096,0.567882342977096,0.215718257859262,NA,0.215718257859262,0.215718257859262,0.75,NA,0.75,0.75,3.18721568901215,NA,3.18721568901215,3.18721568901215,4.38857142857143,NA,4.38857142857143,4.38857142857143
"Lambda0.7","random",1000,0.797944725438795,0.229149769467394,0.217117083320376,1.9228342065773,0.28557056846143,0.419044644055915,7.33137435857406e-05,0.999926686256414,-0.10073940759134,0.086675814533284,-0.312891248099698,0.283633801641824,0.44440639919518,0.0903997201087856,0.23887793663234,0.769893953953283,0.201736999074283,0.0344285174055527,0.149424602926923,0.356462212868846,0.766716071635296,0.0573942533004681,0.571428571428571,0.84985835694051,3.34648243279821,0.302610233918313,2.28883004384134,3.91012151577017,4.77058219308915,0.404534440514425,3.37597673524901,5.70870607795501
"Lambda0.5","dispersed",1,0.882039451267028,NA,0.882039451267028,0.882039451267028,0.213074844185252,NA,0.213074844185252,0.213074844185252,-0.139193843396259,NA,-0.139193843396259,-0.139193843396259,0.506788205297522,NA,0.506788205297522,0.506788205297522,0.155557360283213,NA,0.155557360283213,0.155557360283213,0.5625,NA,0.5625,0.5625,3.82976407255787,NA,3.82976407255787,3.82976407255787,5.6625945820587,NA,5.6625945820587,5.6625945820587
"Lambda0.5","clustered",1,0.470726883990267,NA,0.470726883990267,0.470726883990267,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.19025836782273,NA,-0.19025836782273,-0.19025836782273,0.612025286554277,NA,0.612025286554277,0.612025286554277,0.215718257859262,NA,0.215718257859262,0.215718257859262,0.75,NA,0.75,0.75,3.18721568901215,NA,3.18721568901215,3.18721568901215,4.38857142857143,NA,4.38857142857143,4.38857142857143
"Lambda0.5","random",1000,0.939662255537575,0.26762951237723,0.322867736750266,2.12154651078037,0.604452537316323,0.423981493731191,7.33137435857406e-05,0.999926686256414,-0.0441111580409114,0.0836470140793767,-0.265570085228601,0.259015176884005,0.487289966658551,0.0814599536329018,0.294988486799742,0.791499854751764,0.206456534462383,0.034002533783559,0.157478833485671,0.351434806380891,0.764086788536763,0.0502743609346163,0.6,0.847058823529412,3.29971397264542,0.290012110299977,2.31210956322249,3.80526221591464,4.71038202000769,0.373086640652613,3.39214909767367,5.52921028313041
"OU_alpha0.2","dispersed",1,0.801425948946803,NA,0.801425948946803,0.801425948946803,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.165917662638799,NA,-0.165917662638799,-0.165917662638799,0.507086266825448,NA,0.507086266825448,0.507086266825448,0.0427897794149468,NA,0.0427897794149468,0.0427897794149468,0.156846069981021,NA,0.156846069981021,0.156846069981021,6.15607912520164,NA,6.15607912520164,6.15607912520164,7.73159013330968,NA,7.73159013330968,7.73159013330968
"OU_alpha0.2","clustered",1,1.95228354217021,NA,1.95228354217021,1.95228354217021,0.999926686256414,NA,0.999926686256414,0.999926686256414,0.196701028831805,NA,0.196701028831805,0.196701028831805,0.780093732983144,NA,0.780093732983144,0.780093732983144,0.152488855036656,NA,0.152488855036656,0.152488855036656,0.586920792356407,NA,0.586920792356407,0.586920792356407,3.86955351014471,NA,3.86955351014471,3.86955351014471,5.60041094143052,NA,5.60041094143052,5.60041094143052
