"SubsetID","MinPD","MeanPD","MeanNND","SubsetType","SubsetSize"
1,2,15.625,6.3125,"random",32
2,2,17.0141129032258,7.46875,"random",32
3,2,16.5665322580645,6.53125,"random",32
4,2,16.7439516129032,6.90625,"random",32
5,2,17.1149193548387,6.125,"random",32
6,2,16.0181451612903,6.1875,"random",32
7,2,16.8991935483871,6.03125,"random",32
8,3,15.5443548387097,7.21875,"random",32
9,2,16.1673387096774,6.65625,"random",32
10,2,16.4778225806452,6.71875,"random",32
11,2,17.1189516129032,6.59375,"random",32
12,2,16.2237903225806,5.1875,"random",32
13,3,16.2177419354839,6.46875,"random",32
14,2,15.2157258064516,6.5,"random",32
15,2,16.5302419354839,6.34375,"random",32
16,2,16.7520161290323,6.3125,"random",32
17,3,15.7540322580645,6.375,"random",32
18,3,16.6431451612903,7.25,"random",32
19,2,16.5060483870968,6.71875,"random",32
20,3,16.1290322580645,6.46875,"random",32
21,2,16.4153225806452,5.75,"random",32
22,2,16.9959677419355,6.90625,"random",32
23,3,16.7782258064516,6.46875,"random",32
24,2,16.4495967741935,6.125,"random",32
25,2,15.4072580645161,6.15625,"random",32
26,2,16.9778225806452,6.625,"random",32
27,2,16.2258064516129,5.8125,"random",32
28,2,17.0181451612903,6.53125,"random",32
29,3,15.7943548387097,6.96875,"random",32
30,2,14.5181451612903,5.40625,"random",32
31,3,17.3850806451613,6.34375,"random",32
32,2,16.383064516129,5.8125,"random",32
33,2,16.6975806451613,6.0625,"random",32
34,2,16.2762096774194,6.03125,"random",32
35,2,17.1028225806452,7.25,"random",32
36,2,16.8407258064516,6.6875,"random",32
37,2,17.0201612903226,5.84375,"random",32
38,3,16.0201612903226,6.96875,"random",32
39,2,16.3185483870968,6.96875,"random",32
40,3,16.3084677419355,6.71875,"random",32
41,3,17.070564516129,7.5,"random",32
42,2,15.7439516129032,5.28125,"random",32
43,3,17.4415322580645,5.96875,"random",32
44,2,16.429435483871,6.375,"random",32
45,2,17.0322580645161,6.5625,"random",32
46,3,16.9596774193548,6.09375,"random",32
47,2,15.1633064516129,6.1875,"random",32
48,3,15.8689516129032,6.25,"random",32
49,2,15.6552419354839,6.03125,"random",32
50,2,15.9939516129032,6.5625,"random",32
51,2,16.7197580645161,6.46875,"random",32
52,2,17.3225806451613,6.75,"random",32
53,2,16.3024193548387,4.15625,"random",32
54,4,16.6370967741935,6.96875,"random",32
55,2,16.0423387096774,6.5,"random",32
56,2,16.2983870967742,6.03125,"random",32
57,2,16.4193548387097,6.09375,"random",32
58,2,16.9717741935484,5.8125,"random",32
59,2,16.9737903225806,7.0625,"random",32
60,3,15.7157258064516,6.15625,"random",32
61,2,17.0282258064516,5.375,"random",32
62,2,16.8629032258065,6.09375,"random",32
63,3,16.4133064516129,6.28125,"random",32
64,2,17.0040322580645,5.5625,"random",32
65,3,16.2741935483871,5.96875,"random",32
66,2,15.4052419354839,5.8125,"random",32
67,2,14.5826612903226,5.03125,"random",32
68,2,17.6028225806452,6.21875,"random",32
69,2,16.625,5.78125,"random",32
70,2,16.0665322580645,6.3125,"random",32
71,2,16.7237903225806,6.03125,"random",32
72,3,16.1350806451613,6.09375,"random",32
73,2,15.2278225806452,6.5,"random",32
74,2,17.6008064516129,5.90625,"random",32
75,2,17.2036290322581,6.34375,"random",32
76,2,16.2540322580645,6.125,"random",32
77,2,16.3004032258065,6.96875,"random",32
78,2,16.8145161290323,6.90625,"random",32
79,2,15.6270161290323,6.25,"random",32
80,2,16.6512096774194,6.5,"random",32
81,2,16.8366935483871,6.125,"random",32
82,2,14.7358870967742,5.71875,"random",32
83,2,16.25,6.65625,"random",32
84,2,16.375,6.1875,"random",32
85,2,15.7036290322581,5.5625,"random",32
86,2,15.9415322580645,6.28125,"random",32
87,2,14.9354838709677,6,"random",32
88,2,15.1774193548387,5.875,"random",32
89,4,16.1875,7.15625,"random",32
90,2,16.8145161290323,5.34375,"random",32
91,3,16.6471774193548,5.71875,"random",32
92,4,16.1895161290323,7.3125,"random",32
93,2,16.7157258064516,5.5625,"random",32
94,2,16.9677419354839,6.375,"random",32
95,2,16.4213709677419,5.34375,"random",32
96,2,15.2862903225806,6.21875,"random",32
97,2,16.2681451612903,6.34375,"random",32
98,2,16.0241935483871,5.1875,"random",32
99,2,16.6391129032258,6.8125,"random",32
100,2,16.9475806451613,6.75,"random",32
101,2,17.3266129032258,5.8125,"random",32
102,2,17.4072580645161,5.65625,"random",32
103,2,16.1754032258065,5.78125,"random",32
104,2,15.9435483870968,6.40625,"random",32
105,2,16.616935483871,6.8125,"random",32
106,3,16.6350806451613,6.15625,"random",32
107,2,16.2883064516129,5.78125,"random",32
108,2,15.9052419354839,6.1875,"random",32
109,2,15.633064516129,5.96875,"random",32
110,2,15.3387096774194,6.25,"random",32
111,2,16.3810483870968,6.28125,"random",32
112,2,16.491935483871,7,"random",32
113,2,16.1149193548387,6.28125,"random",32
114,2,15.883064516129,6,"random",32
115,2,17.1895161290323,5.6875,"random",32
116,2,16.4334677419355,5.9375,"random",32
117,2,15.5564516129032,6.21875,"random",32
118,2,16.7600806451613,5.9375,"random",32
119,2,16.820564516129,5.40625,"random",32
120,2,16.625,6.40625,"random",32
121,2,16.5947580645161,6.53125,"random",32
122,2,15.679435483871,5.21875,"random",32
123,2,15.7278225806452,6.875,"random",32
124,2,14.0907258064516,6.125,"random",32
125,3,15.6814516129032,6.71875,"random",32
126,2,16.0181451612903,6.34375,"random",32
127,2,16.4193548387097,7.0625,"random",32
128,2,15.6189516129032,6.625,"random",32
129,2,15.929435483871,6.25,"random",32
130,4,16.4072580645161,6.53125,"random",32
131,2,16.7883064516129,5.34375,"random",32
132,2,16.4596774193548,5.46875,"random",32
133,2,15.2439516129032,6.53125,"random",32
134,2,17.0221774193548,6.40625,"random",32
135,2,15.8306451612903,5.3125,"random",32
136,2,16.0403225806452,6.21875,"random",32
137,3,16.1108870967742,5.84375,"random",32
138,2,15.7157258064516,6.28125,"random",32
139,2,15.2560483870968,6.21875,"random",32
140,2,15.9858870967742,5.125,"random",32
141,3,17.4375,6.28125,"random",32
142,2,16.6995967741935,7.15625,"random",32
143,2,15.1713709677419,5.875,"random",32
144,2,16.1875,6.0625,"random",32
145,2,16.7681451612903,5.8125,"random",32
146,2,17.0423387096774,6.5,"random",32
147,3,16.4556451612903,6.90625,"random",32
148,2,16.1673387096774,6.625,"random",32
149,2,16.7479838709677,5.40625,"random",32
150,3,17.1975806451613,7.21875,"random",32
151,3,15.5020161290323,6.4375,"random",32
152,3,14.7520161290323,6.53125,"random",32
153,3,16.8790322580645,6.40625,"random",32
154,3,16.2620967741935,5.15625,"random",32
155,2,16.4576612903226,6.40625,"random",32
156,3,16.2157258064516,6.875,"random",32
157,2,16.2036290322581,5.625,"random",32
158,2,16.2822580645161,7.03125,"random",32
159,2,15.8991935483871,6.28125,"random",32
160,2,16.0846774193548,5.78125,"random",32
161,2,16.3407258064516,6.09375,"random",32
162,2,16.2721774193548,6.9375,"random",32
163,2,16.7459677419355,5.1875,"random",32
164,2,15.8084677419355,5.96875,"random",32
165,2,17.5322580645161,7.09375,"random",32
166,2,16.0342741935484,5.3125,"random",32
167,3,16.3387096774194,6.71875,"random",32
168,2,15.4979838709677,6.5,"random",32
169,2,16.8649193548387,6.625,"random",32
170,3,15.5745967741935,6.90625,"random",32
171,2,17.7237903225806,5.65625,"random",32
172,3,16.3548387096774,6.84375,"random",32
173,2,15.4314516129032,5.34375,"random",32
174,2,16,5.75,"random",32
175,2,16.8286290322581,5.90625,"random",32
176,2,16.7963709677419,5.9375,"random",32
177,2,16.2056451612903,6.375,"random",32
178,2,16.1673387096774,6.5,"random",32
179,2,15.4838709677419,5.6875,"random",32
180,3,15.5362903225806,6.125,"random",32
181,2,15.0161290322581,6,"random",32
182,2,16.1875,6.6875,"random",32
183,2,15.2862903225806,5.9375,"random",32
184,2,16.1975806451613,6.59375,"random",32
185,2,16.008064516129,6.75,"random",32
186,2,15.3286290322581,5.71875,"random",32
187,2,16.6350806451613,7.09375,"random",32
188,2,17.1774193548387,6.28125,"random",32
189,2,15.0866935483871,5.9375,"random",32
190,2,16.0745967741935,6.09375,"random",32
191,2,15.5846774193548,5.40625,"random",32
192,3,16.7721774193548,6.9375,"random",32
193,3,15.5907258064516,6.59375,"random",32
194,2,15.9939516129032,7.4375,"random",32
195,2,16.4536290322581,6.15625,"random",32
196,3,15.2661290322581,6.4375,"random",32
197,2,15.5826612903226,6.84375,"random",32
198,2,15.9092741935484,6.3125,"random",32
199,2,15.9979838709677,5.96875,"random",32
200,3,16.0907258064516,6.40625,"random",32
201,2,16.195564516129,6.25,"random",32
