"Model","Subset_Type","N","K_mean","K_sd","K_min","K_max","Lambda_mean","Lambda_sd","Lambda_min","Lambda_max","MoransI_mean","MoransI_sd","MoransI_min","MoransI_max","mpnns_mean","mpnns_sd","mpnns_min","mpnns_max","mean_offdiag_cor_mean","mean_offdiag_cor_sd","mean_offdiag_cor_min","mean_offdiag_cor_max","max_offdiag_cor_mean","max_offdiag_cor_sd","max_offdiag_cor_min","max_offdiag_cor_max","ess_1_mean","ess_1_sd","ess_1_min","ess_1_max","ess_2_mean","ess_2_sd","ess_2_min","ess_2_max"
"Lambda1","dispersed",1,0.607048553423589,NA,0.607048553423589,0.607048553423589,0.999926686256414,NA,0.999926686256414,0.999926686256414,0.375493780530256,NA,0.375493780530256,0.375493780530256,0.358854513055302,NA,0.358854513055302,0.358854513055302,0.597710328508963,NA,0.597710328508963,0.597710328508963,0.983417917715141,NA,0.983417917715141,0.983417917715141,1.63858707189936,NA,1.63858707189936,1.63858707189936,2.23062480856083,NA,2.23062480856083,2.23062480856083
"Lambda1","clustered",1,0.368697737780023,NA,0.368697737780023,0.368697737780023,0.999926686256414,NA,0.999926686256414,0.999926686256414,0.211511327720415,NA,0.211511327720415,0.211511327720415,0.532523364960331,NA,0.532523364960331,0.532523364960331,0.585956246538077,NA,0.585956246538077,0.585956246538077,0.95553499995104,NA,0.95553499995104,0.95553499995104,1.66974145706184,NA,1.66974145706184,1.66974145706184,2.34786399884314,NA,2.34786399884314,2.34786399884314
"Lambda1","random",1000,0.825740029265784,0.349086418937769,0.117411456568823,2.44686176771095,0.994880744781082,0.00974849133891282,0.900318832088848,0.999926686256414,0.36760898736415,0.091107434128742,0.102584246070998,0.607282055804045,0.445398962193812,0.0477113689377729,0.304117101876108,0.602999688216722,0.621296852828051,0.0390067944898087,0.513868204277305,0.771400683631802,0.992312166548923,0.00183911244269164,0.983157391118297,0.996227130585308,1.58512073265015,0.0954176105128887,1.28444823987173,1.89014541782931,2.10369520484093,0.190019927527298,1.50885677044785,2.70595868368945
"Lambda0.7","dispersed",1,0.820214307882584,NA,0.820214307882584,0.820214307882584,0.993836334772523,NA,0.993836334772523,0.993836334772523,0.370473039676673,NA,0.370473039676673,0.370473039676673,0.400149873467081,NA,0.400149873467081,0.400149873467081,0.593811405061783,NA,0.593811405061783,0.593811405061783,0.981115276899597,NA,0.981115276899597,0.981115276899597,1.64879157134441,NA,1.64879157134441,1.64879157134441,2.25631626000531,NA,2.25631626000531,2.25631626000531
"Lambda0.7","clustered",1,0.160127832248204,NA,0.160127832248204,0.160127832248204,0.972440288484592,NA,0.972440288484592,0.972440288484592,0.0208148310984238,NA,0.0208148310984238,0.0208148310984238,0.508849866983772,NA,0.508849866983772,0.508849866983772,0.584262470013508,NA,0.584262470013508,0.584262470013508,0.958367427713005,NA,0.958367427713005,0.958367427713005,1.67432876392945,NA,1.67432876392945,1.67432876392945,2.35345983438354,NA,2.35345983438354,2.35345983438354
"Lambda0.7","random",1000,0.680108127393184,0.260613968521336,0.127605917618842,2.03049832223994,0.979700262236154,0.0241423356371958,0.781501875216728,0.999947237950008,0.375610290293683,0.0861403353615668,0.0263075871278363,0.581493969471527,0.450792717412022,0.0502214461240237,0.296856109109652,0.616004138146951,0.614928447770445,0.0338253154229823,0.526144091936555,0.749667605860338,0.986177986149835,0.00255464798903511,0.976553641515742,0.992121300249459,1.59935294381081,0.0837180899423117,1.32014858141073,1.84859254676535,2.14261972652664,0.169724809326583,1.5861203471842,2.65806909694213
"Lambda0.5","dispersed",1,0.913381118618876,NA,0.913381118618876,0.913381118618876,0.999926686256414,NA,0.999926686256414,0.999926686256414,0.441970762954112,NA,0.441970762954112,0.441970762954112,0.439482263090939,NA,0.439482263090939,0.439482263090939,0.592008452972762,NA,0.592008452972762,0.592008452972762,0.979922488984371,NA,0.979922488984371,0.979922488984371,1.65355346730493,NA,1.65355346730493,1.65355346730493,2.26865061597391,NA,2.26865061597391,2.26865061597391
"Lambda0.5","clustered",1,1.41669125367592,NA,1.41669125367592,1.41669125367592,0.985782856034649,NA,0.985782856034649,0.985782856034649,0.311648680535259,NA,0.311648680535259,0.311648680535259,0.469981611020461,NA,0.469981611020461,0.469981611020461,0.58351245575567,NA,0.58351245575567,0.58351245575567,0.959623286815023,NA,0.959623286815023,0.959623286815023,1.67636811203708,NA,1.67636811203708,1.67636811203708,2.35587248267151,NA,2.35587248267151,2.35587248267151
"Lambda0.5","random",1000,0.944209270565489,0.291465987879521,0.200946008751748,2.30574130577175,0.996841386108941,0.0069632150146868,0.915078846416074,0.999936143011646,0.477958684665793,0.0823392239783473,0.223199714507924,0.712850968356473,0.483494709599387,0.0455218034181517,0.359328116753926,0.637287242953724,0.611689713972706,0.0310778765001904,0.531396485590694,0.737845603412134,0.983378872413715,0.00303466004151282,0.972542570341386,0.989983999637103,1.60674033482697,0.0774359139157303,1.34041442406464,1.83136650687996,2.16245669844984,0.158084568641062,1.63018265672191,2.6312838913448
"OU_alpha0.2","dispersed",1,0.045921547491648,NA,0.045921547491648,0.045921547491648,0.919765854664606,NA,0.919765854664606,0.919765854664606,-0.0333888636649758,NA,-0.0333888636649758,-0.0333888636649758,0.474302478080129,NA,0.474302478080129,0.474302478080129,0.0103988381283946,NA,0.0103988381283946,0.0103988381283946,0.197580449594333,NA,0.197580449594333,0.197580449594333,24.1990862092903,NA,24.1990862092903,24.1990862092903,30.6654043752104,NA,30.6654043752104,30.6654043752104
