"Tree","Subset_Size","Tip_Index","Tip_Name","MinPD","MeanPD","MeanNND"
"large_balanced",32,199,"LB199",10,18.9173387096774,11.34375
"large_balanced",32,29,"LB029",10,18.9173387096774,11.34375
"large_balanced",32,108,"LB108",10,18.9173387096774,11.34375
"large_balanced",32,145,"LB145",10,18.9173387096774,11.34375
"large_balanced",32,236,"LB236",10,18.9173387096774,11.34375
"large_balanced",32,72,"LB072",10,18.9173387096774,11.34375
"large_balanced",32,129,"LB129",10,18.9173387096774,11.34375
"large_balanced",32,161,"LB161",10,18.9173387096774,11.34375
"large_balanced",32,84,"LB084",10,18.9173387096774,11.34375
"large_balanced",32,216,"LB216",10,18.9173387096774,11.34375
"large_balanced",32,43,"LB043",10,18.9173387096774,11.34375
"large_balanced",32,229,"LB229",10,18.9173387096774,11.34375
"large_balanced",32,192,"LB192",10,18.9173387096774,11.34375
"large_balanced",32,101,"LB101",10,18.9173387096774,11.34375
"large_balanced",32,21,"LB021",10,18.9173387096774,11.34375
"large_balanced",32,152,"LB152",10,18.9173387096774,11.34375
"large_balanced",32,254,"LB254",10,18.9173387096774,11.34375
"large_balanced",32,51,"LB051",10,18.9173387096774,11.34375
"large_balanced",32,174,"LB174",10,18.9173387096774,11.34375
"large_balanced",32,250,"LB250",10,18.9173387096774,11.34375
"large_balanced",32,138,"LB138",10,18.9173387096774,11.34375
"large_balanced",32,10,"LB010",10,18.9173387096774,11.34375
"large_balanced",32,169,"LB169",10,18.9173387096774,11.34375
"large_balanced",32,123,"LB123",10,18.9173387096774,11.34375
"large_balanced",32,244,"LB244",10,18.9173387096774,11.34375
"large_balanced",32,14,"LB014",10,18.9173387096774,11.34375
"large_balanced",32,178,"LB178",10,18.9173387096774,11.34375
"large_balanced",32,94,"LB094",10,18.9173387096774,11.34375
"large_balanced",32,49,"LB049",10,18.9173387096774,11.34375
"large_balanced",32,67,"LB067",10,18.9173387096774,11.34375
"large_balanced",32,208,"LB208",10,18.9173387096774,11.34375
"large_balanced",32,2,"LB002",10,18.9173387096774,11.34375
