"Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random"
"Lambda1","K",0.813823736576539,0.840646642779539,0.831092720771156,1,0.470529470529471,0.598401598401598,1,1,1000
"Lambda1","Lambda",0.999926686256414,0.942775118279256,0.900301350697778,0.5,0.593406593406593,0.277722277722278,1,1,1000
"Lambda1","MoransI",-0.0211506257154764,0.090580350837675,0.0258001362717879,1,0.54045954045954,0.978021978021978,1,1,1000
"Lambda1","mpnns",0.371127522816914,0.424667744891348,0.432710805831267,1,0.878121878121878,0.427572427572428,1,1,1000
"Lambda1","mean_offdiag_cor",0.13209999413008,0.304924452602804,0.15365051130044,1,0.946053946053946,1,1,1,1000
"Lambda1","max_offdiag_cor",0.693375245281536,0.888888888888889,0.890280364314235,1,1,0.427572427572428,1,1,1000
"Lambda1","ess_1",6.28054427643325,3.06142226274449,5.59291722504023,1,0.946053946053946,1,1,1,1000
"Lambda1","ess_2",14.2347951909252,6.05953627049038,11.5918655983692,1,1,1,1,1,1000
"Lambda0.7","K",0.775443199504414,0.950075710062194,0.853376868406906,1,0.704295704295704,0.762237762237762,1,1,1000
"Lambda0.7","Lambda",7.33137435857406e-05,0.899390240405706,0.855660412064477,1,1,0.345654345654346,1,1,1000
"Lambda0.7","MoransI",-0.0202925011317798,0.0910823857542718,0.0294629845453269,1,0.58041958041958,0.959040959040959,1,1,1000
"Lambda0.7","mpnns",0.296972543131617,0.49876426561559,0.430339779516452,1,1,0.918081918081918,1,1,1000
"Lambda0.7","mean_offdiag_cor",0.164472488612587,0.306349322896526,0.173674414201938,1,0.651348651348651,1,1,1,1000
"Lambda0.7","max_offdiag_cor",0.768697493364182,0.888888888888889,0.88074443744654,1,1,0.57042957042957,1,1,1000
"Lambda0.7","ess_1",5.24706532920054,3.04853970376652,5.04675516824862,1,0.651348651348651,1,1,1,1000
"Lambda0.7","ess_2",11.1767465630314,6.02560895565517,10.1918880697499,1,0.932067932067932,1,1,1,1000
"Lambda0.5","K",1.0437378010173,1.3587347693843,1.08322192856155,1,0.57042957042957,0.923076923076923,1,1,1000
"Lambda0.5","Lambda",0.999926686256414,0.999926686256414,0.984162342592485,1,0.785214785214785,1,1,1,1000
"Lambda0.5","MoransI",-0.000900086639233878,0.0734611989757536,0.0461408287048757,1,0.996003996003996,0.816183816183816,1,1,1000
"Lambda0.5","mpnns",0.46950927737277,0.647747939152037,0.463210727998997,1,0.434565434565435,1,1,1,1000
"Lambda0.5","mean_offdiag_cor",0.175786366604384,0.307003353722272,0.181406156906786,1,0.563436563436563,1,1,1,1000
"Lambda0.5","max_offdiag_cor",0.793228489179485,0.888888888888889,0.878014936041553,1,1,0.668331668331668,1,1,1000
"Lambda0.5","ess_1",4.96171927773533,3.04266270499039,4.86364786905301,1,0.563436563436563,1,1,1,1000
"Lambda0.5","ess_2",10.2999149001796,6.00989520436379,9.69948325170683,1,0.799200799200799,1,1,1,1000
"OU_alpha0.2","K",0.767927289040298,0.640882896288401,0.620159473193278,0.5,0.104895104895105,0.616383616383616,1,1,1000
"OU_alpha0.2","Lambda",7.33137435857406e-05,0.671934106832933,0.351076943812495,1,1,0.773226773226773,1,1,1000
"OU_alpha0.2","MoransI",-0.0239258379523103,0.0174112607715689,0.00183464395590314,0.5,0.335664335664336,0.507492507492508,1,1,1000
"OU_alpha0.2","mpnns",0.461891597480777,0.512450280450707,0.491166728152892,1,0.727272727272727,0.678321678321678,1,1,1000
"OU_alpha0.2","mean_offdiag_cor",0.0159622082258059,0.122342092436814,0.0342355545559557,1,1,1,1,1,1000
"OU_alpha0.2","max_offdiag_cor",0.162856137680897,0.661058913872302,0.628754093574422,1,1,0.482517482517482,1,1,1000
"OU_alpha0.2","ess_1",21.4071386539136,6.67695353524333,15.5808561143754,1,1,1,1,1,1000
"OU_alpha0.2","ess_2",31.0161062287911,15.8531040444043,26.5651829252142,1,1,1,1,1,1000
"OU_alpha1","K",0.638485250788153,0.372392862818478,0.466356790786745,0.5,0.0559440559440559,0.181818181818182,1,1,1000
"OU_alpha1","Lambda",7.33137435857406e-05,0.459240603192284,0.0786104712632572,1,1,0.939060939060939,1,1,1000
"OU_alpha1","MoransI",-0.0405700784676811,-0.00220595826707776,-0.0320783926740964,0.5,0.351648351648352,0.023976023976024,1,1,1000
"OU_alpha1","mpnns",0.650205569333077,0.69931670653968,0.62803569898516,1,0.305694305694306,0.948051948051948,1,1,1000
"OU_alpha1","mean_offdiag_cor",2.25555950730213e-06,0.00460745563652914,0.000695618175541292,1,1,1,1,1,1000
"OU_alpha1","max_offdiag_cor",0.000123409803832629,0.135335270067786,0.11216605373055,1,1,0.482517482517482,1,1,1000
"OU_alpha1","ess_1",31.9977626414101,28.0006374585684,31.3270688623272,1,1,1,1,1,1000
"OU_alpha1","ess_2",31.9999998231508,31.6348881307424,31.9436292064303,1,1,1,1,1,1000
"OU_alpha5","K",0.703445718634832,0.343070463039089,0.456907969719564,0.5,0.012987012987013,0.0849150849150849,1,1,1000
"OU_alpha5","Lambda",0.0519165765717486,7.33137435857406e-05,0.049585907249108,0.5,0.163836163836164,0.805194805194805,1,1,1000
"OU_alpha5","MoransI",-0.0259241531666602,-0.0300444962978956,-0.0323315494543896,1,0.686313686313686,0.403596403596404,1,1,1000
"OU_alpha5","mpnns",0.736639134339943,0.705682607037715,0.750807847323475,0.5,0.654345654345654,0.0999000999000999,1,1,1000
"OU_alpha5","mean_offdiag_cor",2.9015000602581e-22,7.40341587131132e-07,1.1291843603074e-07,1,1,1,1,1,1000
"OU_alpha5","max_offdiag_cor",2.86251858054939e-20,4.53999297624848e-05,3.35780023846802e-05,1,1,1,1,1,1000
"OU_alpha5","ess_1",32,31.9992655980005,31.9998879855735,1,1,1,1,1,1000
"OU_alpha5","ess_2",32,31.9999999670191,31.9999999949704,1,1,1,1,1,1000
