"Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random"
"Lambda1","K",0.821770675757307,0.384881101416457,0.545283839342047,0.5,0.0789210789210789,0.184815184815185,1,1,1000
"Lambda1","Lambda",0.968459271051824,0.91941474714666,0.981345329689191,0.5,0.801198801198801,0.022977022977023,1,1,1000
"Lambda1","MoransI",0.302797220911145,0.224150290914965,0.347797245183575,0.5,0.682317682317682,0.0909090909090909,1,1,1000
"Lambda1","mpnns",0.427582913903022,0.519467798777918,0.433907022900084,1,0.532467532467532,0.966033966033966,1,1,1000
"Lambda1","mean_offdiag_cor",0.615762004122845,0.574676730884236,0.616975064807804,0.5,0.513486513486514,0.157842157842158,1,1,1000
"Lambda1","max_offdiag_cor",0.980568764364377,0.955695771623624,0.99235799758788,0.5,1,0.000999000999000999,1,1,1000
"Lambda1","ess_1",1.59294150671007,1.7007725909588,1.59632398629609,0.5,0.513486513486514,0.157842157842158,1,1,1000
"Lambda1","ess_2",2.13913446143452,2.39792417104777,2.12450991926763,0.5,0.551448551448551,0.0979020979020979,1,1,1000
"Lambda0.7","K",0.371027257587579,0.154855729371593,0.478813426787682,0.5,0.711288711288711,0.000999000999000999,1,1,1000
"Lambda0.7","Lambda",0.979612391308011,0.999926686256414,0.994718440237581,1,0.955044955044955,1,1,1,1000
"Lambda0.7","MoransI",0.40219664033501,0.0356265700215988,0.476053615245803,0.5,0.843156843156843,0.000999000999000999,1,1,1000
"Lambda0.7","mpnns",0.321996997187307,0.552828975900914,0.449342346465715,1,0.996003996003996,0.98001998001998,1,1,1000
"Lambda0.7","mean_offdiag_cor",0.609433495983069,0.575574209461536,0.61130342732596,0.5,0.510489510489511,0.168831168831169,1,1,1000
"Lambda0.7","max_offdiag_cor",0.978680843691006,0.958443874939764,0.986249233579931,0.5,0.99000999000999,0.000999000999000999,1,1,1000
"Lambda0.7","ess_1",1.60865145820695,1.69826136042598,1.6087775509744,0.5,0.510489510489511,0.168831168831169,1,1,1000
"Lambda0.7","ess_2",2.17525066171389,2.39194602728921,2.16086577463404,0.5,0.549450549450549,0.113886113886114,1,1,1000
"Lambda0.5","K",0.175543062473091,0.373914195656658,0.241797988410707,1,0.533466533466533,0.844155844155844,1,1,1000
"Lambda0.5","Lambda",0.981287259981291,0.97722645487487,0.984582228795507,0.5,0.807192807192807,0.157842157842158,1,1,1000
"Lambda0.5","MoransI",0.165194135968226,0.157497185746077,0.300209900520848,0.5,0.942057942057942,0.051948051948052,1,1,1000
"Lambda0.5","mpnns",0.389600537370419,0.44207915029918,0.460580615351289,1,0.94005994005994,0.362637362637363,1,1,1000
"Lambda0.5","mean_offdiag_cor",0.60631045951575,0.575977737757699,0.608406817286062,0.5,0.512487512487512,0.170829170829171,1,1,1000
"Lambda0.5","max_offdiag_cor",0.977703396534659,0.959671305168045,0.9834401505241,0.5,0.97002997002997,0.000999000999000999,1,1,1000
"Lambda0.5","ess_1",1.61651886315743,1.69713466497226,1.61529801748914,0.5,0.512487512487512,0.170829170829171,1,1,1000
"Lambda0.5","ess_2",2.19354684082835,2.38921894756548,2.17930742670933,0.5,0.548451548451548,0.116883116883117,1,1,1000
"OU_alpha0.2","K",0.0582224597084989,0.237586321659585,0.0822135320161975,1,0.579420579420579,0.988011988011988,1,1,1000
"OU_alpha0.2","Lambda",7.33137435857406e-05,0.995161343461825,0.726536281166252,1,1,0.916083916083916,1,1,1000
"OU_alpha0.2","MoransI",-0.0150315417673204,0.0760479241016382,0.0755649121065059,1,0.885114885114885,0.494505494505495,1,1,1000
"OU_alpha0.2","mpnns",0.431418545899055,0.54251209815075,0.495989000202841,1,0.922077922077922,0.848151848151848,1,1,1000
"OU_alpha0.2","mean_offdiag_cor",0.010008323791296,0.149989295355632,0.0227695657755055,1,1,1,1,1,1000
"OU_alpha0.2","max_offdiag_cor",0.1556554613469,0.624760259091057,0.586583948823868,1,1,0.894105894105894,1,1,1000
"OU_alpha0.2","ess_1",24.4226702553336,5.6640494833093,18.8193311604375,1,1,1,1,1,1000
"OU_alpha0.2","ess_2",30.8922986147279,12.6121749891075,26.3082077902389,1,1,1,1,1,1000
"OU_alpha1","K",0.0661833437777327,0.16047407411713,0.0474535008136888,1,0.12987012987013,0.982017982017982,1,1,1000
"OU_alpha1","Lambda",0.928946732524748,0.157783151726912,0.613793223554849,0.5,0.292707292707293,0.203796203796204,1,1,1000
"OU_alpha1","MoransI",-0.0609801574018591,-0.0309160859377878,-0.0252073943157026,0.5,0.413586413586414,0.30969030969031,1,1,1000
"OU_alpha1","mpnns",0.601244795613773,0.64278038101999,0.602190929072235,1,0.506493506493506,0.812187812187812,1,1,1000
"OU_alpha1","mean_offdiag_cor",3.11593685155834e-06,0.00546293373193835,0.000667119782411962,1,1,1,1,1,1000
"OU_alpha1","max_offdiag_cor",9.13738270378053e-05,0.0988321800783042,0.0722309526155102,1,1,0.907092907092907,1,1,1000
"OU_alpha1","ess_1",31.9969092891875,27.3656083470436,31.3530513023071,1,1,1,1,1,1000
"OU_alpha1","ess_2",31.9999998050901,31.746418705433,31.9702451976487,1,1,1,1,1,1000
"OU_alpha5","K",0.0510854813482332,0.118754632553989,0.046266608639832,1,0.265734265734266,0.971028971028971,1,1,1000
"OU_alpha5","Lambda",7.33137435857406e-05,0.521170923951009,0.613242005062067,1,1,0.347652347652348,1,1,1000
"OU_alpha5","MoransI",-0.0246140345289612,-0.030033180897375,-0.0420716955864179,1,0.767232767232767,0.275724275724276,1,1,1000
"OU_alpha5","mpnns",0.774518846573474,0.784434977787207,0.770298551702442,1,0.448551448551449,0.669330669330669,1,1,1000
"OU_alpha5","mean_offdiag_cor",8.18358926237726e-23,8.86767783178283e-08,1.07000643253955e-08,1,1,0.991008991008991,1,1,1000
"OU_alpha5","max_offdiag_cor",6.36955474892744e-21,9.42956988078779e-06,3.67832265758313e-06,1,1,0.907092907092907,1,1,1000
"OU_alpha5","ess_1",32,31.9999120328777,31.9999893855483,1,1,0.991008991008991,1,1,1000
"OU_alpha5","ess_2",32,31.9999999996115,31.9999999998544,1,1,0.975024975024975,1,1,1000
