"Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random"
"Lambda1","K",0.646978660712677,1.83351317500623,0.884239012650355,1,0.864135864135864,0.996003996003996,1,1,1000
"Lambda1","Lambda",7.33137435857406e-05,0.999926686256414,0.558983798871367,1,1,1,1,1,1000
"Lambda1","MoransI",-0.188744481499411,0.0189905055921798,-0.0845821484749761,0.5,0.041958041958042,0.0689310689310689,1,1,1000
"Lambda1","mpnns",0.263384564290446,0.55144548499032,0.461413689681862,1,0.992007992007992,0.819180819180819,1,1,1000
"Lambda1","mean_offdiag_cor",0.142441873012634,0.305692895598518,0.205658857132292,1,0.972027972027972,0.982017982017982,1,1,1000
"Lambda1","max_offdiag_cor",0.5,0.75,0.769874024256076,1,0.998001998001998,0.458541458541459,1,1,1000
"Lambda1","ess_1",4.00582224012575,2.54789219680362,3.32267163724287,1,0.972027972027972,0.982017982017982,1,1,1000
"Lambda1","ess_2",6.17961475934775,3.90839694656489,4.90709196614391,1,0.999000999000999,0.966033966033966,1,1,1000
"Lambda0.7","K",0.830397555927396,0.986061027802708,0.898724359307428,1,0.564435564435564,0.68031968031968,1,1,1000
"Lambda0.7","Lambda",7.33137435857406e-05,0.999926686256414,0.503353150985919,1,0.999000999000999,1,1,1,1000
"Lambda0.7","MoransI",-0.156702681628151,-0.0310217245419286,-0.0674030641565107,0.5,0.136863136863137,0.150849150849151,1,1,1000
"Lambda0.7","mpnns",0.295659338382451,0.520465616653661,0.40271275128882,1,0.892107892107892,0.897102897102897,1,1,1000
"Lambda0.7","mean_offdiag_cor",0.173668184248712,0.305692895598518,0.223366241020202,1,0.883116883116883,0.971028971028971,1,1,1000
"Lambda0.7","max_offdiag_cor",0.583333333333333,0.75,0.767860800349037,1,0.986013986013986,0.375624375624376,1,1,1000
"Lambda0.7","ess_1",3.61063411041019,2.54789219680362,3.15949533432461,1,0.883116883116883,0.971028971028971,1,1,1000
"Lambda0.7","ess_2",5.58373056496584,3.90839694656489,4.68608884359535,1,0.99000999000999,0.957042957042957,1,1,1000
"Lambda0.5","K",0.847362770181724,1.19262552085112,0.983509616282484,1,0.657342657342657,0.824175824175824,1,1,1000
"Lambda0.5","Lambda",7.33137435857406e-05,0.999926686256414,0.585120583084878,1,1,1,1,1,1000
"Lambda0.5","MoransI",-0.137922813557202,-0.0283973554236829,-0.0448095390955771,0.5,0.164835164835165,0.162837162837163,1,1,1000
"Lambda0.5","mpnns",0.439305724594261,0.633695081822973,0.509168595353524,1,0.75024975024975,0.906093906093906,1,1,1000
"Lambda0.5","mean_offdiag_cor",0.185907744137918,0.305692895598518,0.230699049734043,1,0.849150849150849,0.958041958041958,1,1,1000
