"Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random"
"Lambda1","K",0.42090941355877,1.0611314126132,0.631670879641886,1,0.607392607392607,0.868131868131868,1,1,1000
"Lambda1","Lambda",0.999926686256414,0.999926686256414,0.80061885522226,1,0.478521478521479,1,1,1,1000
"Lambda1","MoransI",0.0210656699525378,-0.0903370996969857,0.0706708328969741,1,0.896103896103896,0.441558441558442,1,1,1000
"Lambda1","mpnns",0.372123958533069,0.402438904200018,0.466504925195241,1,0.849150849150849,0.274725274725275,1,1,1000
"Lambda1","mean_offdiag_cor",0.466366222557332,0.398500103512509,0.460424390756255,0.5,0.471528471528472,0.203796203796204,1,1,1000
"Lambda1","max_offdiag_cor",0.894043718191858,0.805959600934029,0.916410936491986,0.5,0.815184815184815,0.00999000999000999,1,1,1000
"Lambda1","ess_1",1.87592467350562,2.11109604705794,1.91893278787604,0.5,0.471528471528472,0.203796203796204,1,1,1000
"Lambda1","ess_2",2.4997963171651,3.06719269415696,2.53551432944475,0.5,0.509490509490509,0.111888111888112,1,1,1000
"Lambda0.7","K",0.275326068578992,0.669260953862984,0.726557831896028,1,0.86013986013986,0.582417582417582,1,1,1000
"Lambda0.7","Lambda",7.33137435857406e-05,0.999926686256414,0.734542917706522,1,1,0.999000999000999,1,1,1000
"Lambda0.7","MoransI",-0.0887975208647444,-0.0603895455163328,0.0453792081036353,0.5,0.567432567432567,0.310689310689311,1,1,1000
"Lambda0.7","mpnns",0.484770159101738,0.592971229249718,0.457360035078074,1,0.344655344655345,0.925074925074925,1,1,1000
"Lambda0.7","mean_offdiag_cor",0.453116736046847,0.398864174326855,0.450259788433724,0.5,0.472527472527473,0.207792207792208,1,1,1000
"Lambda0.7","max_offdiag_cor",0.88749567601201,0.817361508367952,0.896413945018699,0.5,0.675324675324675,0.018981018981019,1,1,1000
"Lambda0.7","ess_1",1.9176295863149,2.1096772576682,1.94453371953967,0.5,0.472527472527473,0.207792207792208,1,1,1000
"Lambda0.7","ess_2",2.59183913861284,3.05495051744047,2.61307085991553,0.5,0.508491508491508,0.11988011988012,1,1,1000
"Lambda0.5","K",3.6155417401572,1.60215156032761,2.30302818578776,0.5,0.0959040959040959,0.250749250749251,1,1,1000
"Lambda0.5","Lambda",0.999926686256414,0.999926686256414,0.96909592891831,1,0.719280719280719,1,1,1,1000
"Lambda0.5","MoransI",0.214215567201463,0.0447763231216676,0.179657329123615,0.5,0.427572427572428,0.10989010989011,1,1,1000
"Lambda0.5","mpnns",0.620392277659203,0.661619211768702,0.506630134511698,1,0.128871128871129,0.936063936063936,1,1,1000
"Lambda0.5","mean_offdiag_cor",0.446953069297241,0.399089330944434,0.445278996111566,0.5,0.474525474525474,0.206793206793207,1,1,1000
"Lambda0.5","max_offdiag_cor",0.884283081875447,0.822504798652785,0.888528776028724,0.5,0.597402597402597,0.033966033966034,1,1,1000
"Lambda0.5","ess_1",1.93766930328768,2.10880077296264,1.9578517863671,0.5,0.474525474525474,0.206793206793207,1,1,1000
"Lambda0.5","ess_2",2.63630312282935,3.04889310180223,2.65106930101964,0.5,0.507492507492508,0.124875124875125,1,1,1000
"OU_alpha0.2","K",0.160641884090902,0.355073353966492,0.337164553068377,1,0.85014985014985,0.697302697302697,1,1,1000
"OU_alpha0.2","Lambda",7.33137435857406e-05,7.33137435857406e-05,0.474581720932537,1,1,0.295704295704296,1,1,1000
"OU_alpha0.2","MoransI",-0.207667222772723,-0.187698481417224,-0.123884116133072,0.5,0.292707292707293,0.625374625374625,1,1,1000
"OU_alpha0.2","mpnns",0.332207061357986,0.50533318446933,0.440043947660184,1,0.879120879120879,0.738261738261738,1,1,1000
"OU_alpha0.2","mean_offdiag_cor",0.0823134444123826,0.230261491726025,0.125142129838574,1,0.949050949050949,1,1,1,1000
"OU_alpha0.2","max_offdiag_cor",0.293040764762416,0.528594552787089,0.543822555953986,1,1,0.426573426573427,1,1,1000
"OU_alpha0.2","ess_1",5.07551699676105,3.06298596995536,4.31858408593854,1,0.949050949050949,1,1,1,1000
"OU_alpha0.2","ess_2",7.1529893561796,5.0855789019805,6.24725108165487,1,0.99000999000999,0.985014985014985,1,1,1000
"OU_alpha1","K",0.341665407282897,0.384198906947171,0.319279989653577,1,0.302697302697303,0.753246753246753,1,1,1000
"OU_alpha1","Lambda",0.818413452390028,0.341652334265673,0.516040306472274,0.5,0.375624375624376,0.402597402597403,1,1,1000
"OU_alpha1","MoransI",-0.277480339302275,-0.229467969231027,-0.14376523277695,0.5,0.0849150849150849,0.786213786213786,1,1,1000
"OU_alpha1","mpnns",0.603959556748113,0.5231721546106,0.609459972028867,0.5,0.511488511488511,0.13986013986014,1,1,1000
"OU_alpha1","mean_offdiag_cor",0.000321036127846211,0.0143708620832451,0.00457933811955295,1,1,0.992007992007992,1,1,1000
"OU_alpha1","max_offdiag_cor",0.00216180385806173,0.0565267635315518,0.0608688336486704,1,1,0.569430569430569,1,1,1000
"OU_alpha1","ess_1",7.98206228741714,7.26878868233716,7.75414751680437,1,1,0.992007992007992,1,1,1000
"OU_alpha1","ess_2",7.99997061639639,7.97016522319929,7.9859271924798,1,1,0.862137862137862,1,1,1000
