"Model","Subset_Type","N","K_mean","K_sd","K_min","K_max","Lambda_mean","Lambda_sd","Lambda_min","Lambda_max","MoransI_mean","MoransI_sd","MoransI_min","MoransI_max","mpnns_mean","mpnns_sd","mpnns_min","mpnns_max","mean_offdiag_cor_mean","mean_offdiag_cor_sd","mean_offdiag_cor_min","mean_offdiag_cor_max","max_offdiag_cor_mean","max_offdiag_cor_sd","max_offdiag_cor_min","max_offdiag_cor_max","ess_1_mean","ess_1_sd","ess_1_min","ess_1_max","ess_2_mean","ess_2_sd","ess_2_min","ess_2_max"
"Lambda1","dispersed",1,0.813823736576539,NA,0.813823736576539,0.813823736576539,0.999926686256414,NA,0.999926686256414,0.999926686256414,-0.0211506257154764,NA,-0.0211506257154764,-0.0211506257154764,0.371127522816914,NA,0.371127522816914,0.371127522816914,0.13209999413008,NA,0.13209999413008,0.13209999413008,0.693375245281536,NA,0.693375245281536,0.693375245281536,6.28054427643325,NA,6.28054427643325,6.28054427643325,14.2347951909252,NA,14.2347951909252,14.2347951909252
"Lambda1","clustered",1,0.840646642779539,NA,0.840646642779539,0.840646642779539,0.942775118279256,NA,0.942775118279256,0.942775118279256,0.090580350837675,NA,0.090580350837675,0.090580350837675,0.424667744891348,NA,0.424667744891348,0.424667744891348,0.304924452602804,NA,0.304924452602804,0.304924452602804,0.888888888888889,NA,0.888888888888889,0.888888888888889,3.06142226274449,NA,3.06142226274449,3.06142226274449,6.05953627049038,NA,6.05953627049038,6.05953627049038
"Lambda1","random",1000,0.831092720771156,0.153476716931255,0.495209785135323,1.59327160109627,0.900301350697778,0.226362092083958,7.33137435857406e-05,0.999926686256414,0.0258001362717879,0.0282438151637682,-0.0329467468546069,0.135335794200655,0.432710805831267,0.0496996283783538,0.297493084990547,0.590777317350438,0.15365051130044,0.0162240052428179,0.123266131124953,0.211774576879857,0.890280364314235,0.0287771274310991,0.746202507244636,0.9375,5.59291722504023,0.466329427090529,4.22999996480433,6.63728277301858,11.5918655983692,0.891973243097606,8.63414071586458,14.1395772316764
"Lambda0.7","dispersed",1,0.775443199504414,NA,0.775443199504414,0.775443199504414,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.0202925011317798,NA,-0.0202925011317798,-0.0202925011317798,0.296972543131617,NA,0.296972543131617,0.296972543131617,0.164472488612587,NA,0.164472488612587,0.164472488612587,0.768697493364182,NA,0.768697493364182,0.768697493364182,5.24706532920054,NA,5.24706532920054,5.24706532920054,11.1767465630314,NA,11.1767465630314,11.1767465630314
"Lambda0.7","clustered",1,0.950075710062194,NA,0.950075710062194,0.950075710062194,0.899390240405706,NA,0.899390240405706,0.899390240405706,0.0910823857542718,NA,0.0910823857542718,0.0910823857542718,0.49876426561559,NA,0.49876426561559,0.49876426561559,0.306349322896526,NA,0.306349322896526,0.306349322896526,0.888888888888889,NA,0.888888888888889,0.888888888888889,3.04853970376652,NA,3.04853970376652,3.04853970376652,6.02560895565517,NA,6.02560895565517,6.02560895565517
"Lambda0.7","random",1000,0.853376868406906,0.14371579323567,0.468180262908441,1.4786758286301,0.855660412064477,0.248245691079856,7.33137435857406e-05,0.999926686256414,0.0294629845453269,0.0308613678545066,-0.03637943474229,0.143336572882052,0.430339779516452,0.0484471827766817,0.300664829982292,0.585863839030262,0.173674414201938,0.0173860123603101,0.141346862015982,0.234799273952229,0.88074443744654,0.0226510576654643,0.779755807883989,0.930188432347553,5.04675516824862,0.407079286404172,3.86530499568517,5.94601826766246,10.1918880697499,0.720976940795561,7.69685581445991,11.8283401940652
"Lambda0.5","dispersed",1,1.0437378010173,NA,1.0437378010173,1.0437378010173,0.999926686256414,NA,0.999926686256414,0.999926686256414,-0.000900086639233878,NA,-0.000900086639233878,-0.000900086639233878,0.46950927737277,NA,0.46950927737277,0.46950927737277,0.175786366604384,NA,0.175786366604384,0.175786366604384,0.793228489179485,NA,0.793228489179485,0.793228489179485,4.96171927773533,NA,4.96171927773533,4.96171927773533,10.2999149001796,NA,10.2999149001796,10.2999149001796
"Lambda0.5","clustered",1,1.3587347693843,NA,1.3587347693843,1.3587347693843,0.999926686256414,NA,0.999926686256414,0.999926686256414,0.0734611989757536,NA,0.0734611989757536,0.0734611989757536,0.647747939152037,NA,0.647747939152037,0.647747939152037,0.307003353722272,NA,0.307003353722272,0.307003353722272,0.888888888888889,NA,0.888888888888889,0.888888888888889,3.04266270499039,NA,3.04266270499039,3.04266270499039,6.00989520436379,NA,6.00989520436379,6.00989520436379
"Lambda0.5","random",1000,1.08322192856155,0.177252606434433,0.671376179753015,1.86764538792409,0.984162342592485,0.0478891043182218,0.551485744106802,0.999926686256414,0.0461408287048757,0.0292805209846145,-0.0146515816665917,0.158186947110581,0.463210727998997,0.0465312100690941,0.335767734254338,0.617861620648406,0.181406156906786,0.0178962311289804,0.14849060174759,0.243809809846509,0.878014936041553,0.0206012201282885,0.79443266021261,0.92762460233298,4.86364786905301,0.389628452315837,3.73914591438543,5.71101345229306,9.69948325170683,0.674870848533462,7.34215076413637,11.1994590076744
"OU_alpha0.2","dispersed",1,0.767927289040298,NA,0.767927289040298,0.767927289040298,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.0239258379523103,NA,-0.0239258379523103,-0.0239258379523103,0.461891597480777,NA,0.461891597480777,0.461891597480777,0.0159622082258059,NA,0.0159622082258059,0.0159622082258059,0.162856137680897,NA,0.162856137680897,0.162856137680897,21.4071386539136,NA,21.4071386539136,21.4071386539136,31.0161062287911,NA,31.0161062287911,31.0161062287911
"OU_alpha0.2","clustered",1,0.640882896288401,NA,0.640882896288401,0.640882896288401,0.671934106832933,NA,0.671934106832933,0.671934106832933,0.0174112607715689,NA,0.0174112607715689,0.0174112607715689,0.512450280450707,NA,0.512450280450707,0.512450280450707,0.122342092436814,NA,0.122342092436814,0.122342092436814,0.661058913872302,NA,0.661058913872302,0.661058913872302,6.67695353524333,NA,6.67695353524333,6.67695353524333,15.8531040444043,NA,15.8531040444043,15.8531040444043
"OU_alpha0.2","random",1000,0.620159473193278,0.117106608655408,0.351066546117088,1.07529778422517,0.351076943812495,0.350420085474443,7.33137435857406e-05,0.999926686256414,0.00183464395590314,0.0266239175823852,-0.0588871511204418,0.0982917527549021,0.491166728152892,0.0467415427142334,0.351836343341956,0.644375342751909,0.0342355545559557,0.00407084849133459,0.0245843031071448,0.0523780930279601,0.628754093574422,0.0604494585322047,0.397944984837179,0.669771352224117,15.5808561143754,0.930546506868316,12.1964192901645,18.1600117601976,26.5651829252142,0.904604305832713,23.3335897685329,29.2646285474076
"OU_alpha1","dispersed",1,0.638485250788153,NA,0.638485250788153,0.638485250788153,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.0405700784676811,NA,-0.0405700784676811,-0.0405700784676811,0.650205569333077,NA,0.650205569333077,0.650205569333077,2.25555950730213e-06,NA,2.25555950730213e-06,2.25555950730213e-06,0.000123409803832629,NA,0.000123409803832629,0.000123409803832629,31.9977626414101,NA,31.9977626414101,31.9977626414101,31.9999998231508,NA,31.9999998231508,31.9999998231508
"OU_alpha1","clustered",1,0.372392862818478,NA,0.372392862818478,0.372392862818478,0.459240603192284,NA,0.459240603192284,0.459240603192284,-0.00220595826707776,NA,-0.00220595826707776,-0.00220595826707776,0.69931670653968,NA,0.69931670653968,0.69931670653968,0.00460745563652914,NA,0.00460745563652914,0.00460745563652914,0.135335270067786,NA,0.135335270067786,0.135335270067786,28.0006374585684,NA,28.0006374585684,28.0006374585684,31.6348881307424,NA,31.6348881307424,31.6348881307424
"OU_alpha1","random",1000,0.466356790786745,0.10484659073458,0.211896627414538,0.885202117916307,0.0786104712632572,0.192954536640489,7.33137435857406e-05,0.999926686256414,-0.0320783926740964,0.0215794415843065,-0.105851437388136,0.0559825695378044,0.62803569898516,0.0436661050800432,0.50135546148981,0.778745496731021,0.000695618175541292,0.000298480402869819,0.000102491674820422,0.00183602381095836,0.11216605373055,0.039181403968202,0.0183099179280324,0.135335283236602,31.3270688623272,0.282474288176984,30.2767463559368,31.8986502711851,31.9436292064303,0.0372029991743947,31.8028988481388,31.9991057880252
"OU_alpha5","dispersed",1,0.703445718634832,NA,0.703445718634832,0.703445718634832,0.0519165765717486,NA,0.0519165765717486,0.0519165765717486,-0.0259241531666602,NA,-0.0259241531666602,-0.0259241531666602,0.736639134339943,NA,0.736639134339943,0.736639134339943,2.9015000602581e-22,NA,2.9015000602581e-22,2.9015000602581e-22,2.86251858054939e-20,NA,2.86251858054939e-20,2.86251858054939e-20,32,NA,32,32,32,NA,32,32
