"Model","Subset_Type","N","K_mean","K_sd","K_min","K_max","Lambda_mean","Lambda_sd","Lambda_min","Lambda_max","MoransI_mean","MoransI_sd","MoransI_min","MoransI_max","mpnns_mean","mpnns_sd","mpnns_min","mpnns_max","mean_offdiag_cor_mean","mean_offdiag_cor_sd","mean_offdiag_cor_min","mean_offdiag_cor_max","max_offdiag_cor_mean","max_offdiag_cor_sd","max_offdiag_cor_min","max_offdiag_cor_max","ess_1_mean","ess_1_sd","ess_1_min","ess_1_max","ess_2_mean","ess_2_sd","ess_2_min","ess_2_max"
"Lambda1","dispersed",1,0.821770675757307,NA,0.821770675757307,0.821770675757307,0.968459271051824,NA,0.968459271051824,0.968459271051824,0.302797220911145,NA,0.302797220911145,0.302797220911145,0.427582913903022,NA,0.427582913903022,0.427582913903022,0.615762004122845,NA,0.615762004122845,0.615762004122845,0.980568764364377,NA,0.980568764364377,0.980568764364377,1.59294150671007,NA,1.59294150671007,1.59294150671007,2.13913446143452,NA,2.13913446143452,2.13913446143452
"Lambda1","clustered",1,0.384881101416457,NA,0.384881101416457,0.384881101416457,0.91941474714666,NA,0.91941474714666,0.91941474714666,0.224150290914965,NA,0.224150290914965,0.224150290914965,0.519467798777918,NA,0.519467798777918,0.519467798777918,0.574676730884236,NA,0.574676730884236,0.574676730884236,0.955695771623624,NA,0.955695771623624,0.955695771623624,1.7007725909588,NA,1.7007725909588,1.7007725909588,2.39792417104777,NA,2.39792417104777,2.39792417104777
"Lambda1","random",1000,0.545283839342047,0.185972714650672,0.079323858652601,1.58588903901956,0.981345329689191,0.0217365351494173,0.853677343545159,0.999926686256414,0.347797245183575,0.0914447940124655,0.0899751009441387,0.655565514231694,0.433907022900084,0.0476928233529032,0.301897651895092,0.596282346548102,0.616975064807804,0.0407905251712825,0.496129949581626,0.723043828878467,0.99235799758788,0.00187465269707869,0.982170906841933,0.995872344328212,1.59632398629609,0.101664118594391,1.36668274440144,1.95359856199379,2.12450991926763,0.198998248987581,1.67990431532659,2.81754023456975
"Lambda0.7","dispersed",1,0.371027257587579,NA,0.371027257587579,0.371027257587579,0.979612391308011,NA,0.979612391308011,0.979612391308011,0.40219664033501,NA,0.40219664033501,0.40219664033501,0.321996997187307,NA,0.321996997187307,0.321996997187307,0.609433495983069,NA,0.609433495983069,0.609433495983069,0.978680843691006,NA,0.978680843691006,0.978680843691006,1.60865145820695,NA,1.60865145820695,1.60865145820695,2.17525066171389,NA,2.17525066171389,2.17525066171389
"Lambda0.7","clustered",1,0.154855729371593,NA,0.154855729371593,0.154855729371593,0.999926686256414,NA,0.999926686256414,0.999926686256414,0.0356265700215988,NA,0.0356265700215988,0.0356265700215988,0.552828975900914,NA,0.552828975900914,0.552828975900914,0.575574209461536,NA,0.575574209461536,0.575574209461536,0.958443874939764,NA,0.958443874939764,0.958443874939764,1.69826136042598,NA,1.69826136042598,1.69826136042598,2.39194602728921,NA,2.39194602728921,2.39194602728921
"Lambda0.7","random",1000,0.478813426787682,0.171355565786267,0.179461015296074,1.51847131920213,0.994718440237581,0.0082926628753468,0.916873894193708,0.999926686256414,0.476053615245803,0.0738364674953541,0.197994887425958,0.683054240668116,0.449342346465715,0.0496870214801594,0.273667667566967,0.65542653201814,0.61130342732596,0.0351276742496864,0.513248322983637,0.706165023971379,0.986249233579931,0.00258502890300898,0.975968078804595,0.991638663024979,1.6087775509744,0.0882505192890299,1.39792224892436,1.89229326763213,2.16086577463404,0.176446520934258,1.74830545688459,2.73136022756683
"Lambda0.5","dispersed",1,0.175543062473091,NA,0.175543062473091,0.175543062473091,0.981287259981291,NA,0.981287259981291,0.981287259981291,0.165194135968226,NA,0.165194135968226,0.165194135968226,0.389600537370419,NA,0.389600537370419,0.389600537370419,0.60631045951575,NA,0.60631045951575,0.60631045951575,0.977703396534659,NA,0.977703396534659,0.977703396534659,1.61651886315743,NA,1.61651886315743,1.61651886315743,2.19354684082835,NA,2.19354684082835,2.19354684082835
"Lambda0.5","clustered",1,0.373914195656658,NA,0.373914195656658,0.373914195656658,0.97722645487487,NA,0.97722645487487,0.97722645487487,0.157497185746077,NA,0.157497185746077,0.157497185746077,0.44207915029918,NA,0.44207915029918,0.44207915029918,0.575977737757699,NA,0.575977737757699,0.575977737757699,0.959671305168045,NA,0.959671305168045,0.959671305168045,1.69713466497226,NA,1.69713466497226,1.69713466497226,2.38921894756548,NA,2.38921894756548,2.38921894756548
"Lambda0.5","random",1000,0.241797988410707,0.164340242984694,0.0487427869661928,1.39100087584764,0.984582228795507,0.0389595886428421,0.480029990740565,0.999935745674345,0.300209900520848,0.0864762929194063,-0.0565993979989015,0.560158221615986,0.460580615351289,0.047812088218352,0.319738721156389,0.630367790529852,0.608406817286062,0.0321771782548762,0.52106451095703,0.696999634365105,0.9834401505241,0.00299645491705651,0.97310714851296,0.989523872880755,1.61529801748914,0.0812588622597454,1.41549148689103,1.86556289273652,2.17930742670933,0.163784497751014,1.78683337750894,2.68994810858531
"OU_alpha0.2","dispersed",1,0.0582224597084989,NA,0.0582224597084989,0.0582224597084989,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.0150315417673204,NA,-0.0150315417673204,-0.0150315417673204,0.431418545899055,NA,0.431418545899055,0.431418545899055,0.010008323791296,NA,0.010008323791296,0.010008323791296,0.1556554613469,NA,0.1556554613469,0.1556554613469,24.4226702553336,NA,24.4226702553336,24.4226702553336,30.8922986147279,NA,30.8922986147279,30.8922986147279
