"Model","Subset_Type","N","K_mean","K_sd","K_min","K_max","Lambda_mean","Lambda_sd","Lambda_min","Lambda_max","MoransI_mean","MoransI_sd","MoransI_min","MoransI_max","mpnns_mean","mpnns_sd","mpnns_min","mpnns_max","mean_offdiag_cor_mean","mean_offdiag_cor_sd","mean_offdiag_cor_min","mean_offdiag_cor_max","max_offdiag_cor_mean","max_offdiag_cor_sd","max_offdiag_cor_min","max_offdiag_cor_max","ess_1_mean","ess_1_sd","ess_1_min","ess_1_max","ess_2_mean","ess_2_sd","ess_2_min","ess_2_max"
"Lambda1","dispersed",1,0.646978660712677,NA,0.646978660712677,0.646978660712677,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.188744481499411,NA,-0.188744481499411,-0.188744481499411,0.263384564290446,NA,0.263384564290446,0.263384564290446,0.142441873012634,NA,0.142441873012634,0.142441873012634,0.5,NA,0.5,0.5,4.00582224012575,NA,4.00582224012575,4.00582224012575,6.17961475934775,NA,6.17961475934775,6.17961475934775
"Lambda1","clustered",1,1.83351317500623,NA,1.83351317500623,1.83351317500623,0.999926686256414,NA,0.999926686256414,0.999926686256414,0.0189905055921798,NA,0.0189905055921798,0.0189905055921798,0.55144548499032,NA,0.55144548499032,0.55144548499032,0.305692895598518,NA,0.305692895598518,0.305692895598518,0.75,NA,0.75,0.75,2.54789219680362,NA,2.54789219680362,2.54789219680362,3.90839694656489,NA,3.90839694656489,3.90839694656489
"Lambda1","random",1000,0.884239012650355,0.248138518377498,0.321589881450248,2.17158831312571,0.558983798871367,0.471577519243906,7.33137435857406e-05,0.999926686256414,-0.0845821484749761,0.0828571228706606,-0.277811276225121,0.220854585151801,0.461413689681862,0.100842117895438,0.24288828069191,0.888903927435287,0.205658857132292,0.0406034497650238,0.125816709221131,0.373229618775389,0.769874024256076,0.0780532771070267,0.474341649025257,0.875,3.32267163724287,0.37740493727745,2.21446707767112,4.25369694154008,4.90709196614391,0.503561701695608,3.02344349743125,6.21055005748676
"Lambda0.7","dispersed",1,0.830397555927396,NA,0.830397555927396,0.830397555927396,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.156702681628151,NA,-0.156702681628151,-0.156702681628151,0.295659338382451,NA,0.295659338382451,0.295659338382451,0.173668184248712,NA,0.173668184248712,0.173668184248712,0.583333333333333,NA,0.583333333333333,0.583333333333333,3.61063411041019,NA,3.61063411041019,3.61063411041019,5.58373056496584,NA,5.58373056496584,5.58373056496584
"Lambda0.7","clustered",1,0.986061027802708,NA,0.986061027802708,0.986061027802708,0.999926686256414,NA,0.999926686256414,0.999926686256414,-0.0310217245419286,NA,-0.0310217245419286,-0.0310217245419286,0.520465616653661,NA,0.520465616653661,0.520465616653661,0.305692895598518,NA,0.305692895598518,0.305692895598518,0.75,NA,0.75,0.75,2.54789219680362,NA,2.54789219680362,2.54789219680362,3.90839694656489,NA,3.90839694656489,3.90839694656489
"Lambda0.7","random",1000,0.898724359307428,0.265818252185424,0.346853036247631,2.08722151006695,0.503353150985919,0.459861958496898,5.37106441655682e-05,0.999926686256414,-0.0674030641565107,0.0853177641471861,-0.276195931501977,0.231748442843561,0.40271275128882,0.0883584312646581,0.206951268694093,0.73691626923782,0.223366241020202,0.0410407870561197,0.148585443944027,0.355128416534036,0.767860800349037,0.0598578575822385,0.554491251517763,0.869458128078818,3.15949533432461,0.349576211645576,2.29496040859973,3.9213800405801,4.68608884359535,0.431832102265439,3.16533747174294,5.75493441986108
"Lambda0.5","dispersed",1,0.847362770181724,NA,0.847362770181724,0.847362770181724,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.137922813557202,NA,-0.137922813557202,-0.137922813557202,0.439305724594261,NA,0.439305724594261,0.439305724594261,0.185907744137918,NA,0.185907744137918,0.185907744137918,0.613636363636364,NA,0.613636363636364,0.613636363636364,3.476214121596,NA,3.476214121596,3.476214121596,5.35551980924727,NA,5.35551980924727,5.35551980924727
"Lambda0.5","clustered",1,1.19262552085112,NA,1.19262552085112,1.19262552085112,0.999926686256414,NA,0.999926686256414,0.999926686256414,-0.0283973554236829,NA,-0.0283973554236829,-0.0283973554236829,0.633695081822973,NA,0.633695081822973,0.633695081822973,0.305692895598518,NA,0.305692895598518,0.305692895598518,0.75,NA,0.75,0.75,2.54789219680362,NA,2.54789219680362,2.54789219680362,3.90839694656489,NA,3.90839694656489,3.90839694656489
"Lambda0.5","random",1000,0.983509616282484,0.29472438070488,0.291429254093247,2.85986104045294,0.585120583084878,0.458551156403463,7.33137435857406e-05,0.999926686256414,-0.0448095390955771,0.0857123665229975,-0.2247621118302,0.310314794000861,0.509168595353524,0.0941397147184295,0.275447733768448,0.812011501011708,0.230699049734043,0.0415153296284502,0.155861337021318,0.358342168909588,0.767454448951735,0.0530351670999192,0.586048793704451,0.86734693877551,3.09700599262441,0.341052955527523,2.28024483678671,3.82586689421469,4.5940795934046,0.409019888489475,3.22867776286647,5.56737724750274
"OU_alpha0.2","dispersed",1,0.874087197514461,NA,0.874087197514461,0.874087197514461,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.143150935391179,NA,-0.143150935391179,-0.143150935391179,0.473075717056541,NA,0.473075717056541,0.473075717056541,0.0477731083873863,NA,0.0477731083873863,0.0477731083873863,0.231475216500982,NA,0.231475216500982,0.231475216500982,5.99515100775456,NA,5.99515100775456,5.99515100775456,7.69922054750763,NA,7.69922054750763,7.69922054750763
