"Model","Subset_Type","N","K_mean","K_sd","K_min","K_max","Lambda_mean","Lambda_sd","Lambda_min","Lambda_max","MoransI_mean","MoransI_sd","MoransI_min","MoransI_max","mpnns_mean","mpnns_sd","mpnns_min","mpnns_max","mean_offdiag_cor_mean","mean_offdiag_cor_sd","mean_offdiag_cor_min","mean_offdiag_cor_max","max_offdiag_cor_mean","max_offdiag_cor_sd","max_offdiag_cor_min","max_offdiag_cor_max","ess_1_mean","ess_1_sd","ess_1_min","ess_1_max","ess_2_mean","ess_2_sd","ess_2_min","ess_2_max"
"Lambda1","dispersed",1,0.42090941355877,NA,0.42090941355877,0.42090941355877,0.999926686256414,NA,0.999926686256414,0.999926686256414,0.0210656699525378,NA,0.0210656699525378,0.0210656699525378,0.372123958533069,NA,0.372123958533069,0.372123958533069,0.466366222557332,NA,0.466366222557332,0.466366222557332,0.894043718191858,NA,0.894043718191858,0.894043718191858,1.87592467350562,NA,1.87592467350562,1.87592467350562,2.4997963171651,NA,2.4997963171651,2.4997963171651
"Lambda1","clustered",1,1.0611314126132,NA,1.0611314126132,1.0611314126132,0.999926686256414,NA,0.999926686256414,0.999926686256414,-0.0903370996969857,NA,-0.0903370996969857,-0.0903370996969857,0.402438904200018,NA,0.402438904200018,0.402438904200018,0.398500103512509,NA,0.398500103512509,0.398500103512509,0.805959600934029,NA,0.805959600934029,0.805959600934029,2.11109604705794,NA,2.11109604705794,2.11109604705794,3.06719269415696,NA,3.06719269415696,3.06719269415696
"Lambda1","random",1000,0.631670879641886,0.477706540568353,0.109354918291212,4.40553178942241,0.80061885522226,0.335318562350667,7.33137435857406e-05,0.999926686256414,0.0706708328969741,0.142104428924083,-0.297931090090114,0.505221724054413,0.466504925195241,0.0944245052305304,0.228932416803865,0.781334544287222,0.460424390756255,0.0679932703561856,0.30351534385571,0.646273558407316,0.916410936491986,0.0305615465656774,0.762797808179092,0.967150017776426,1.91893278787604,0.21982593938341,1.44824823191633,2.56032165260295,2.53551432944475,0.419667355499359,1.62865216437595,3.85451814046192
"Lambda0.7","dispersed",1,0.275326068578992,NA,0.275326068578992,0.275326068578992,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.0887975208647444,NA,-0.0887975208647444,-0.0887975208647444,0.484770159101738,NA,0.484770159101738,0.484770159101738,0.453116736046847,NA,0.453116736046847,0.453116736046847,0.88749567601201,NA,0.88749567601201,0.88749567601201,1.9176295863149,NA,1.9176295863149,1.9176295863149,2.59183913861284,NA,2.59183913861284,2.59183913861284
"Lambda0.7","clustered",1,0.669260953862984,NA,0.669260953862984,0.669260953862984,0.999926686256414,NA,0.999926686256414,0.999926686256414,-0.0603895455163328,NA,-0.0603895455163328,-0.0603895455163328,0.592971229249718,NA,0.592971229249718,0.592971229249718,0.398864174326855,NA,0.398864174326855,0.398864174326855,0.817361508367952,NA,0.817361508367952,0.817361508367952,2.1096772576682,NA,2.1096772576682,2.1096772576682,3.05495051744047,NA,3.05495051744047,3.05495051744047
"Lambda0.7","random",1000,0.726557831896028,0.521327106660505,0.120041027332507,3.69603390670942,0.734542917706522,0.3467530277284,7.33137435857406e-05,0.999931622521513,0.0453792081036353,0.147362996838975,-0.286844890532883,0.539490590967262,0.457360035078074,0.0848331376887373,0.254022734786373,0.75377721666031,0.450259788433724,0.0567861993876234,0.327662036645894,0.614498015067924,0.896413945018699,0.0309651210380123,0.764511544565574,0.950477783791285,1.94453371953967,0.185856752877825,1.50901083976009,2.42892785808271,2.61307085991553,0.364295467369441,1.76049512042608,3.66116354360892
"Lambda0.5","dispersed",1,3.6155417401572,NA,3.6155417401572,3.6155417401572,0.999926686256414,NA,0.999926686256414,0.999926686256414,0.214215567201463,NA,0.214215567201463,0.214215567201463,0.620392277659203,NA,0.620392277659203,0.620392277659203,0.446953069297241,NA,0.446953069297241,0.446953069297241,0.884283081875447,NA,0.884283081875447,0.884283081875447,1.93766930328768,NA,1.93766930328768,1.93766930328768,2.63630312282935,NA,2.63630312282935,2.63630312282935
"Lambda0.5","clustered",1,1.60215156032761,NA,1.60215156032761,1.60215156032761,0.999926686256414,NA,0.999926686256414,0.999926686256414,0.0447763231216676,NA,0.0447763231216676,0.0447763231216676,0.661619211768702,NA,0.661619211768702,0.661619211768702,0.399089330944434,NA,0.399089330944434,0.399089330944434,0.822504798652785,NA,0.822504798652785,0.822504798652785,2.10880077296264,NA,2.10880077296264,2.10880077296264,3.04889310180223,NA,3.04889310180223,3.04889310180223
"Lambda0.5","random",1000,2.30302818578776,0.930522307743263,0.215622550816157,5.20561718301868,0.96909592891831,0.0866815168103362,7.33137435857406e-05,0.999926686256414,0.179657329123615,0.144581137889683,-0.186089469415893,0.531614565925677,0.506630134511698,0.0982149280009435,0.259632660628289,0.834072408869955,0.445278996111566,0.0512627969618084,0.33772953438535,0.597678482754916,0.888528776028724,0.0309135923466403,0.765381315960743,0.941912960934421,1.9578517863671,0.169300768614316,1.54328448670185,2.3780458281004,2.65106930101964,0.334739167791963,1.83563288735259,3.57934960724849
"OU_alpha0.2","dispersed",1,0.160641884090902,NA,0.160641884090902,0.160641884090902,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.207667222772723,NA,-0.207667222772723,-0.207667222772723,0.332207061357986,NA,0.332207061357986,0.332207061357986,0.0823134444123826,NA,0.0823134444123826,0.0823134444123826,0.293040764762416,NA,0.293040764762416,0.293040764762416,5.07551699676105,NA,5.07551699676105,5.07551699676105,7.1529893561796,NA,7.1529893561796,7.1529893561796
"OU_alpha0.2","clustered",1,0.355073353966492,NA,0.355073353966492,0.355073353966492,7.33137435857406e-05,NA,7.33137435857406e-05,7.33137435857406e-05,-0.187698481417224,NA,-0.187698481417224,-0.187698481417224,0.50533318446933,NA,0.50533318446933,0.50533318446933,0.230261491726025,NA,0.230261491726025,0.230261491726025,0.528594552787089,NA,0.528594552787089,0.528594552787089,3.06298596995536,NA,3.06298596995536,3.06298596995536,5.0855789019805,NA,5.0855789019805,5.0855789019805
