"genbank_accession","species","oxygen","reported_oxygen","partition_oxygen"
"GCA_000008665","Archaeoglobus fulgidus",5.46405420464025e-05,0,"train"
"GCA_000385565","Archaeoglobus_A sulfaticallidus",8.4850006619952e-05,0,"train"
"GCA_000025285","Archaeoglobus_B profundus",5.46799547496146e-06,0,"train"
"GCA_000194625","Archaeoglobus_C veneficus",1.79704821575699e-05,0,"train"
"GCA_000025505","Ferroglobus placidus",8.5327740803387e-05,0,"train"
"GCA_015163485","Geoglobus acetivorans_A",0.000477107825796352,0,"train"
"GCA_001006045","Geoglobus ahangari",0.00011421156120639,0,"train"
"GCA_000710615","Haladaptatus cibarius",0.888620755745024,1,"train"
"GCA_900156425","Haladaptatus litoreus",0.896526399872928,1,"train"
"GCA_008831545","Halorussus halophilus",0.938321526267084,1,"train"
"GCA_000196895","Halalkalicoccus jeotgali",0.578071536864414,1,"train"
"GCA_014647095","Haloarcula argentinensis",0.900200415468371,1,"train"
"GCA_014647415","Haloarcula sebkhae",0.913302808254089,1,"train"
"GCA_019599515","Halomicroarcula pellucida",0.90476824601077,1,"train"
"GCA_000379085","Halomicrobium katesii",0.836081227650322,1,"train"
"GCA_900114435","Halomicrobium zhouii",0.969651401826317,1,"train"
"GCA_000591055","Natronomonas moolapensis",0.716165744420923,1,"train"
"GCA_001011115","Halanaeroarchaeum sulfurireducens",0.871031867965942,0,"train"
"GCA_000400975","Halarchaeum acidiphilum",0.823066270158381,0,"train"
"GCA_014647155","Halarchaeum nitratireducens",0.864345510011805,1,"train"
"GCA_014647115","Halarchaeum rubridurum",0.890837592766167,1,"train"
"GCA_000069025","Halobacterium salinarum",0.978938767864173,1,"train"
"GCA_000259215","Halococcus hamelinensis",0.880976351559931,1,"train"
"GCA_002952775","Halalkaliarchaeum desulfuricum",0.536105155477923,1,"test"
"GCA_019823105","Halobaculum magnesiiphilum",0.947981294695758,1,"test"
"GCA_019880245","Halobaculum roseum",0.933939157505807,1,"test"
"GCA_007655485","Halobellus captivus",0.912983227784323,1,"test"
"GCA_024464655","Halobellus inordinatus",0.927975168214041,1,"test"
"GCA_004799685","Halobellus limi",0.915634233490079,1,"test"
"GCA_014646875","Halobellus salinus",0.945702553675333,1,"test"
"GCA_000336955","Haloferax larsenii",0.967524359314767,1,"test"
"GCA_000337815","Haloferax mucosum",0.956130290948221,1,"test"
"GCA_900115785","Halogeometricum limi",0.924902104920518,1,"test"
"GCA_000337095","Halogeometricum pallidum",0.899424566463735,1,"test"
"GCA_900112175","Halogeometricum rufum",0.927620915336214,1,"test"
"GCA_900114455","Halogranum rubrum",0.940832504487216,1,"test"
"GCA_000283335","Halogranum rubrum",0.920427241795816,1,"test"
"GCA_017874235","Halolamina salifodinae",0.957359919284386,1,"test"
"GCA_003605575","Halonotius aquaticus",0.924467292468766,1,"test"
"GCA_003605635","Halonotius pteroides",0.914553601941344,1,"test"
"GCA_001462205","Haloparvum sedimenti",0.893893031736954,1,"test"
"GCA_900113245","Halopelagius inordinatus",0.855495850656943,1,"test"
"GCA_900100875","Halopelagius longus",0.825056353497279,1,"test"
"GCA_900107205","Halopenitus persicus",0.864337310402924,1,"test"
"GCA_000427685","Haloplanus natans",0.765634421773618,1,"test"
"GCA_024498175","Haloplanus salinarum",0.821798388171631,1,"test"
"GCA_900107665","Haloplanus vescus",0.875325360253835,1,"test"
"GCA_001469955","Haloprofundus marisrubri",0.933122623391065,1,"test"
"GCA_000336995","Halorubrum aidingense",0.955285189296848,1,"test"
"GCA_000336875","Halorubrum californiense",0.93085459724875,1,"test"
"GCA_000421805","Halorubrum ezzemoulense",0.920501190971272,1,"test"
"GCA_000337355","Halorubrum kocurii",0.92613145006315,1,"test"
"GCA_000337375","Halorubrum lipolyticum",0.944412453907899,1,"test"
"GCA_009176545","Salinigranum salinum",0.894936827812109,0,"test"
"GCA_900103505","Haloarchaeobius iranensis",0.917063854334289,1,"test"
"GCA_003610195","Halopiger aswanensis",0.796838923773213,1,"test"
"GCA_900116205","Halostagnicola kamekurae",0.72613808853942,1,"test"
"GCA_000517625","Halostagnicola larsenii",0.796477943698941,1,"test"
"GCA_000337495","Haloterrigena salina",0.726451098077902,1,"test"
"GCA_000337515","Halovivax asiaticus",0.86414109845368,1,"test"
"GCA_002156705","Natrarchaeobaculum aegyptiacum",0.741992695843859,1,"test"
"GCA_000337175","Natrinema gari",0.711529556402807,1,"test"
"GCA_900110455","Natrinema salifodinae",0.780694896484287,1,"test"
"GCA_900104065","Natronobacterium texcoconense",0.651483198433806,1,"test"
"GCA_000337695","Natronococcus jeotgali",0.598324351199729,1,"test"
"GCA_009392895","Natronorubrum aibiense",0.814620026728008,1,"test"
"GCA_900108095","Natronorubrum sediminis",0.832657479354503,1,"test"
"GCA_000337735","Natronorubrum sulfidifaciens",0.775855777449106,1,"test"
"GCA_020177375","Saliphagus infecundisoli",0.721793516921776,1,"test"
"GCA_900215575","Natronoarchaeum philippinense",0.947684719166554,1,"train"
"GCA_000063445","Methanocella_A arvoryzae",9.86419030888364e-05,0,"train"
"GCA_024170505","Methanocalculus alkaliphilus",0.000378258225337214,0,"train"
"GCA_018132105","Methanocalculus chunghsingensis",0.000252400231083194,0,"train"
"GCA_024372745","Methanocalculus taiwanensis",0.000619763136604945,0,"train"
"GCA_000015765","Methanocorpusculum labreanum",5.69990508919593e-05,0,"train"
"GCA_000430905","Methanocorpusculum parvum",5.80464550957727e-05,0,"train"
"GCA_019669965","Methanoculleus chikugoensis",0.000407338316579797,0,"train"
"GCA_001602375","Methanoculleus horonobensis",0.000338663703346564,0,"train"
"GCA_000015825","Methanoculleus marisnigri",0.000359635480408627,0,"train"
"GCA_001017125","Methanoculleus sediminis",0.000314418391395566,0,"train"
"GCA_001571405","Methanoculleus thermophilus",0.000154008777071946,0,"train"
"GCA_019633745","Methanofollis formosanus",0.00069296657147222,0,"train"
"GCA_000275865","Methanofollis liminatans",0.000444551318526387,0,"train"
"GCA_013377755","Methanofollis tationis",0.000277986758030035,0,"train"
"GCA_001315945","Methanogenium cariaci",4.71504291635894e-05,0,"train"
"GCA_000784355","Methanolacinia paynteri",0.000269086352890802,0,"train"
"GCA_000147875","Methanolacinia petrolearia",0.000260125066694039,0,"train"
"GCA_000711215","Methanomicrobium mobile",5.15814068011711e-05,0,"train"
"GCA_024662215","Methanoplanus endosymbiosus",0.0011182842631472,0,"train"
"GCA_017873855","Methanolinea_B mesophila",0.000788097050062442,0,"train"
