"species","predicted_OGT","OGT"
"Acidilobus_saccharovorans",79.87865,80
"Acidiplasma_aeolicum",46.208588,40
"Acidiplasma_cupricumulans",46.41311,55
"Aciduliprofundum_boonei",68.76943,70
"Aeropyrum_camini",89.0714,85
"Aeropyrum_pernix",88.92732,90.75
"Archaeoglobus_fulgidus",79.25661,81.5
"Archaeoglobus_profundus",81.001724,85
"Archaeoglobus_sulfaticallidus",74.26985,75
"Archaeoglobus_veneficus",76.66041,75
"Caldisphaera_lagunensis",74.82186,75
"Caldivirga_maquilingensis",83.57815,83
"Desulfurococcus_fermentans",81.94408,80
"Desulfurococcus_kamchatkensis",81.91227,82
"Desulfurococcus_mucosus",82.27016,86.5
"Ferroglobus_placidus",80.94226,85
"Fervidicoccus_fontis",79.34238,80
"Geoglobus_acetivorans",78.37865,80
"Haladaptatus_paucihalophilus",36.589127,30
"Halalkalicoccus_jeotgali",36.784737,37
"Halarchaeum_acidiphilum",37.2706,37
"Haloarcula_argentinensis",38.094616,37
"Haloarcula_hispanica",38.094616,37
"Haloarcula_japonica",38.094616,37
"Haloarcula_marismortui",37.589516,37
"Haloarcula_vallismortis",38.604397,37
"Halobacterium_salinarum",36.07639,36.42857143
"Halococcus_morrhuae",36.44064,37
"Halococcus_saccharolyticus",36.22941,36
"Halococcus_salifodinae",36.42813,37
"Haloferax_denitrificans",35.621044,37
"Haloferax_gibbonsii",35.621044,37
"Haloferax_lucentense",36.02223,37
"Haloferax_mediterranei",35.621044,36
"Haloferax_prahovense",35.821636,37
"Haloferax_sulfurifontis",35.621044,37
"Haloferax_volcanii",35.580795,33.5
"Halogeometricum_borinquense",36.676857,37
"Halomicrobium_mukohataei",37.603207,37
"Halopiger_xanaduensis",36.447353,37
"Haloquadratum_walsbyi",37.07767,37
"Halorhabdus_tiamatea",38.842487,45
"Halorhabdus_utahensis",38.33459,37
"Halorubrum_aidingense",36.794132,37
"Halorubrum_arcis",37.078236,37
"Halorubrum_hochstenium",37.078236,37
"Halorubrum_lacusprofundi",37.122402,30
"Halorubrum_lipolyticum",37.09545,37
"Halorubrum_litoreum",37.073364,37
"Halorubrum_saccharovorum",37.20969,37
"Halorubrum_tebenquichense",37.236893,40
"Halosimplex_carlsbadense",37.169437,40
"Halostagnicola_larsenii",36.693512,37
"Haloterrigena_thermotolerans",37.180634,37
"Haloterrigena_turkmenica",36.20612,37
"Halovivax_ruber",36.459587,37
"Hyperthermus_butylicus",93.64882,99.75
"Ignicoccus_hospitalis",89.36562,90
"Ignicoccus_islandicus",88.55405,90
"Ignisphaera_aggregans",87.00603,92
"Metallosphaera_sedula",65.12044,65
"Methanobacterium_congolense",44.703194,37
"Methanobacterium_formicicum",40.145744,36.83333333
"Methanobacterium_lacus",44.96453,30
"Methanobrevibacter_curvatus",39.900734,30
"Methanobrevibacter_cuticularis",38.26298,37
"Methanobrevibacter_filiformis",38.629128,30
"Methanobrevibacter_millerae",38.24221,37
"Methanobrevibacter_olleyae",39.61805,37
"Methanobrevibacter_oralis",37.358826,35
"Methanobrevibacter_ruminantium",38.56415,37
"Methanobrevibacter_smithii",38.229507,37
"Methanocaldococcus_fervens",80.088524,85
"Methanocaldococcus_infernus",81.88487,85
"Methanocaldococcus_jannaschii",79.65097,81.66666667
"Methanocaldococcus_villosus",82.10149,80
"Methanocaldococcus_vulcanius",79.35331,80
"Methanocella_arvoryzae",42.02394,45
"Methanocella_conradii",45.30594,50
"Methanocella_paludicola",41.73365,37
"Methanococcoides_burtonii",33.717266,21
"Methanococcoides_methylutens",34.170654,27.5
"Methanococcus_aeolicus",38.872448,38
"Methanococcus_maripaludis",39.27138,37.09090909
"Methanococcus_vannielii",38.865593,36.33333333
"Methanococcus_voltae",37.872913,33.42857143
"Methanocorpusculum_labreanum",36.918118,37
"Methanoculleus_bourgensis",37.6692,37
"Methanoculleus_marisnigri",36.838825,34.75
"Methanofollis_liminatans",37.86767,37
"Methanohalobium_evestigatum",44.772095,50
"Methanohalophilus_mahii",35.8829,37
"Methanolobus_tindarius",34.56802,25
"Methanomethylovorans_hollandica",37.1343,37
"Methanoplanus_limicola",36.254574,33.5
"Methanopyrus_kandleri",95.62462,98
"Methanoregula_boonei",37.747753,28
"Methanoregula_formicica",38.06789,30
"Methanosaeta_concilii",38.801872,35
"Methanosaeta_harundinacea",41.761986,37
"Methanosaeta_thermophila",50.5063,58.33333333
"Methanosalsum_zhilinae",37.33822,41
"Methanosarcina_acetivorans",36.692646,37.1
"Methanosarcina_barkeri",36.6092,35.03846154
"Methanosarcina_horonobensis",36.744335,37
"Methanosarcina_lacustris",35.50793,22.5
"Methanosarcina_mazei",36.6092,35.06666667
"Methanosarcina_siciliae",36.510487,36.33333333
"Methanosarcina_thermophila",38.54314,50.83333333
"Methanosarcina_vacuolata",36.700813,37
"Methanosphaera_stadtmanae",38.69395,37.66666667
"Methanosphaerula_palustris",38.264557,28
"Methanospirillum_hungatei",38.09393,37
"Methanothermobacter_marburgensis",56.36677,60.83333333
"Methanothermobacter_thermautotrophicus",56.502995,61.80555556
"Methanothermococcus_okinawensis",57.65339,65
"Methanothermus_fervidus",73.87422,81
"Methanotorris_formicicus",73.937744,70
"Methanotorris_igneus",77.515945,85
"Nanoarchaeum_equitans",87.680466,90
"Natrialba_aegyptia",37.095966,37
"Natrialba_asiatica",36.589127,37
"Natrialba_magadii",36.84834,37
"Natrinema_pallidum",36.515446,37
"Natrinema_pellirubrum",36.482548,37
"Natronobacterium_gregoryi",36.627876,37
"Natronococcus_amylolyticus",36.498997,37
"Natronococcus_jeotgali",36.552284,37
