"Metric","Type","Num_Datasets","Avg_Rank","Min_Rank","Max_Rank","Std_Rank","Stability_Score"
"cn_smape","Percentage Error",5,3.8,1,8,3.11448230047949,0.243043942583849
"pearson_corr","Correlation",5,4.6,1,11,4.03732584763727,0.198518029257338
"spearman_corr","Correlation",5,6.6,2,14,5.17687164221791,0.161894249698369
"rmse","Error",5,6.8,2,11,3.70135110466435,0.212704811390894
"see","Error",5,7.8,3,12,3.70135110466435,0.212704811390894
"R_geo","Error",5,8.2,4,17,5.16720427310553,0.162148026190876
"ols_r2","R-squared",5,8.6,2,18,5.85662018573853,0.145844450022178
"pic_spearman","Correlation",5,8.6,1,21,7.43639697703128,0.118534014309968
"pic_pearson","Correlation",5,10.6,1,23,10.968135666557,0.0835552025696313
"mae","Error",5,11,5,17,5.52268050859363,0.15331120368114
"adjusted_r2","R-squared",5,11.2,3,19,5.76194411635517,0.147886463240844
"pic_rmse","Error",5,12.4,4,17,5.22494019104525,0.160644113727956
"pic_r2","R-squared",5,13,4,20,7.14142842854285,0.122828568570857
"smape","Percentage Error",5,13.2,9,18,3.70135110466435,0.212704811390894
"pic_mae","Error",5,13.6,6,18,4.50555213042752,0.181634825410753
"whitened_mae","Error",5,14.4,10,17,2.70185121722126,0.270135113844644
"whitened_rmse","Error",5,14.4,12,18,2.88097205817759,0.257667405229806
"R_median","Error",5,15.4,5,23,8.64869932417586,0.103640912251705
"mse","Error",5,15.4,13,19,2.50998007960223,0.284901901811741
"median_ae","Error",5,16.2,12,22,4.60434577328853,0.17843295907369
"mape","Percentage Error",5,19.2,18,20,0.836660026534076,0.544466578219748
"whitened_r2","R-squared",5,20,9,25,6.6332495807108,0.131005804202577
"R_whole","Error",5,22.8,21,25,1.6431676725155,0.378333925009117
"R_ari","Error",5,23.4,23,24,0.547722557505166,0.646110632135477
"percent_see","Error",5,23.8,21,25,1.6431676725155,0.378333925009117
