"Metric","Type","Variance","Rank","Dataset"
"pearson_corr","Correlation",3.97035447762801e-05,1,"simulation_data_Good"
"ols_r2","R-squared",0.000158766938954298,2,"simulation_data_Good"
"adjusted_r2","R-squared",0.000172688890971594,3,"simulation_data_Good"
"spearman_corr","Correlation",0.000411431213243099,4,"simulation_data_Good"
"R_median","Error",0.0012279954261336,5,"simulation_data_Good"
"cn_smape","Percentage Error",0.00234255618402425,6,"simulation_data_Good"
"R_geo","Error",0.00765087873250569,7,"simulation_data_Good"
"pic_spearman","Correlation",0.0210031587216167,8,"simulation_data_Good"
"rmse","Error",0.0264133951059613,9,"simulation_data_Good"
"see","Error",0.0264216377233164,10,"simulation_data_Good"
"mae","Error",0.0296464019072241,11,"simulation_data_Good"
"median_ae","Error",0.0657023656056601,12,"simulation_data_Good"
"mse","Error",0.101707659360676,13,"simulation_data_Good"
"smape","Percentage Error",0.119777793739262,14,"simulation_data_Good"
"pic_mae","Error",0.139481131540783,15,"simulation_data_Good"
"whitened_mae","Error",0.174710620511868,16,"simulation_data_Good"
"pic_rmse","Error",0.316527609100438,17,"simulation_data_Good"
"whitened_rmse","Error",0.368601403612823,18,"simulation_data_Good"
"mape","Percentage Error",0.399200843412334,19,"simulation_data_Good"
"pic_r2","R-squared",0.459713968775028,20,"simulation_data_Good"
"R_whole","Error",0.705097851104623,21,"simulation_data_Good"
"pic_pearson","Correlation",1.78056096338906,22,"simulation_data_Good"
"R_ari","Error",12.1360447214398,23,"simulation_data_Good"
"percent_see","Error",53.8058982367452,24,"simulation_data_Good"
"whitened_r2","R-squared",4833.94107789327,25,"simulation_data_Good"
