"Metric","Type","Variance","Rank","Dataset"
"pic_pearson","Correlation",0.0150540073983483,1,"simulation_data_UC2_st"
"rmse","Error",0.0171953675335812,2,"simulation_data_UC2_st"
"see","Error",0.0172071019647975,3,"simulation_data_UC2_st"
"pic_rmse","Error",0.0203477958955574,4,"simulation_data_UC2_st"
"mae","Error",0.0206663095770967,5,"simulation_data_UC2_st"
"pic_mae","Error",0.0228561189864215,6,"simulation_data_UC2_st"
"pic_spearman","Correlation",0.0230451556328156,7,"simulation_data_UC2_st"
"cn_smape","Percentage Error",0.0271168721860122,8,"simulation_data_UC2_st"
"smape","Percentage Error",0.0289758515331968,9,"simulation_data_UC2_st"
"whitened_mae","Error",0.0386845622772645,10,"simulation_data_UC2_st"
"pearson_corr","Correlation",0.0397975409549301,11,"simulation_data_UC2_st"
"whitened_rmse","Error",0.0423810557110998,12,"simulation_data_UC2_st"
"pic_r2","R-squared",0.0521032020341379,13,"simulation_data_UC2_st"
"spearman_corr","Correlation",0.0609410606110063,14,"simulation_data_UC2_st"
"median_ae","Error",0.0616905792440385,15,"simulation_data_UC2_st"
"mse","Error",0.0661244915617232,16,"simulation_data_UC2_st"
"R_geo","Error",0.0912795092682499,17,"simulation_data_UC2_st"
"ols_r2","R-squared",0.0967494816774866,18,"simulation_data_UC2_st"
"adjusted_r2","R-squared",0.151446954597849,19,"simulation_data_UC2_st"
"mape","Percentage Error",0.35508337327883,20,"simulation_data_UC2_st"
"percent_see","Error",115.541502888263,21,"simulation_data_UC2_st"
"R_whole","Error",173.619832322265,22,"simulation_data_UC2_st"
"R_median","Error",368.995893630236,23,"simulation_data_UC2_st"
"R_ari","Error",5494.42367152678,24,"simulation_data_UC2_st"
"whitened_r2","R-squared",109599.579184519,25,"simulation_data_UC2_st"
