"Metric","Type","Variance","Rank","Dataset"
"cn_smape","Percentage Error",0.0118527686437413,1,"simulation_data_UC2_wk"
"pearson_corr","Correlation",0.0128437042341261,2,"simulation_data_UC2_wk"
"spearman_corr","Correlation",0.0219589977677397,3,"simulation_data_UC2_wk"
"rmse","Error",0.0247144736750897,4,"simulation_data_UC2_wk"
"see","Error",0.0247293867153784,5,"simulation_data_UC2_wk"
"mae","Error",0.0291746366133758,6,"simulation_data_UC2_wk"
"R_median","Error",0.0341178915816399,7,"simulation_data_UC2_wk"
"R_geo","Error",0.039382424433353,8,"simulation_data_UC2_wk"
"ols_r2","R-squared",0.0482214897981536,9,"simulation_data_UC2_wk"
"smape","Percentage Error",0.0488273768314302,10,"simulation_data_UC2_wk"
"adjusted_r2","R-squared",0.0571157388534752,11,"simulation_data_UC2_wk"
"median_ae","Error",0.0648645900909919,12,"simulation_data_UC2_wk"
"mse","Error",0.0949787727308792,13,"simulation_data_UC2_wk"
"pic_mae","Error",0.129527075557931,14,"simulation_data_UC2_wk"
"whitened_mae","Error",0.171473760971204,15,"simulation_data_UC2_wk"
"pic_rmse","Error",0.288549060878805,16,"simulation_data_UC2_wk"
"whitened_rmse","Error",0.370732966689699,17,"simulation_data_UC2_wk"
"mape","Percentage Error",0.419188010742692,18,"simulation_data_UC2_wk"
"whitened_r2","R-squared",0.851014585012068,19,"simulation_data_UC2_wk"
"pic_r2","R-squared",1.41752771429746,20,"simulation_data_UC2_wk"
"pic_spearman","Correlation",3.57831750306718,21,"simulation_data_UC2_wk"
"R_whole","Error",20.1486613808512,22,"simulation_data_UC2_wk"
"pic_pearson","Correlation",164.588183253397,23,"simulation_data_UC2_wk"
"R_ari","Error",183.225333784553,24,"simulation_data_UC2_wk"
"percent_see","Error",16564.3750269676,25,"simulation_data_UC2_wk"
