"Metric","Type","Variance","Rank","Dataset"
"cn_smape","Percentage Error",0.00851060896815186,1,"simulation_data_UC3"
"spearman_corr","Correlation",0.0138669962528468,2,"simulation_data_UC3"
"pearson_corr","Correlation",0.0139346089770038,3,"simulation_data_UC3"
"R_geo","Error",0.018058599948985,4,"simulation_data_UC3"
"pic_pearson","Correlation",0.0187337871209242,5,"simulation_data_UC3"
"pic_spearman","Correlation",0.0230439489007727,6,"simulation_data_UC3"
"ols_r2","R-squared",0.0466426692661992,7,"simulation_data_UC3"
"pic_r2","R-squared",0.0694159038497238,8,"simulation_data_UC3"
"whitened_r2","R-squared",0.0725505140259405,9,"simulation_data_UC3"
"adjusted_r2","R-squared",0.0764778593207522,10,"simulation_data_UC3"
"rmse","Error",0.353747585674871,11,"simulation_data_UC3"
"see","Error",0.360611214841793,12,"simulation_data_UC3"
"whitened_rmse","Error",0.414433191182916,13,"simulation_data_UC3"
"pic_rmse","Error",0.430114107379629,14,"simulation_data_UC3"
"smape","Percentage Error",0.451425479581204,15,"simulation_data_UC3"
"mae","Error",0.459312205285919,16,"simulation_data_UC3"
"whitened_mae","Error",0.523491485444332,17,"simulation_data_UC3"
"pic_mae","Error",0.535577158803737,18,"simulation_data_UC3"
"mse","Error",0.604721049161488,19,"simulation_data_UC3"
"mape","Percentage Error",0.704153007627603,20,"simulation_data_UC3"
"R_median","Error",1.99279902718573,21,"simulation_data_UC3"
"median_ae","Error",2.90617679934619,22,"simulation_data_UC3"
"R_ari","Error",10.6746638354092,23,"simulation_data_UC3"
"R_whole","Error",1368.03909765522,24,"simulation_data_UC3"
"percent_see","Error",1892.54885975229,25,"simulation_data_UC3"
