"Scenario","Metric","CleanMetric","Type","Variance","MeanDelta","AbsMeanDelta","N"
"Good","delta_ols_r2","ols_r2","R-squared",3.32300759903927e-05,-0.000159899622855853,0.0042107015929707,1000
"Good","delta_adjusted_r2","adjusted_r2","R-squared",3.65905685865931e-05,-0.000601549115696627,0.00438725846002745,1000
"Good","delta_mse","mse","Error",0.121356088678203,-0.0485378950561271,0.284493292106084,1000
"Good","delta_rmse","rmse","Error",0.0318800489617381,-0.0252176684024183,0.144539737411968,1000
"Good","delta_mae","mae","Error",0.037120899405929,-0.0160327710541406,0.152985577676117,1000
"Good","delta_median_ae","median_ae","Error",0.0805070010629173,0.000771753829547205,0.223478192470708,1000
"Good","delta_see","see","Error",0.0319195631251242,0.0144831926426153,0.144824590393081,1000
"Good","delta_percent_see","percent_see","Error",10895.8828810931,1.66492664786324,8.63314256991079,1000
"Good","delta_R_whole","R_whole","Error",27.4911420091945,0.24735452884661,0.711812360320031,1000
"Good","delta_R_ari","R_ari","Error",65996.4852130884,-8.57535580214256,11.0292406461449,1000
"Good","delta_R_geo","R_geo","Error",0.0115777476193611,-0.000820463560579393,0.0827744295926381,1000
"Good","delta_pearson_corr","pearson_corr","Correlation",8.30790107510461e-06,-7.99589571038796e-05,0.00210536559089129,1000
"Good","delta_spearman_corr","spearman_corr","Correlation",0.000116132414638358,-0.00625987548904197,0.00814592179663969,1000
"Good","delta_mape","mape","Percentage Error",0.559065467035848,-0.177966128317235,0.626093842956713,1000
"Good","delta_smape","smape","Percentage Error",0.190368218572264,-0.058510212904243,0.356149510833046,1000
"Good","delta_cn_smape","cn_smape","Percentage Error",0.00414934437747591,-0.000579836613221569,0.049931946688198,1000
"UC1","delta_ols_r2","ols_r2","R-squared",0.0981218502636287,-0.030979118948252,0.233424277115339,1000
"UC1","delta_adjusted_r2","adjusted_r2","R-squared",0.121871004832046,-0.0739366057353081,0.25705191770794,1000
"UC1","delta_mse","mse","Error",0.210236161580747,-0.0445014655313913,0.346331010178768,1000
"UC1","delta_rmse","rmse","Error",0.0750708479788397,-0.0305352791847049,0.184188021493247,1000
"UC1","delta_mae","mae","Error",0.210236161580747,-0.0445014655313913,0.346331010178768,1000
"UC1","delta_median_ae","median_ae","Error",0,2,2,28
"UC1","delta_see","see","Error",0.0761642610417168,0.00872772856307106,0.187831322859282,1000
