"Scenario","Type","Avg_Variance","Max_Variance","Min_Variance","Avg_AbsDelta","n_Metrics"
"Bad","Correlation",1394.64769629422,1595.3360061948,1193.95938639364,6.63861110616126,2
"Bad","Error",406.410511493507,2383.94680391312,0.0315089089828358,1.81477141453237,9
"Bad","Percentage Error",0.116270023984243,0.218082021703975,0.00940244687008871,0.228379522363587,3
"Bad","R-squared",145.079617664663,288.437521959553,1.72171336977237,3.06629821444674,2
"Good","Correlation",6.22201578567311e-05,0.000116132414638358,8.30790107510461e-06,0.00512564369376549,2
"Good","Error",8546.68595528217,65996.4852130884,0.0115777476193611,2.37858793289182,9
"Good","Percentage Error",0.251194343328529,0.559065467035848,0.00414934437747591,0.344058433492652,3
"Good","R-squared",3.49103222884929e-05,3.65905685865931e-05,3.32300759903927e-05,0.00429898002649908,2
"UC1","Correlation",0.0380246470340546,0.0491144492266463,0.0269348448414628,0.13938633333566,2
"UC1","Error",2841.0949769707,21687.1152666718,0,2.49319783149676,9
"UC1","Percentage Error",0.351394695662307,0.813631575733537,0.0144681782780805,0.417922409900466,3
"UC1","R-squared",0.109996427547837,0.121871004832046,0.0981218502636287,0.245238097411639,2
"UC2_st","Correlation",0.0461364817587918,0.0546681447196955,0.0376048187978881,0.147872537314797,2
"UC2_st","Error",870.695564910892,5298.9848113682,0.0296804893570766,1.96900366584774,9
"UC2_st","Percentage Error",0.224171117665938,0.607213449741827,0.032379788971373,0.314522793643829,3
"UC2_st","R-squared",0.143211927625247,0.159778536694466,0.126645318556028,0.266437441777034,2
"UC2_wk","Correlation",0.0384506676552406,0.0460901908891918,0.0308111444212895,0.146432702595464,2
"UC2_wk","Error",344.43398431281,1967.17139900405,0.0338911600406392,1.7769395979966,9
"UC2_wk","Percentage Error",0.217662501712548,0.584742686542651,0.0340647014153062,0.316412809271284,3
"UC2_wk","R-squared",0.125254640385216,0.138211912769542,0.112297368000891,0.268587211228091,2
"UC3","Correlation",0.00201019169909919,0.00293851894446695,0.00108186445373143,0.0318895453289353,2
"UC3","Error",1728.87206190042,8180.95727325431,0.0361086148800075,1.89415245155606,9
"UC3","Percentage Error",0.240522703188732,0.637321022821972,0.00995642317353547,0.327561662039307,3
"UC3","R-squared",0.00456493615364936,0.00481549446002215,0.00431437784727657,0.0499139006435213,2
