"Metric","Type","Variance","Rank","Dataset"
"smape","Percentage Error",0.00940244687008871,1,"simulation_data_Bad"
"rmse","Error",0.0315089089828358,2,"simulation_data_Bad"
"see","Error",0.0315305269755313,3,"simulation_data_Bad"
"mae","Error",0.0369251642050101,4,"simulation_data_Bad"
"median_ae","Error",0.0838195544885769,5,"simulation_data_Bad"
"mse","Error",0.120001604196126,6,"simulation_data_Bad"
"cn_smape","Percentage Error",0.121325603378666,7,"simulation_data_Bad"
"R_geo","Error",0.193214501685317,8,"simulation_data_Bad"
"mape","Percentage Error",0.218082021703975,9,"simulation_data_Bad"
"ols_r2","R-squared",1.72171336977237,10,"simulation_data_Bad"
"adjusted_r2","R-squared",288.437521959553,11,"simulation_data_Bad"
"R_ari","Error",533.009856855395,12,"simulation_data_Bad"
"R_whole","Error",740.240942412517,13,"simulation_data_Bad"
"pearson_corr","Correlation",1193.95938639364,14,"simulation_data_Bad"
"spearman_corr","Correlation",1595.3360061948,15,"simulation_data_Bad"
"percent_see","Error",2383.94680391312,16,"simulation_data_Bad"
