"Metric","Type","Variance","Rank","Dataset"
"pearson_corr","Correlation",8.30790107510461e-06,1,"simulation_data_Good"
"ols_r2","R-squared",3.32300759903927e-05,2,"simulation_data_Good"
"adjusted_r2","R-squared",3.65905685865931e-05,3,"simulation_data_Good"
"spearman_corr","Correlation",0.000116132414638358,4,"simulation_data_Good"
"cn_smape","Percentage Error",0.00414934437747591,5,"simulation_data_Good"
"R_geo","Error",0.0115777476193611,6,"simulation_data_Good"
"rmse","Error",0.0318800489617381,7,"simulation_data_Good"
"see","Error",0.0319195631251242,8,"simulation_data_Good"
"mae","Error",0.037120899405929,9,"simulation_data_Good"
"median_ae","Error",0.0805070010629173,10,"simulation_data_Good"
"mse","Error",0.121356088678203,11,"simulation_data_Good"
"smape","Percentage Error",0.190368218572264,12,"simulation_data_Good"
"mape","Percentage Error",0.559065467035848,13,"simulation_data_Good"
"R_whole","Error",27.4911420091945,14,"simulation_data_Good"
"percent_see","Error",10895.8828810931,15,"simulation_data_Good"
"R_ari","Error",65996.4852130884,16,"simulation_data_Good"
