"Metric","Type","Variance","Rank","Dataset"
"rmse","Error",0.0296804893570766,1,"simulation_data_UC2_st"
"see","Error",0.0296988908914041,2,"simulation_data_UC2_st"
"cn_smape","Percentage Error",0.032379788971373,3,"simulation_data_UC2_st"
"smape","Percentage Error",0.0329201142846148,4,"simulation_data_UC2_st"
"mae","Error",0.0357895282322132,5,"simulation_data_UC2_st"
"pearson_corr","Correlation",0.0376048187978881,6,"simulation_data_UC2_st"
"spearman_corr","Correlation",0.0546681447196955,7,"simulation_data_UC2_st"
"median_ae","Error",0.0822497524966534,8,"simulation_data_UC2_st"
"R_geo","Error",0.102223171344318,9,"simulation_data_UC2_st"
"mse","Error",0.113434922642572,10,"simulation_data_UC2_st"
"ols_r2","R-squared",0.126645318556028,11,"simulation_data_UC2_st"
"adjusted_r2","R-squared",0.159778536694466,12,"simulation_data_UC2_st"
"mape","Percentage Error",0.607213449741827,13,"simulation_data_UC2_st"
"percent_see","Error",232.605115428168,14,"simulation_data_UC2_st"
"R_whole","Error",2304.2770806467,15,"simulation_data_UC2_st"
"R_ari","Error",5298.9848113682,16,"simulation_data_UC2_st"
