"Metric","Type","Variance","Rank","Dataset"
"pearson_corr","Correlation",0.0308111444212895,1,"simulation_data_UC2_wk"
"rmse","Error",0.0338911600406392,2,"simulation_data_UC2_wk"
"see","Error",0.0339031231386106,3,"simulation_data_UC2_wk"
"cn_smape","Percentage Error",0.0340647014153062,4,"simulation_data_UC2_wk"
"smape","Percentage Error",0.0341801171796862,5,"simulation_data_UC2_wk"
"mae","Error",0.0369084884907888,6,"simulation_data_UC2_wk"
"spearman_corr","Correlation",0.0460901908891918,7,"simulation_data_UC2_wk"
"median_ae","Error",0.0731433149171705,8,"simulation_data_UC2_wk"
"R_geo","Error",0.0983539104904395,9,"simulation_data_UC2_wk"
"ols_r2","R-squared",0.112297368000891,10,"simulation_data_UC2_wk"
"mse","Error",0.129135234946322,11,"simulation_data_UC2_wk"
"adjusted_r2","R-squared",0.138211912769542,12,"simulation_data_UC2_wk"
"mape","Percentage Error",0.584742686542651,13,"simulation_data_UC2_wk"
"R_whole","Error",217.630044328534,14,"simulation_data_UC2_wk"
"R_ari","Error",914.699080250683,15,"simulation_data_UC2_wk"
"percent_see","Error",1967.17139900405,16,"simulation_data_UC2_wk"
