"Metric","Type","Variance","Rank","Dataset"
"pearson_corr","Correlation",0.00108186445373143,1,"simulation_data_UC3"
"spearman_corr","Correlation",0.00293851894446695,2,"simulation_data_UC3"
"ols_r2","R-squared",0.00431437784727657,3,"simulation_data_UC3"
"adjusted_r2","R-squared",0.00481549446002215,4,"simulation_data_UC3"
"cn_smape","Percentage Error",0.00995642317353547,5,"simulation_data_UC3"
"R_geo","Error",0.0361086148800075,6,"simulation_data_UC3"
"rmse","Error",0.0445344188324976,7,"simulation_data_UC3"
"see","Error",0.0445862133609683,8,"simulation_data_UC3"
"mae","Error",0.0455779797127702,9,"simulation_data_UC3"
"smape","Percentage Error",0.074290663570689,10,"simulation_data_UC3"
"median_ae","Error",0.0990082519264589,11,"simulation_data_UC3"
"mse","Error",0.16707540192312,12,"simulation_data_UC3"
"mape","Percentage Error",0.637321022821972,13,"simulation_data_UC3"
"R_whole","Error",54.0771916120484,14,"simulation_data_UC3"
"percent_see","Error",7324.37720135677,15,"simulation_data_UC3"
"R_ari","Error",8180.95727325431,16,"simulation_data_UC3"
