"Metric","Type","Num_Datasets","Avg_Rank","Min_Rank","Max_Rank","Std_Rank","Stability_Score"
"cn_smape","Percentage Error",6,2.33333333333333,1,6,1.96638416050035,0.337110753662913
"R_geo","Error",6,5.33333333333333,1,8,3.07679486912382,0.24529073257368
"rmse","Error",6,6,2,10,3.03315017762062,0.247945143612271
"see","Error",6,6.33333333333333,3,9,2.65832027165025,0.273349495326965
"weighted_rmse","Error",6,6.33333333333333,2,13,4.41210456207315,0.184771005166416
"R_median","Error",6,6.83333333333333,1,16,5.60059520646392,0.151501488687067
"mae","Error",6,8.33333333333333,4,12,3.20416395751944,0.237859419876199
"pearson_corr","Correlation",6,9.83333333333333,1,16,5.94698803316996,0.143947275455964
"R_whole","Error",6,10.5,4,17,5.68330889535313,0.149626482279653
"percent_see","Error",6,10.5,6,15,3.01662062579967,0.248965509357984
"smape","Percentage Error",6,10.5,7,17,4.13521462562707,0.1947338276787
"median_ae","Error",5,10.8,7,14,2.86356421265527,0.258828362868788
"spearman_corr","Correlation",6,11.1666666666667,4,18,5.49241901776136,0.154025794894675
"R_ari","Error",6,12,3,18,7.12741187248218,0.123040399045827
"mse","Error",6,12.5,8,16,3.33166624979154,0.230858044533816
"ols_r2","R-squared",6,12.5,2,16,5.24404424085076,0.160152612862293
"adjusted_r2","R-squared",6,13.8333333333333,3,17,5.38206899497458,0.156688998628412
"mape","Percentage Error",6,14.1666666666667,10,18,3.06050104830347,0.246275025693642
