"Metric","Type","Variance","Rank","Dataset"
"R_geo","Error",0.0495705651689585,1,"simulation_data_Bad"
"cn_smape","Percentage Error",0.0554225830618191,2,"simulation_data_Bad"
"R_ari","Error",0.067717897014339,3,"simulation_data_Bad"
"R_whole","Error",0.0677448242273343,4,"simulation_data_Bad"
"R_median","Error",0.0834933613158812,5,"simulation_data_Bad"
"weighted_rmse","Error",0.10050720777747,6,"simulation_data_Bad"
"smape","Percentage Error",0.129131667747141,7,"simulation_data_Bad"
"rmse","Error",0.170456451805367,8,"simulation_data_Bad"
"see","Error",0.174043979671762,9,"simulation_data_Bad"
"percent_see","Error",0.188136086733844,10,"simulation_data_Bad"
"mae","Error",0.229884727497489,11,"simulation_data_Bad"
"mape","Percentage Error",0.311442867096343,12,"simulation_data_Bad"
"median_ae","Error",0.322243788978942,13,"simulation_data_Bad"
"mse","Error",0.558644322034034,14,"simulation_data_Bad"
"ols_r2","R-squared",1.97078836319825,15,"simulation_data_Bad"
"pearson_corr","Correlation",66.3044191773775,16,"simulation_data_Bad"
"adjusted_r2","R-squared",639.467418265937,17,"simulation_data_Bad"
"spearman_corr","Correlation",1442.72075489465,18,"simulation_data_Bad"
