"Metric","Type","Variance","Rank","Dataset"
"pearson_corr","Correlation",1.15928827951751e-06,1,"simulation_data_Good"
"ols_r2","R-squared",4.63713499763367e-06,2,"simulation_data_Good"
"adjusted_r2","R-squared",4.9470432025539e-06,3,"simulation_data_Good"
"spearman_corr","Correlation",1.1206241293068e-05,4,"simulation_data_Good"
"R_median","Error",8.11063641705935e-05,5,"simulation_data_Good"
"cn_smape","Percentage Error",0.000352843511718011,6,"simulation_data_Good"
"R_whole","Error",0.000664224325728412,7,"simulation_data_Good"
"R_geo","Error",0.00132201475713786,8,"simulation_data_Good"
"see","Error",0.023426051232689,9,"simulation_data_Good"
"rmse","Error",0.023637874015215,10,"simulation_data_Good"
"R_ari","Error",0.0259246435960334,11,"simulation_data_Good"
"mae","Error",0.0273850278160634,12,"simulation_data_Good"
"weighted_rmse","Error",0.0557819826091694,13,"simulation_data_Good"
"median_ae","Error",0.0646952316136175,14,"simulation_data_Good"
"percent_see","Error",0.0788960188225179,15,"simulation_data_Good"
"mse","Error",0.0913182812525215,16,"simulation_data_Good"
"smape","Percentage Error",0.177116549417565,17,"simulation_data_Good"
"mape","Percentage Error",0.294078586739559,18,"simulation_data_Good"
