"Metric","Type","Variance","Rank","Dataset"
"cn_smape","Percentage Error",0.0692944067900765,1,"simulation_data_UC2_st"
"weighted_rmse","Error",0.110781050890865,2,"simulation_data_UC2_st"
"rmse","Error",0.119245606535977,3,"simulation_data_UC2_st"
"see","Error",0.119969675514167,4,"simulation_data_UC2_st"
"mae","Error",0.13408208655419,5,"simulation_data_UC2_st"
"percent_see","Error",0.148812909109205,6,"simulation_data_UC2_st"
"smape","Percentage Error",0.183080479509483,7,"simulation_data_UC2_st"
"R_geo","Error",0.197910693202891,8,"simulation_data_UC2_st"
"median_ae","Error",0.197926399015247,9,"simulation_data_UC2_st"
"mape","Percentage Error",0.259158369444858,10,"simulation_data_UC2_st"
"mse","Error",0.397367680135539,11,"simulation_data_UC2_st"
"pearson_corr","Correlation",0.588887738628623,12,"simulation_data_UC2_st"
"spearman_corr","Correlation",0.614029299843611,13,"simulation_data_UC2_st"
"ols_r2","R-squared",0.722112504979334,14,"simulation_data_UC2_st"
"adjusted_r2","R-squared",0.904548288669437,15,"simulation_data_UC2_st"
"R_median","Error",17.9743460180445,16,"simulation_data_UC2_st"
"R_whole","Error",48.6427461637993,17,"simulation_data_UC2_st"
"R_ari","Error",192.970730945251,18,"simulation_data_UC2_st"
