"Metric","Type","Variance","Rank","Dataset"
"cn_smape","Percentage Error",0.0131371657625557,1,"simulation_data_UC2_wk"
"rmse","Error",0.02499554364935,2,"simulation_data_UC2_wk"
"see","Error",0.0252689956411378,3,"simulation_data_UC2_wk"
"mae","Error",0.0297184079338986,4,"simulation_data_UC2_wk"
"weighted_rmse","Error",0.0350988174896738,5,"simulation_data_UC2_wk"
"R_geo","Error",0.0606001129957838,6,"simulation_data_UC2_wk"
"median_ae","Error",0.0743224700085172,7,"simulation_data_UC2_wk"
"smape","Percentage Error",0.0798364620001394,8,"simulation_data_UC2_wk"
"percent_see","Error",0.0891467543810529,9,"simulation_data_UC2_wk"
"mse","Error",0.0964872641861875,10,"simulation_data_UC2_wk"
"R_median","Error",0.121071484811612,11,"simulation_data_UC2_wk"
"pearson_corr","Correlation",0.278467600193652,12,"simulation_data_UC2_wk"
"mape","Percentage Error",0.311124669634598,13,"simulation_data_UC2_wk"
"spearman_corr","Correlation",0.44740674762623,14,"simulation_data_UC2_wk"
"ols_r2","R-squared",0.500156511896234,15,"simulation_data_UC2_wk"
"adjusted_r2","R-squared",0.695413225397816,16,"simulation_data_UC2_wk"
"R_whole","Error",1.65856654336542,17,"simulation_data_UC2_wk"
"R_ari","Error",345.626189967597,18,"simulation_data_UC2_wk"
