"Metric","Type","Variance","Rank","Dataset"
"cn_smape","Percentage Error",0.0069145029098745,1,"simulation_data_UC3"
"R_geo","Error",0.00927462642733549,2,"simulation_data_UC3"
"R_median","Error",0.0149935187910212,3,"simulation_data_UC3"
"pearson_corr","Correlation",0.0284528020722644,4,"simulation_data_UC3"
"spearman_corr","Correlation",0.0375925829843876,5,"simulation_data_UC3"
"R_whole","Error",0.0384595874397167,6,"simulation_data_UC3"
"rmse","Error",0.0403702411405206,7,"simulation_data_UC3"
"see","Error",0.0404378296054919,8,"simulation_data_UC3"
"mae","Error",0.041569392509423,9,"simulation_data_UC3"
"weighted_rmse","Error",0.0564419856491738,10,"simulation_data_UC3"
"median_ae","Error",0.0703997256121019,11,"simulation_data_UC3"
"percent_see","Error",0.0914097812020927,12,"simulation_data_UC3"
"ols_r2","R-squared",0.105710686504931,13,"simulation_data_UC3"
"smape","Percentage Error",0.115493001399891,14,"simulation_data_UC3"
"adjusted_r2","R-squared",0.119580700631755,15,"simulation_data_UC3"
"mse","Error",0.152958555733493,16,"simulation_data_UC3"
"mape","Percentage Error",0.329814511558348,17,"simulation_data_UC3"
"R_ari","Error",33.9964421181961,18,"simulation_data_UC3"
